experiment_id,subaction_index,narration_id,narration,verb,noun,raw_candidate_count,deep_run_candidate_total,deep_run_candidate_count,episode_decision,episode_reason,candidate_frames_0_based,candidate_sources
E8,0,P01_109_0,grab rucksack,grab,rucksack,48,7,7,new_contact_episode,smoothed_contact_run_start_within_subaction,88;89;90;93;97;98;99,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,1,P01_109_1,open rucksack,open,rucksack,97,12,12,new_contact_episode,smoothed_contact_run_start_within_subaction,161;166;167;168;170;171;172;175;176;177;178;180,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,2,P01_109_2,pick up eggs,pick-up,egg,133,3,3,new_contact_episode,smoothed_contact_run_start_within_subaction,256;257;258,new_contact_episode;new_contact_episode;new_contact_episode
E8,3,P01_109_3,put down eggs,put-down,egg,36,9,9,new_contact_episode,smoothed_contact_run_start_within_subaction,362;363;364;369;370;371;371;372;373,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,4,P01_109_4,pick up onion and potato,pick-up,onion,104,0,0,no_candidate,continuation_contact_run,,
E8,5,P01_109_5,put down onion and potato,put-down,onion,31,0,0,no_candidate,continuation_contact_run,,
E8,6,P01_109_8,pick up potato,pick-up,potato,140,6,6,new_contact_episode,smoothed_contact_run_start_within_subaction,527;528;529;528;529;530,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,7,P01_109_6,pick up potatoes,pick-up,potato,74,0,0,no_candidate,continuation_contact_run,,
E8,8,P01_109_7,put down potatoes,put-down,potato,190,12,12,new_contact_episode,smoothed_contact_run_start_within_subaction,628;629;630;632;637;638;639;645;646;647;656;657,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,9,P01_109_9,put down potato,put-down,potato,136,12,12,new_contact_episode,smoothed_contact_run_start_within_subaction,628;629;630;632;637;638;639;645;646;647;656;657,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,10,P01_109_10,pick up beers,pick-up,beer,174,9,9,new_contact_episode,smoothed_contact_run_start_within_subaction,774;775;776;784;785;786;785;786;787,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,11,P01_109_11,open freezer,open,freezer,141,6,6,new_contact_episode,smoothed_contact_run_start_within_subaction,980;981;982;1006;1007;1008,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,12,P01_109_12,open drawer,open,drawer,132,3,3,new_contact_episode,smoothed_contact_run_start_within_subaction,1070;1071;1072,new_contact_episode;new_contact_episode;new_contact_episode
E8,13,P01_109_13,put beer into drawer,put-into,beer,278,12,12,new_contact_episode,smoothed_contact_run_start_within_subaction,1180;1181;1182;1201;1202;1203;1207;1208;1209;1258;1259;1260,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,14,P01_109_14,put beer into drawer,put-into,beer,71,12,12,new_contact_episode,smoothed_contact_run_start_within_subaction,1258;1259;1260;1260;1261;1262;1271;1272;1273;1271;1272;1273,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,15,P01_109_15,put beer into drawer,put-into,beer,67,0,0,no_candidate,continuation_contact_run,,
E8,16,P01_109_16,close drawer,close,drawer,60,12,12,new_contact_episode,smoothed_contact_run_start_within_subaction,1345;1346;1347;1345;1346;1352;1353;1354;1354;1357;1357;1358,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,17,P01_109_17,close freezer,close,freezer,35,3,3,new_contact_episode,smoothed_contact_run_start_within_subaction,1422;1423;1424,new_contact_episode;new_contact_episode;new_contact_episode
E8,18,P01_109_18,pick up rucksack,pick-up,rucksack,36,8,8,new_contact_episode,smoothed_contact_run_start_within_subaction,1496;1497;1498;1518;1521;1523;1524;1525,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,19,P01_109_19,put down rucksack,put-down,rucksack,27,0,0,no_candidate,continuation_contact_run,,
E8,20,P01_109_20,close door,close,door,33,12,12,new_contact_episode,smoothed_contact_run_start_within_subaction,1827;1828;1829;1841;1848;1850;1851;1852;1861;1862;1863;1906,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,21,P01_109_21,pick up cup,pick-up,cup,6,6,6,new_contact_episode,smoothed_contact_run_start_within_subaction,2088;2089;2090;2092;2093;2094,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,22,P01_109_22,put down cup,put-down,cup,25,6,6,new_contact_episode,smoothed_contact_run_start_within_subaction,2142;2143;2144;2177;2178;2179,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,23,P01_109_23,pick up spoon,pick-up,spoon,11,3,3,new_contact_episode,smoothed_contact_run_start_within_subaction,2213;2214;2215,new_contact_episode;new_contact_episode;new_contact_episode
E8,24,P01_109_24,open drawer,open,drawer,47,3,3,new_contact_episode,smoothed_contact_run_start_within_subaction,2325;2326;2327,new_contact_episode;new_contact_episode;new_contact_episode
E8,25,P01_109_25,put spoon into drawer,put-into,spoon,29,8,8,new_contact_episode,smoothed_contact_run_start_within_subaction,2341;2343;2347;2348;2349;2354;2355;2356,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,26,P01_109_26,close drawer,close,drawer,0,0,0,no_candidate,no_smoothed_contact_in_subaction,,
E8,27,P01_109_27,pour hand wash,pour,wash:hand,10,9,9,new_contact_episode,smoothed_contact_run_start_within_subaction,2468;2469;2470;2476;2477;2478;2484;2485;2486,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,28,P01_109_28,wash hands,wash,hand,8,5,5,new_contact_episode,smoothed_contact_run_start_within_subaction,2484;2485;2486;2538;2539,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,29,P01_109_29,turn on tap,turn-on,tap,38,7,7,new_contact_episode,smoothed_contact_run_start_within_subaction,2550;2551;2552;2567;2568;2569;2573,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,30,P01_109_30,rinse hands,rinse,hand,164,12,12,new_contact_episode,smoothed_contact_run_start_within_subaction,2708;2709;2710;2717;2718;2718;2719;2720;2723;2724;2725;2749,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,31,P01_109_31,turn off tap,turn-off,tap,10,6,6,new_contact_episode,smoothed_contact_run_start_within_subaction,2968;2969;2970;2978;2979;2980,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,32,P01_109_32,shake hands,shake,hand,24,8,8,new_contact_episode,smoothed_contact_run_start_within_subaction,3009;3010;3011;3029;3030;3040;3041;3042,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,33,P01_109_33,pick up cloth,pick-up,cloth,26,9,9,new_contact_episode,smoothed_contact_run_start_within_subaction,3088;3089;3090;3121;3122;3123;3136;3137;3138,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,34,P01_109_34,dry hands,dry,hand,112,12,12,new_contact_episode,smoothed_contact_run_start_within_subaction,3121;3122;3123;3136;3137;3138;3146;3147;3148;3167;3168;3169,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,35,P01_109_35,put down cloth,put-down,cloth,35,6,6,new_contact_episode,smoothed_contact_run_start_within_subaction,3356;3357;3358;3366;3367;3368,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,36,P01_109_36,pick up potatoes,pick-up,potato,214,7,7,new_contact_episode,smoothed_contact_run_start_within_subaction,3392;3393;3394;3424;3449;3450;3451,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,37,P01_109_37,put down potatoes,put-down,potato,56,2,2,new_contact_episode,smoothed_contact_run_start_within_subaction,3549;3550,new_contact_episode;new_contact_episode
E8,38,P01_109_38,move potatoes,move,potato,42,3,3,new_contact_episode,smoothed_contact_run_start_within_subaction,3654;3655;3656,new_contact_episode;new_contact_episode;new_contact_episode
E8,39,P01_109_39,open cupboard,open,cupboard,55,12,12,new_contact_episode,smoothed_contact_run_start_within_subaction,3718;3719;3720;3737;3738;3739;3754;3755;3756;3760;3761;3762,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,40,P01_109_40,move pans,move,pan,301,12,12,new_contact_episode,smoothed_contact_run_start_within_subaction,3837;3838;3844;3845;3846;3847;3848;3849;3855;3856;3857;3876,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,41,P01_109_41,pick up pan,pick-up,pan,122,0,0,no_candidate,continuation_contact_run,,
E8,42,P01_109_42,put down pan,put-down,pan,107,3,3,new_contact_episode,smoothed_contact_run_start_within_subaction,4273;4274;4275,new_contact_episode;new_contact_episode;new_contact_episode
E8,43,P01_109_44,put down pan,put-down,pan,142,3,3,new_contact_episode,smoothed_contact_run_start_within_subaction,4273;4274;4275,new_contact_episode;new_contact_episode;new_contact_episode
E8,44,P01_109_43,pick up pan,pick-up,pan,36,6,6,new_contact_episode,smoothed_contact_run_start_within_subaction,4380;4381;4382;4381;4382;4383,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,45,P01_109_45,put down pan,put-down,pan,56,9,9,new_contact_episode,smoothed_contact_run_start_within_subaction,4380;4381;4382;4381;4382;4383;4386;4387;4388,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,46,P01_109_46,pick up cutting board,pick-up,board:cutting,70,12,12,new_contact_episode,smoothed_contact_run_start_within_subaction,4511;4512;4513;4520;4521;4522;4538;4539;4540;4554;4555;4556,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,47,P01_109_47,close cupboard,close,cupboard,26,9,9,new_contact_episode,smoothed_contact_run_start_within_subaction,4648;4649;4650;4661;4662;4663;4661;4662;4663,new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode;new_contact_episode
E8,48,P01_109_48,put down cutting board,put-down,board:cutting,53,3,3,new_contact_episode,smoothed_contact_run_start_within_subaction,4692;4693;4694,new_contact_episode;new_contact_episode;new_contact_episode
E8,49,P01_109_49,pick up eggs,pick-up,egg,68,0,0,no_candidate,continuation_contact_run,,
E8,50,P01_109_50,put down eggs,put-down,egg,54,3,3,new_contact_episode,smoothed_contact_run_start_within_subaction,4821;4822;4823,new_contact_episode;new_contact_episode;new_contact_episode
E8,51,P01_109_51,move kettle,move,kettle,35,1,1,new_contact_episode,smoothed_contact_run_start_within_subaction,4856,new_contact_episode
