experiment_id,subaction_index,narration_id,narration,verb,noun,start_frame,stop_frame,raw_candidate_count,tried_candidate_count,final_status,final_fail_reason,best_candidate_frame_0_based,best_ref_idx,best_reference_gap,best_projection_source,best_projection_method,best_track_confidence,best_sample_score,best_sample_dir,contact_points,projected_contact_inside_count,reference_hand_overlap_ratio,best_mask_source_contact,best_mask_source_reference,best_tracker_backend,best_final_quality_score,best_affine_inlier_ratio
E9,0,P01_109_0,grab rucksack,grab,rucksack,79,126,48,7,keep,,88.0,87.0,1.0,contact_part_local_affine,contact_part_local_affine,0.34195768265117316,6.321838333262337,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_00_P01_109_0/candidate_00_frame_000088_left,87,5,0.08355555555555555,grabcut_fallback,bbox_fallback,fallback_lk,0.9963888888888889,0.9722222222222222
E9,1,P01_109_1,open rucksack,open,rucksack,153,226,97,12,keep,,170.0,169.0,1.0,contact_part_local_affine,contact_part_local_affine,0.34195768265117316,6.135515134270984,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_01_P01_109_1/candidate_04_frame_000170_left,36,5,0.21604444444444446,grabcut_fallback,bbox_fallback,fallback_lk,1.0,1.0
E9,2,P01_109_2,pick up eggs,pick-up,egg,252,319,133,3,discard,contact_points_lt5_after_object_boundary_filter,,,,,,,,,0,0,,,,,,
E9,3,P01_109_3,put down eggs,put-down,egg,319,374,36,9,keep,,363.0,361.0,2.0,contact_part_local_affine,contact_part_local_affine,0.3578192275523229,6.375148638079564,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_03_P01_109_3/candidate_01_frame_000363_left,100,5,0.016666666666666666,grabcut_fallback,bbox_fallback,fallback_lk,0.9891666666666667,0.9166666666666666
E9,4,P01_109_4,pick up onion and potato,pick-up,onion,424,475,104,4,keep,,423.0,418.0,5.0,contact_part_local_affine,contact_part_local_affine,0.6451351195242122,6.0054536585489915,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_04_P01_109_4/candidate_02_frame_000423_left,59,5,0.16635555555555556,grabcut_fallback,bbox_fallback,fallback_lk,0.9675,0.75
E9,5,P01_109_5,put down onion and potato,put-down,onion,480,523,31,4,keep,,480.0,456.0,24.0,contact_part_local_affine,contact_part_local_affine,0.6451351195242122,6.160437279522058,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_05_P01_109_5/candidate_03_frame_000480_left,47,5,0.06648888888888889,grabcut_fallback,bbox_fallback,fallback_lk,0.9881818181818183,0.9090909090909091
E9,6,P01_109_8,pick up potato,pick-up,potato,500,622,140,6,keep,,527.0,516.0,11.0,contact_part_local_affine,contact_part_local_affine,0.5371707625918725,6.015394097460439,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_06_P01_109_8/candidate_00_frame_000527_right,69,5,0.058355555555555556,grabcut_fallback,bbox_fallback,fallback_lk,0.9891666666666667,0.9166666666666666
E9,7,P01_109_6,pick up potatoes,pick-up,potato,543,579,74,4,keep,,543.0,542.0,1.0,contact_part_local_affine,contact_part_local_affine,0.5371707625918725,5.925182537694771,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_07_P01_109_6/candidate_03_frame_000543_left,18,4,0.08644444444444445,grabcut_fallback,bbox_fallback,fallback_lk,0.9124999999999999,1.0
E9,8,P01_109_7,put down potatoes,put-down,potato,550,734,190,12,keep,,645.0,644.0,1.0,contact_part_local_affine,contact_part_local_affine,0.5371707625918725,6.252306721202531,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_08_P01_109_7/candidate_07_frame_000645_left,84,5,0.14475555555555555,grabcut_fallback,bbox_fallback,fallback_lk,1.0,1.0
E9,9,P01_109_9,put down potato,put-down,potato,625,752,136,12,keep,,645.0,644.0,1.0,contact_part_local_affine,contact_part_local_affine,0.5371707625918725,6.252306721202531,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_09_P01_109_9/candidate_07_frame_000645_left,84,5,0.14475555555555555,grabcut_fallback,bbox_fallback,fallback_lk,1.0,1.0
