subaction_index,narration_id,narration,verb,noun,frame_0_based,hand,candidate_source,ref_idx,reference_gap,projection_source,projection_method,mask_source_contact,mask_source_reference,tracker_backend,cotracker_init_status,cotracker_init_error,contact_part_prior,contact_part_mask_area,contact_part_mask_area_ratio,reference_part_mask_area,reference_part_mask_area_ratio,part_gate_passed,part_inside_count,part_distance,part_gate_source,part_tracking_point_count,whole_boundary_fallback_point_count,articulated_object,final_quality_score,track_point_count,visible_point_count,affine_inlier_count,affine_inlier_ratio,affine_median_residual,projected_contact_inside_mask_count,projected_contact_to_mask_distance,object_track_confidence,local_flow_steps,local_flow_fb_error,local_flow_points,local_flow_inliers,local_flow_inlier_ratio,local_flow_weighted_residual,sample_score,contact_points,projected_contact_inside_count,reference_hand_overlap_ratio,heatmap_mode,sample_dir,reference_frame,label_heatmap_overlay,vrb_style_affordance,mask_projection_overlay
0,P01_109_0,grab rucksack,grab,rucksack,88.0,left,new_contact_episode,87.0,1.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,fallback_lk,failed,ModuleNotFoundError:No module named 'torch',contact_local_boundary,6444,0.7983151635282458,6350.0,0.5377710027100271,True,5,0.0,contact_part_mask,26,0,False,0.9963888888888889,36,36,35,0.9722222222222222,0.9961296319961548,5,0.0,0.34195768265117316,,,,,,,6.321838333262337,87,5,0.08355555555555555,isotropic_e7,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_00_P01_109_0/candidate_00_frame_000088_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_00_P01_109_0/candidate_00_frame_000088_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_00_P01_109_0/candidate_00_frame_000088_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_00_P01_109_0/candidate_00_frame_000088_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_00_P01_109_0/candidate_00_frame_000088_left/mask_projection_overlay.png
0,P01_109_0,grab rucksack,grab,rucksack,90.0,left,new_contact_episode,86.0,4.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,fallback_lk,failed,ModuleNotFoundError:No module named 'torch',contact_local_boundary,7424,0.8633562042097919,9222.0,0.6540425531914894,True,5,0.0,contact_part_mask,26,0,False,0.9368571428571429,36,35,18,0.5142857142857142,1.4845173358917236,5,0.0,0.34195768265117316,,,,,,,6.036378765637534,193,5,0.06586666666666667,isotropic_e7,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_00_P01_109_0/candidate_02_frame_000090_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_00_P01_109_0/candidate_02_frame_000090_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_00_P01_109_0/candidate_02_frame_000090_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_00_P01_109_0/candidate_02_frame_000090_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_00_P01_109_0/candidate_02_frame_000090_left/mask_projection_overlay.png
0,P01_109_0,grab rucksack,grab,rucksack,98.0,right,new_contact_episode,97.0,1.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,fallback_lk,failed,ModuleNotFoundError:No module named 'torch',contact_local_boundary,1060,1.0,1479.0,1.0,True,5,0.0,contact_part_mask,26,0,False,1.0,36,36,36,1.0,1.0863025188446045,5,0.0,0.34195768265117316,,,,,,,6.329110924434662,109,5,0.0672,isotropic_e7,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_00_P01_109_0/candidate_05_frame_000098_right,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_00_P01_109_0/candidate_05_frame_000098_right/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_00_P01_109_0/candidate_05_frame_000098_right/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_00_P01_109_0/candidate_05_frame_000098_right/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_00_P01_109_0/candidate_05_frame_000098_right/mask_projection_overlay.png
1,P01_109_1,open rucksack,open,rucksack,170.0,left,new_contact_episode,169.0,1.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,fallback_lk,failed,ModuleNotFoundError:No module named 'torch',contact_local_boundary,12326,0.7477553991749575,9332.0,0.39758009543285616,True,5,0.0,contact_part_mask,26,0,False,1.0,36,34,34,1.0,1.147273302078247,5,0.0,0.34195768265117316,,,,,,,6.135515134270984,36,5,0.21604444444444446,isotropic_e7,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_01_P01_109_1/candidate_04_frame_000170_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_01_P01_109_1/candidate_04_frame_000170_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_01_P01_109_1/candidate_04_frame_000170_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_01_P01_109_1/candidate_04_frame_000170_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_01_P01_109_1/candidate_04_frame_000170_left/mask_projection_overlay.png
1,P01_109_1,open rucksack,open,rucksack,178.0,right,new_contact_episode,177.0,1.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,fallback_lk,failed,ModuleNotFoundError:No module named 'torch',contact_local_boundary,10011,0.7467551842458601,8751.0,0.4373313343328336,True,5,0.0,contact_part_mask,26,0,False,0.9961764705882353,36,34,33,0.9705882352941176,1.2226086854934692,5,0.0,0.34195768265117316,,,,,,,6.129580562964608,52,5,0.20653333333333335,isotropic_e7,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_01_P01_109_1/candidate_10_frame_000178_right,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_01_P01_109_1/candidate_10_frame_000178_right/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_01_P01_109_1/candidate_10_frame_000178_right/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_01_P01_109_1/candidate_10_frame_000178_right/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_01_P01_109_1/candidate_10_frame_000178_right/mask_projection_overlay.png
1,P01_109_1,open rucksack,open,rucksack,180.0,right,new_contact_episode,179.0,1.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,fallback_lk,failed,ModuleNotFoundError:No module named 'torch',contact_local_boundary,10630,0.8201527659902785,9502.0,0.5101744966442953,True,5,0.0,contact_part_mask,26,0,False,0.9921212121212122,36,33,31,0.9393939393939394,1.386329174041748,5,0.0,0.34195768265117316,,,,,,,6.108640427809051,114,5,0.20453333333333334,isotropic_e7,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_01_P01_109_1/candidate_11_frame_000180_right,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_01_P01_109_1/candidate_11_frame_000180_right/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_01_P01_109_1/candidate_11_frame_000180_right/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_01_P01_109_1/candidate_11_frame_000180_right/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_01_P01_109_1/candidate_11_frame_000180_right/mask_projection_overlay.png
3,P01_109_3,put down eggs,put-down,egg,363.0,left,new_contact_episode,361.0,2.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,fallback_lk,failed,ModuleNotFoundError:No module named 'torch',small_object_whole_mask_allowed,7737,0.802676626206038,7147.0,0.5369646882043576,True,5,0.0,contact_part_mask,26,0,False,0.9891666666666667,36,36,33,0.9166666666666666,0.183934286236763,5,0.0,0.3578192275523229,,,,,,,6.375148638079564,100,5,0.016666666666666666,isotropic_e7,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_03_P01_109_3/candidate_01_frame_000363_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_03_P01_109_3/candidate_01_frame_000363_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_03_P01_109_3/candidate_01_frame_000363_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_03_P01_109_3/candidate_01_frame_000363_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_03_P01_109_3/candidate_01_frame_000363_left/mask_projection_overlay.png
3,P01_109_3,put down eggs,put-down,egg,369.0,left,new_contact_episode,366.0,3.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,fallback_lk,failed,ModuleNotFoundError:No module named 'torch',small_object_whole_mask_allowed,7995,0.8196637277014558,8372.0,0.5962962962962963,True,5,0.0,contact_part_mask,26,0,False,0.9777142857142858,36,35,29,0.8285714285714286,0.4334525763988495,5,0.0,0.391783634561445,,,,,,,6.287424994136606,130,5,0.051333333333333335,isotropic_e7,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_03_P01_109_3/candidate_03_frame_000369_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_03_P01_109_3/candidate_03_frame_000369_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_03_P01_109_3/candidate_03_frame_000369_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_03_P01_109_3/candidate_03_frame_000369_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_03_P01_109_3/candidate_03_frame_000369_left/mask_projection_overlay.png
3,P01_109_3,put down eggs,put-down,egg,372.0,right,new_contact_episode,363.0,9.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,fallback_lk,failed,ModuleNotFoundError:No module named 'torch',small_object_whole_mask_allowed,3738,1.0,8583.0,0.6395678092399404,True,5,0.0,contact_part_mask,26,0,False,0.99,36,26,24,0.9230769230769231,0.6107357144355774,5,0.0,0.4099563326068669,,,,,,,6.368354851643855,112,5,0.008266666666666667,isotropic_e7,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_03_P01_109_3/candidate_07_frame_000372_right,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_03_P01_109_3/candidate_07_frame_000372_right/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_03_P01_109_3/candidate_07_frame_000372_right/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_03_P01_109_3/candidate_07_frame_000372_right/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_03_P01_109_3/candidate_07_frame_000372_right/mask_projection_overlay.png
4,P01_109_4,pick up onion and potato,pick-up,onion,423.0,left,continuation_entry_rescue,418.0,5.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,fallback_lk,failed,ModuleNotFoundError:No module named 'torch',small_object_whole_mask_allowed,1746,0.9988558352402745,2590.0,0.9961538461538462,True,5,0.0,contact_part_mask,26,0,False,0.9675,36,36,27,0.75,2.0837669372558594,5,0.0,0.6451351195242122,,,,,,,6.0054536585489915,59,5,0.16635555555555556,isotropic_e7,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_04_P01_109_4/candidate_02_frame_000423_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_04_P01_109_4/candidate_02_frame_000423_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_04_P01_109_4/candidate_02_frame_000423_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_04_P01_109_4/candidate_02_frame_000423_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/100subaction-e9/experiments/E9/pipeline_outputs/subaction_04_P01_109_4/candidate_02_frame_000423_left/mask_projection_overlay.png
