noun_class_key,noun_class,count,percentage
tap,0,3997,5.199
plate,2,2887,3.755
spoon,1,2691,3.5
cupboard,3,2676,3.481
knife,4,2515,3.271
pan,5,2472,3.215
lid,6,1978,2.573
bowl,7,1976,2.57
drawer,8,1883,2.449
glass,10,1692,2.201
sponge,9,1630,2.12
hand,11,1627,2.116
fridge,12,1447,1.882
cup,13,1329,1.729
fork,14,1277,1.661
cloth,17,1114,1.449
bag,19,1070,1.392
bottle,15,1059,1.377
board:chopping,18,1045,1.359
container,21,1000,1.301
onion,16,999,1.299
spatula,20,963,1.253
liquid:washing,22,954,1.241
dough,25,951,1.237
hob,24,946,1.23
box,23,941,1.224
meat,28,844,1.098
water,27,826,1.074
package,26,822,1.069
pot,29,790,1.028
oil,31,712,0.926
cheese,32,683,0.888
potato,30,657,0.855
colander,39,618,0.804
tray,35,616,0.801
salt,38,604,0.786
food,34,599,0.779
bin,36,585,0.761
bread,33,551,0.717
pasta,45,530,0.689
tomato,43,523,0.68
kettle,44,517,0.672
top,42,514,0.669
oven,46,496,0.645
maker:coffee,50,493,0.641
jar,40,493,0.641
carrot,41,476,0.619
paper,49,469,0.61
sauce,47,456,0.593
egg,53,436,0.567
skin,48,430,0.559
rubbish,54,422,0.549
pepper,37,408,0.531
garlic,51,390,0.507
towel,52,380,0.494
chicken,57,378,0.492
rice,55,365,0.475
cutlery,58,365,0.475
sink,63,339,0.441
coffee,59,335,0.436
glove,60,324,0.421
jug,66,311,0.405
milk,64,288,0.375
aubergine,67,279,0.363
leaf,62,277,0.36
mushroom,56,271,0.352
mixture,71,264,0.343
dishwasher,70,260,0.338
heat,65,256,0.333
can,61,253,0.329
courgette,76,240,0.312
flour,75,238,0.31
peach,74,232,0.302
cucumber,72,231,0.3
filter,77,224,0.291
tofu,81,223,0.29
butter,78,216,0.281
scissors,79,216,0.281
salad,68,202,0.263
chopstick,80,193,0.251
chilli,69,189,0.246
clothes,73,186,0.242
mat,84,184,0.239
sausage,86,184,0.239
olive,83,181,0.235
microwave,90,180,0.234
cover,89,179,0.233
napkin,88,176,0.229
yoghurt,98,163,0.212
towel:kitchen,93,163,0.212
peeler:potato,87,162,0.211
spice,85,160,0.208
pizza,91,157,0.204
ladle,97,155,0.202
grater,96,155,0.202
broccoli,101,150,0.195
vegetable,94,146,0.19
button,92,141,0.183
cereal,99,140,0.182
stock,95,137,0.178
blender,82,136,0.177
brush,103,135,0.176
wrap,107,132,0.172
wrap:plastic,100,128,0.166
biscuit,104,121,0.157
rest,109,121,0.157
sugar,102,121,0.157
lemon,105,116,0.151
freezer,113,113,0.147
squash,116,109,0.142
fish,119,108,0.14
lettuce,120,107,0.139
leek,117,106,0.138
rack:drying,110,105,0.137
spreads,115,104,0.135
light,114,102,0.133
scale,108,100,0.13
curry,121,99,0.129
juicer,106,99,0.129
alarm,111,97,0.126
corn,125,88,0.114
nut,133,86,0.112
lighter,130,82,0.107
foil,123,82,0.107
pin:rolling,136,80,0.104
machine:washing,124,77,0.1
tea,132,76,0.099
cap,118,75,0.098
seed,122,74,0.096
burger,139,74,0.096
clip,129,73,0.095
tongs,142,72,0.094
banana,146,71,0.092
