noun,noun_class,count,percentage
tap,0,3931,5.113
plate,2,2539,3.302
knife,4,2391,3.11
spoon,1,2071,2.694
cupboard,3,2039,2.652
drawer,8,1828,2.378
pan,5,1668,2.169
glass,10,1652,2.149
lid,6,1626,2.115
sponge,9,1607,2.09
hand,11,1594,2.073
bowl,7,1554,2.021
fridge,12,1352,1.758
fork,14,1265,1.645
onion,16,933,1.214
spatula,20,929,1.208
cloth,17,910,1.184
container,21,837,1.089
water,27,758,0.986
dough,25,755,0.982
pot,29,747,0.972
meat,28,735,0.956
bottle,15,665,0.865
mug,13,628,0.817
bag,19,605,0.787
salt,38,600,0.78
saucepan,5,563,0.732
cup,13,531,0.691
potato,30,522,0.679
board:chopping,18,520,0.676
kettle,44,496,0.645
oil,31,494,0.643
pasta,45,480,0.624
food,34,453,0.589
board:cutting,18,435,0.566
cheese,32,432,0.562
colander,39,431,0.561
door,3,425,0.553
egg,53,425,0.553
carrot,41,401,0.522
hob,24,386,0.502
tomato,43,382,0.497
tupperware,23,355,0.462
jar,40,347,0.451
rice,55,343,0.446
oven,46,336,0.437
bin,36,335,0.436
garlic,51,329,0.428
sink,63,312,0.406
pepper,37,301,0.391
cutlery,58,300,0.39
liquid:washing:up,22,289,0.376
aubergine,67,277,0.36
mushroom,56,266,0.346
paper,49,264,0.343
teaspoon,1,254,0.33
bread,33,251,0.326
tray,35,242,0.315
spoon:wooden,1,237,0.308
towel:tea,52,232,0.302
coffee,59,231,0.3
flour,75,231,0.3
dish,2,229,0.298
peach,74,226,0.294
box,23,224,0.291
milk,64,223,0.29
courgette,76,214,0.278
sauce,47,213,0.277
scissors,79,212,0.276
tray:baking,35,210,0.273
chicken,57,206,0.268
salad,68,193,0.251
dishwasher,70,191,0.248
chopstick,80,189,0.246
mixture,71,185,0.241
olive,83,180,0.234
butter,78,176,0.229
ball:dough,25,175,0.228
cucumber,72,173,0.225
filter,77,171,0.222
detergent,22,171,0.222
oil:olive,31,169,0.22
cabinet,3,163,0.212
soap,22,159,0.207
rubbish,54,158,0.206
mat:place,84,155,0.202
ladle,97,155,0.202
spice,85,154,0.2
microwave,90,150,0.195
towel,52,141,0.183
vegetable,94,141,0.183
packaging,26,134,0.174
can,61,134,0.174
grater,96,132,0.172
surface,42,130,0.169
yoghurt,98,129,0.168
napkin,88,129,0.168
piece:tofu,81,129,0.168
glove:oven,60,129,0.168
bottle:oil,15,128,0.166
jug,66,128,0.166
thigh:chicken,57,125,0.163
cooker,46,124,0.161
cereal,99,123,0.16
bowl:salad,7,122,0.159
glove,60,122,0.159
pan:frying,5,122,0.159
counter,42,121,0.157
chilli,69,121,0.157
sugar,102,121,0.157
heat,65,118,0.153
cap:burner,24,118,0.153
pizza,91,113,0.147
freezer,113,111,0.144
sausage,86,111,0.144
paper:greaseproof,49,110,0.143
mozzarella,32,109,0.142
package,26,108,0.14
squash,116,108,0.14
degreaser,22,102,0.133
lettuce,120,101,0.131
bottle:milk,15,100,0.13
skin,48,100,0.13
bowl:washing:up,7,99,0.129
cup:coffee,13,99,0.129
rag,17,98,0.127
light,114,98,0.127
leek,117,95,0.124
button,92,95,0.124
clothes,73,94,0.122
stove,24,94,0.122
scale,108,94,0.122
cover,89,93,0.121
lemon,105,90,0.117
bag:plastic,19,90,0.117
lid:saucepan,6,89,0.116
roll:kitchen,93,89,0.116
peeler,87,88,0.114
stock,95,88,0.114
liquid:washing,22,86,0.112
curry,121,86,0.112
broccoli,101,85,0.111
table,42,84,0.109
lighter,130,82,0.107
refrigerator,12,81,0.105
machine:coffee,50,79,0.103
biscuit,104,79,0.103
pin:rolling,136,78,0.101
skin:garlic,48,76,0.099
v60,50,75,0.098
rest:spoon,109,74,0.096
fish,119,74,0.096
top:counter,42,73,0.095
film:cling,100,73,0.095
tofu,81,70,0.091
banana,146,70,0.091
slice:potato,30,69,0.09
tortilla,107,69,0.09
saucer,2,69,0.09
wok,5,68,0.088
leaf,62,68,0.088
leaf:pak:choi,62,67,0.087
peeler:potato,87,67,0.087
peel,48,67,0.087
tub,23,66,0.086
pot:coffee,50,66,0.086
drawer:dishwasher,70,65,0.085
box:lunch,23,65,0.085
slice:bread,33,65,0.085
soup,126,65,0.085
clip,129,64,0.083
pie,137,64,0.083
packet,26,63,0.082
kitchen,157,62,0.081
grid,24,62,0.081
salmon,112,62,0.081
timer,111,62,0.081
maker:coffee,50,61,0.079
bin:food,36,61,0.079
gas,24,59,0.077
floor,159,59,0.077
strainer,39,58,0.075
onion:spring,128,58,0.075
oregano,145,57,0.074
temperature,65,57,0.074
brush,103,57,0.074
silverware,58,56,0.073
choi:pak,151,55,0.072
top,42,55,0.072
trash,54,54,0.07
wrap,107,54,0.07
blender,82,54,0.07
carafe,66,54,0.07
waste,54,53,0.069
ginger,131,53,0.069
bag:flour,19,53,0.069
sandwich,164,53,0.069
nut:pine,133,53,0.069
jug:measuring,66,52,0.068
cap,118,51,0.066
tin,61,51,0.066
oat,127,51,0.066
brush:pastry,103,50,0.065
thermometer,166,49,0.064
cup:measuring,13,49,0.064
sauce:soy,47,49,0.064
plastic,26,49,0.064
bin:garbage,36,49,0.064
ingredient,34,48,0.062
plug,153,48,0.062
mixer,82,47,0.061
garbage,54,47,0.061
omelette,162,47,0.061
bin:trash,36,47,0.061
pesto,47,47,0.061
tongs,142,46,0.06
basket,168,46,0.06
rack:drying,110,46,0.06
utensil,154,45,0.059
bacon,163,45,0.059
bun:bao,33,45,0.059
piece:pepper,37,45,0.059
tomato:cherry,43,45,0.059
lid:rice:cooker,6,45,0.059
switch,92,45,0.059
foil,123,44,0.057
