verb_class_key,verb_class,count,percentage
take,0,16785,21.831
put,1,13934,18.123
wash,2,8068,10.494
open,3,5680,7.388
close,4,3997,5.199
insert,5,3624,4.714
turn-on,6,2596,3.376
turn-off,8,2072,2.695
cut,7,2034,2.646
mix,10,1861,2.42
pour,9,1837,2.389
move,11,1793,2.332
remove,12,1288,1.675
throw,13,902,1.173
dry,14,834,1.085
shake,15,658,0.856
adjust,17,472,0.614
peel,19,435,0.566
squeeze,18,421,0.548
scoop,16,420,0.546
empty,20,384,0.499
press,21,367,0.477
flip,22,350,0.455
check,24,305,0.397
turn,23,298,0.388
fill,26,263,0.342
apply,27,238,0.31
scrub,29,228,0.297
scrape,25,224,0.291
fold,28,218,0.284
break,30,209,0.272
hold,34,183,0.238
lift,33,164,0.213
eat,35,162,0.211
filter,37,156,0.203
pat,32,154,0.2
wrap,36,152,0.198
unroll,39,142,0.185
pull,31,142,0.185
sort,40,131,0.17
spray,44,116,0.151
look,38,116,0.151
roll,47,107,0.139
hang,41,102,0.133
sprinkle,42,101,0.131
search,48,101,0.131
add,46,98,0.127
cook,45,88,0.114
rip,43,85,0.111
stretch,50,80,0.104
set,53,78,0.101
divide,52,76,0.099
rub,55,76,0.099
crush,49,75,0.098
brush,57,75,0.098
sharpen,58,75,0.098
knead,51,74,0.096
soak,56,72,0.094
drop,59,65,0.085
feel,54,61,0.079
drink,60,59,0.077
gather,63,57,0.074
slide,61,56,0.073
coat,66,55,0.072
transition,67,53,0.069
attach,64,49,0.064
measure,69,47,0.061
wear,68,43,0.056
turn-down,65,43,0.056
water,62,43,0.056
form,74,36,0.047
use,76,34,0.044
wait,72,34,0.044
lower,73,32,0.042
smell,75,29,0.038
unscrew,71,27,0.035
increase,70,27,0.035
let-go,79,26,0.034
grate,77,25,0.033
screw,78,25,0.033
stab,81,24,0.031
serve,82,18,0.023
unwrap,84,18,0.023
choose,85,17,0.022
finish,80,15,0.02
flatten,87,14,0.018
lock,86,14,0.018
uncover,83,13,0.017
switch,88,11,0.014
carry,89,10,0.013
season,90,9,0.012
unlock,91,6,0.008
prepare,92,4,0.005
bake,93,3,0.004
mark,94,3,0.004
unfreeze,96,2,0.003
bend,95,2,0.003
