verb,verb_class,count,percentage
pick-up,0,10665,13.871
put-down,1,8498,11.053
open,3,5660,7.362
take,0,4227,5.498
close,4,3975,5.17
rinse,2,3185,4.143
wash,2,2545,3.31
turn-on,6,2474,3.218
put,1,2450,3.187
put-in,5,2444,3.179
turn-off,8,2007,2.61
move,11,1608,2.091
put-on,1,1497,1.947
stir,10,1302,1.693
cut,7,960,1.249
put-into,5,819,1.065
dry,14,798,1.038
get,0,780,1.015
clean,2,746,0.97
grab,0,735,0.956
pour,9,727,0.946
lather,2,641,0.834
shake,15,602,0.783
place,1,601,0.782
throw,13,577,0.75
pour-into,9,522,0.679
remove,12,472,0.614
chop,7,451,0.587
wipe,2,440,0.572
adjust,17,404,0.525
take-out,12,376,0.489
peel,19,360,0.468
empty,20,351,0.457
slice,7,351,0.457
squeeze,18,306,0.398
mix,10,266,0.346
turn,23,236,0.307
place-on,1,213,0.277
flip,22,203,0.264
put-onto,1,197,0.256
fold,28,196,0.255
pour-in,9,195,0.254
take-off,12,176,0.229
press,21,172,0.224
take-from,0,172,0.224
remove-from,12,170,0.221
check,24,169,0.22
scrub,29,164,0.213
hold,34,151,0.196
pour-from,9,149,0.194
scoop,16,140,0.182
sponge,2,138,0.179
drain,37,136,0.177
fill,26,132,0.172
throw-into,13,122,0.159
spoon,16,120,0.156
stir-in,10,116,0.151
put-away,1,116,0.151
spray,44,113,0.147
place-in,5,111,0.144
roll,47,98,0.127
wipe-off,2,97,0.126
cut-into,7,90,0.117
pick,0,86,0.112
lift,33,83,0.108
eat,35,82,0.107
hang,41,80,0.104
tap,32,79,0.103
turn-over,22,78,0.101
scrape,25,76,0.099
stretch,50,75,0.098
knead,51,74,0.096
fill-with,26,73,0.095
sharpen,58,72,0.094
roll-out,39,71,0.092
switch-on,6,70,0.091
press-on,21,68,0.088
pour-out,9,65,0.085
throw-away,13,65,0.085
insert,5,64,0.083
pull-out,31,63,0.082
taste,35,63,0.082
sprinkle,42,61,0.079
scour,29,61,0.079
pour-onto,9,58,0.075
spread,27,58,0.075
cover,36,58,0.075
pull,31,57,0.074
inspect,24,55,0.072
pour-on,9,55,0.072
switch-off,8,53,0.069
mix-with,10,52,0.068
spread-on,27,51,0.066
push,21,51,0.066
set,53,51,0.066
feel,54,51,0.066
look-at,38,50,0.065
add,46,49,0.064
read,38,48,0.062
drink,60,48,0.062
wash-with,2,47,0.061
test,24,47,0.061
skin,19,46,0.06
throw-in,13,46,0.06
put-inside,5,46,0.06
rub,55,45,0.059
