verb_class_key,noun_class_key,count,percentage
turn-on,tap,1985,2.582
turn-off,tap,1742,2.266
open,cupboard,1569,2.041
open,drawer,1084,1.41
close,cupboard,1050,1.366
take,spoon,1019,1.325
take,plate,975,1.268
put,plate,915,1.19
take,knife,909,1.182
wash,hand,854,1.111
put,spoon,803,1.044
open,fridge,794,1.033
close,drawer,733,0.953
put,knife,725,0.943
put,lid,695,0.904
wash,plate,653,0.849
take,bowl,628,0.817
close,fridge,604,0.786
put,pan,579,0.753
put,bowl,573,0.745
put,glass,573,0.745
wash,knife,570,0.741
take,sponge,568,0.739
take,glass,567,0.737
take,pan,561,0.73
take,lid,525,0.683
dry,hand,507,0.659
take,fork,479,0.623
wash,spoon,477,0.62
wash,pan,454,0.59
take,cup,431,0.561
put,fork,425,0.553
pour,water,419,0.545
wash,top,408,0.531
put,sponge,405,0.527
wash,sponge,401,0.522
take,cloth,381,0.496
put,cup,372,0.484
take,spatula,361,0.47
put,cloth,345,0.449
wash,glass,337,0.438
cut,onion,321,0.418
take,board:chopping,320,0.416
put,liquid:washing,317,0.412
put,spatula,315,0.41
wash,bowl,307,0.399
put,board:chopping,306,0.398
wash,cup,291,0.378
take,container,289,0.376
mix,food,283,0.368
wash,fork,276,0.359
take,bag,270,0.351
take,bottle,269,0.35
take,liquid:washing,258,0.336
wash,sink,257,0.334
take,box,254,0.33
put,bottle,249,0.324
put,container,248,0.323
wash,board:chopping,245,0.319
open,bin,240,0.312
wash,cloth,234,0.304
put,pot,212,0.276
put,box,208,0.271
take,meat,201,0.261
take,pot,199,0.259
take,tray,197,0.256
turn-on,hob,194,0.252
take,oil,192,0.25
wash,hob,192,0.25
take,colander,188,0.245
close,bin,187,0.243
open,bag,185,0.241
insert,spoon,182,0.237
open,package,182,0.237
put,tray,181,0.235
wash,lid,181,0.235
take,salt,179,0.233
take,onion,176,0.229
put,bag,174,0.226
shake,hand,174,0.226
mix,pasta,174,0.226
take,paper,171,0.222
put,colander,167,0.217
take,package,166,0.216
pour,oil,163,0.212
take,bread,161,0.209
insert,pan,160,0.208
cut,potato,157,0.204
move,pan,154,0.2
take,towel,153,0.199
take,cheese,152,0.198
cut,tomato,152,0.198
put,meat,151,0.196
open,oven,148,0.192
put,salt,145,0.189
put,kettle,143,0.186
mix,pan,142,0.185
throw,rubbish,142,0.185
wash,colander,142,0.185
take,kettle,137,0.178
remove,lid,137,0.178
throw,skin,137,0.178
close,bottle,137,0.178
take,cutlery,136,0.177
move,tap,131,0.17
wash,pot,131,0.17
pour,liquid:washing,130,0.169
take,potato,130,0.169
close,oven,129,0.168
adjust,heat,129,0.168
put,jar,128,0.166
open,bottle,127,0.165
put,oil,126,0.164
adjust,hob,126,0.164
open,box,121,0.157
insert,bowl,121,0.157
squeeze,sponge,120,0.156
put,cutlery,119,0.155
take,jar,119,0.155
open,lid,119,0.155
close,bag,118,0.153
press,button,118,0.153
insert,plate,118,0.153
put,dough,117,0.152
mix,meat,117,0.152
turn-off,hob,116,0.151
put,glove,116,0.151
put,towel,115,0.15
pour,salt,115,0.15
cut,carrot,114,0.148
take,tomato,112,0.146
mix,onion,111,0.144
spray,liquid:washing,110,0.143
close,lid,110,0.143
put,bread,109,0.142
take,dough,108,0.14
put,hob,108,0.14
insert,knife,107,0.139
take,hob,105,0.137
remove,skin,104,0.135
take,carrot,104,0.135
put,cheese,103,0.134
put,onion,101,0.131
wash,spatula,101,0.131
peel,onion,100,0.13
take,rubbish,99,0.129
take,napkin,98,0.127
put,package,98,0.127
take,maker:coffee,97,0.126
wash,container,97,0.126
open,dishwasher,97,0.126
mix,mixture,97,0.126
take,jug,96,0.125
take,egg,95,0.124
take,pepper,94,0.122
close,dishwasher,94,0.122
take,scissors,93,0.121
cut,garlic,92,0.12
mix,egg,91,0.118
take,skin,91,0.118
open,container,90,0.117
take,pasta,90,0.117
close,box,90,0.117
take,glove,90,0.117
take,leaf,90,0.117
put,pepper,88,0.114
close,container,87,0.113
throw,package,86,0.112
cut,cheese,85,0.111
take,aubergine,84,0.109
take,chicken,84,0.109
put,sauce,83,0.108
pour,pasta,83,0.108
put,maker:coffee,81,0.105
unroll,dough,80,0.104
wash,maker:coffee,79,0.103
throw,paper,78,0.101
insert,rubbish,78,0.101
pour,milk,77,0.1
put,potato,76,0.099
put,jug,75,0.098
flip,aubergine,75,0.098
move,plate,74,0.096
move,bowl,74,0.096
take,sauce,73,0.095
put,aubergine,73,0.095
take,mushroom,73,0.095
insert,bag,72,0.094
empty,bowl,72,0.094
take,towel:kitchen,72,0.094
roll,dough,71,0.092
knead,dough,71,0.092
insert,carrot,70,0.091
cut,courgette,70,0.091
take,coffee,70,0.091
close,package,70,0.091
mix,sauce,69,0.09
insert,box,69,0.09
put,pasta,69,0.09
put,paper,68,0.088
press,spatula,67,0.087
pour,sauce,66,0.086
wash,box,66,0.086
open,jar,66,0.086
break,egg,66,0.086
take,mat,65,0.085
take,can,65,0.085
open,microwave,65,0.085
turn-on,kettle,65,0.085
mix,potato,65,0.085
peel,carrot,65,0.085
put,can,65,0.085
peel,potato,64,0.083
flip,meat,63,0.082
adjust,tap,63,0.082
wash,cutlery,63,0.082
close,jar,62,0.081
take,garlic,62,0.081
hold,pan,62,0.081
cut,pepper,62,0.081
take,milk,62,0.081
turn-on,oven,62,0.081
take,chopstick,62,0.081
squeeze,dough,62,0.081
take,ladle,61,0.079
move,board:chopping,61,0.079
put,chopstick,61,0.079
insert,fork,60,0.078
turn-on,light,60,0.078
insert,bin,60,0.078
mix,curry,60,0.078
take,flour,59,0.077
put,scissors,59,0.077
cut,cucumber,59,0.077
insert,bread,59,0.077
insert,cup,59,0.077
put,leaf,58,0.075
squeeze,cloth,58,0.075
insert,onion,57,0.074
put,tomato,56,0.073
mix,vegetable,56,0.073
wash,tray,56,0.073
open,freezer,56,0.073
flip,dough,56,0.073
mix,courgette,56,0.073
put,mat,55,0.072
take,brush,55,0.072
insert,cheese,55,0.072
insert,package,55,0.072
take,peeler:potato,55,0.072
put,peeler:potato,54,0.07
cut,chilli,54,0.07
put,mushroom,54,0.07
take,grater,53,0.069
insert,water,53,0.069
shake,pan,53,0.069
insert,salt,53,0.069
wash,oven,53,0.069
put,ladle,52,0.068
take,clothes,52,0.068
cut,peach,51,0.066
break,chicken,51,0.066
insert,container,51,0.066
insert,tray,51,0.066
take,sausage,51,0.066
take,cucumber,50,0.065
insert,lid,50,0.065
move,glass,50,0.065
shake,pot,49,0.064
put,pizza,49,0.064
take,tofu,49,0.064
set,alarm,49,0.064
mix,salad,49,0.064
fold,dough,49,0.064
put,grater,48,0.062
take,chilli,48,0.062
fold,cheese,48,0.062
sharpen,knife,48,0.062
pour,flour,48,0.062
insert,meat,48,0.062
insert,food,48,0.062
cut,chicken,48,0.062
take,salad,47,0.061
put,chicken,47,0.061
put,peach,47,0.061
fill,kettle,47,0.061
insert,potato,47,0.061
pour,rice,47,0.061
insert,oil,46,0.06
close,freezer,46,0.06
insert,coffee,46,0.06
take,rice,46,0.06
take,olive,46,0.06
peel,peach,46,0.06
open,maker:coffee,46,0.06
take,food,46,0.06
pour,coffee,46,0.06
cut,olive,45,0.059
put,garlic,45,0.059
close,microwave,45,0.059
take,filter,44,0.057
move,meat,44,0.057
take,butter,44,0.057
take,mixture,43,0.056
put,rest,43,0.056
take,sugar,43,0.056
drink,water,43,0.056
take,yoghurt,43,0.056
shake,bottle,42,0.055
take,lighter,42,0.055
water,sponge,42,0.055
open,oil,42,0.055
turn-off,oven,42,0.055
put,yoghurt,42,0.055
wash,filter,42,0.055
throw,bag,41,0.053
insert,bottle,41,0.053
put,brush,41,0.053
cut,mushroom,41,0.053
put,cover,41,0.053
insert,tomato,41,0.053
insert,colander,41,0.053
take,biscuit,41,0.053
move,container,41,0.053
remove,glove,41,0.053
empty,water,41,0.053
insert,glass,40,0.052
insert,board:chopping,40,0.052
wash,tomato,40,0.052
take,pizza,40,0.052
move,tofu,40,0.052
wash,jug,40,0.052
mix,rice,40,0.052
stretch,dough,39,0.051
mix,mushroom,39,0.051
apply,butter,39,0.051
scoop,food,39,0.051
scrub,pan,39,0.051
remove,peach,39,0.051
cut,leek,38,0.049
wash,peeler:potato,38,0.049
insert,tofu,38,0.049
look,recipe,38,0.049
scoop,rice,38,0.049
move,bag,38,0.049
take,rest,38,0.049
apply,liquid:washing,38,0.049
move,box,38,0.049
take,spice,37,0.048
insert,sauce,37,0.048
put,lighter,37,0.048
take,pin:rolling,37,0.048
peel,garlic,37,0.048
put,filter,37,0.048
put,coffee,37,0.048
empty,pan,37,0.048
remove,rubbish,36,0.047
put,egg,36,0.047
fill,bottle,36,0.047
insert,pot,36,0.047
turn,meat,36,0.047
move,cup,36,0.047
take,cereal,36,0.047
dry,pan,36,0.047
transition,kitchen,35,0.046
put,napkin,35,0.046
take,courgette,35,0.046
cut,paper,35,0.046
close,oil,35,0.046
wash,leaf,35,0.046
apply,oil,35,0.046
wash,grater,34,0.044
move,knife,34,0.044
put,top,34,0.044
move,bottle,34,0.044
put,salad,34,0.044
take,water,34,0.044
take,wrap:plastic,34,0.044
remove,seed,33,0.043
move,pot,33,0.043
turn-off,light,33,0.043
take,pie,33,0.043
remove,package,33,0.043
check,heat,33,0.043
put,rice,33,0.043
wear,glove,33,0.043
take,lemon,33,0.043
insert,filter,32,0.042
turn-on,microwave,32,0.042
turn-on,maker:coffee,32,0.042
put,food,32,0.042
put,towel:kitchen,32,0.042
close,maker:coffee,32,0.042
insert,milk,32,0.042
stretch,cheese,32,0.042
put,milk,32,0.042
lift,pan,32,0.042
lift,lid,32,0.042
put,olive,32,0.042
put,butter,31,0.04
hang,clothes,31,0.04
take,peach,31,0.04
cut,lettuce,31,0.04
insert,chicken,31,0.04
empty,sink,31,0.04
take,broccoli,31,0.04
open,kettle,31,0.04
put,wrap:plastic,31,0.04
insert,garlic,30,0.039
pat,spatula,30,0.039
fold,bag,30,0.039
press,dough,30,0.039
scrub,bowl,30,0.039
move,tray,30,0.039
put,spice,30,0.039
move,spoon,30,0.039
take,tongs,30,0.039
insert,pasta,30,0.039
wash,ladle,29,0.038
wash,jar,29,0.038
move,bread,29,0.038
insert,cucumber,29,0.038
fill,glass,29,0.038
dry,knife,29,0.038
take,juicer,28,0.036
pour,cereal,28,0.036
turn,chicken,28,0.036
break,meat,28,0.036
insert,clothes,28,0.036
rub,sponge,28,0.036
put,cereal,28,0.036
remove,cheese,28,0.036
throw,napkin,28,0.036
open,can,28,0.036
wash,scissors,28,0.036
put,nut,28,0.036
put,rack:drying,28,0.036
put,scale,28,0.036
put,water,28,0.036
shake,spoon,28,0.036
hang,cloth,28,0.036
insert,rice,28,0.036
insert,broccoli,27,0.035
put,chilli,27,0.035
put,carrot,27,0.035
cut,ginger,27,0.035
throw,food,27,0.035
move,jar,27,0.035
open,bread,27,0.035
cut,package,27,0.035
close,kettle,27,0.035
cut,dough,27,0.035
cut,sausage,27,0.035
flip,tofu,27,0.035
pour,spice,27,0.035
pat,spoon,27,0.035
peel,skin,27,0.035
insert,dishwasher,27,0.035
take,tuna,26,0.034
fill,cup,26,0.034
cut,pizza,26,0.034
take,tea,26,0.034
fill,pan,26,0.034
take,cover,26,0.034
throw,bin,26,0.034
take,stock,26,0.034
put,biscuit,26,0.034
move,onion,26,0.034
put,mixture,26,0.034
insert,pepper,26,0.034
insert,mixture,25,0.033
open,salt,25,0.033
open,sauce,25,0.033
scoop,yoghurt,25,0.033
scoop,sauce,25,0.033
pour,food,25,0.033
pour,sugar,25,0.033
brush,floor,25,0.033
take,wrap,25,0.033
insert,scissors,25,0.033
wash,can,25,0.033
take,scale,25,0.033
turn,container,25,0.033
put,tongs,25,0.033
insert,dough,25,0.033
put,clip,24,0.031
put,clothes,24,0.031
adjust,oven,24,0.031
remove,pan,24,0.031
put,sausage,24,0.031
wash,juicer,24,0.031
remove,tray,24,0.031
take,rack:drying,24,0.031
mix,coffee,24,0.031
wash,brush,24,0.031
take,spreads,24,0.031
put,cucumber,23,0.03
remove,leaf,23,0.03
pour,pepper,23,0.03
check,water,23,0.03
scrub,plate,23,0.03
cut,banana,23,0.03
dry,bowl,23,0.03
turn-off,blender,23,0.03
put,flour,23,0.03
