verb,noun,count,percentage
turn-on,tap,1974,2.567
turn-off,tap,1719,2.236
open,cupboard,1199,1.559
open,drawer,1065,1.385
close,cupboard,798,1.038
open,fridge,745,0.969
close,drawer,711,0.925
close,fridge,568,0.739
pick-up,knife,552,0.718
pick-up,plate,514,0.669
put-down,plate,510,0.663
pick-up,spoon,509,0.662
put-down,knife,504,0.656
dry,hand,480,0.624
put-down,spoon,431,0.561
put-down,glass,425,0.553
pick-up,glass,413,0.537
pick-up,sponge,384,0.499
wash,hand,372,0.484
rinse,hand,350,0.455
pick-up,bowl,348,0.453
rinse,sponge,317,0.412
put-down,sponge,315,0.41
pick-up,lid,313,0.407
put-down,fork,312,0.406
put-down,lid,307,0.399
put-down,spatula,266,0.346
put-down,bowl,262,0.341
open,door,256,0.333
take,plate,255,0.332
pick-up,pan,248,0.323
put-down,cloth,247,0.321
pick-up,cloth,246,0.32
rinse,plate,242,0.315
take,knife,241,0.313
put-down,pan,231,0.3
pick-up,spatula,229,0.298
take,fork,229,0.298
stir,food,212,0.276
wash,knife,209,0.272
pick-up,fork,200,0.26
take,spoon,198,0.258
wash,plate,191,0.248
put-down,container,185,0.241
put-on,lid,181,0.235
rinse,knife,173,0.225
pour-into,water,167,0.217
rinse,glass,167,0.217
pick-up,container,166,0.216
put,plate,166,0.216
close,door,164,0.213
shake,hand,164,0.213
wash,spoon,157,0.204
rinse,cloth,155,0.202
pick-up,mug,134,0.174
open,oven,133,0.173
put,spoon,132,0.172
pick-up,pot,132,0.172
move,tap,131,0.17
take,sponge,129,0.168
rinse,spoon,127,0.165
stir,pasta,124,0.161
cut,onion,124,0.161
open,bin,123,0.16
stir,pan,121,0.157
rinse,pan,120,0.156
pour,water,119,0.155
pick-up,board:chopping,113,0.147
squeeze,sponge,112,0.146
put-down,bottle,111,0.144
take,bowl,111,0.144
pick-up,salt,111,0.144
close,oven,111,0.144
take,spatula,111,0.144
move,pan,111,0.144
wash,pan,109,0.142
put-down,board:cutting,108,0.14
put-in,spoon,108,0.14
wipe,surface,107,0.139
put,bowl,106,0.138
wash,fork,104,0.135
rinse,bowl,104,0.135
open,bag,103,0.134
pick-up,meat,101,0.131
turn-on,hob,101,0.131
peel,onion,99,0.129
pick-up,bottle,99,0.129
put-down,cup,97,0.126
put,knife,97,0.126
pick-up,bag,96,0.125
open,lid,96,0.125
clean,sink,95,0.124
close,bin,95,0.124
chop,onion,94,0.122
pick-up,onion,93,0.121
open,cabinet,92,0.12
put-down,pot,91,0.118
stir,onion,90,0.117
press,button,89,0.116
pick-up,cutlery,88,0.114
put-down,saucepan,87,0.113
pick-up,cup,85,0.111
put-down,board:chopping,83,0.108
take,glass,82,0.107
put-down,colander,82,0.107
rinse,fork,81,0.105
put-down,mug,81,0.105
put-in,pan,80,0.104
pick-up,tupperware,80,0.104
pick-up,colander,80,0.104
open,dishwasher,80,0.104
close,lid,79,0.103
pick-up,teaspoon,79,0.103
wash,glass,79,0.103
wash,sink,78,0.101
adjust,hob,78,0.101
put-in,plate,78,0.101
take,pan,77,0.1
stir,meat,76,0.099
close,bottle,76,0.099
wash,bowl,76,0.099
pick-up,paper,75,0.098
lather,knife,75,0.098
flip,aubergine,75,0.098
pour,salt,74,0.096
cut,tomato,74,0.096
pick-up,board:cutting,74,0.096
open,bottle,74,0.096
put-on,plate,74,0.096
turn-off,hob,73,0.095
lather,plate,72,0.094
rinse,lid,71,0.092
cut,potato,71,0.092
take-off,lid,70,0.091
put-down,cutlery,70,0.091
put,glass,70,0.091
clean,top:counter,70,0.091
close,dishwasher,69,0.09
pick-up,kettle,69,0.09
put,lid,68,0.088
pick-up,saucepan,68,0.088
pick-up,pasta,68,0.088
put-in,knife,68,0.088
rinse,mug,67,0.087
put-down,jar,66,0.086
lather,fork,66,0.086
pour,liquid:washing:up,66,0.086
roll-out,dough,66,0.086
rinse,cup,66,0.086
close,container,66,0.086
put-down,meat,66,0.086
put-down,bag,66,0.086
pick-up,aubergine,66,0.086
press-on,spatula,65,0.085
pick-up,towel:tea,65,0.085
pick-up,liquid:washing:up,65,0.085
put-down,salt,65,0.085
take,container,64,0.083
put-in,bowl,64,0.083
pick-up,tray:baking,64,0.083
take,cup,64,0.083
close,bag,64,0.083
put-down,kettle,64,0.083
put-down,teaspoon,64,0.083
pick-up,spoon:wooden,63,0.082
pick-up,jar,63,0.082
adjust,tap,62,0.081
throw,rubbish,62,0.081
put-down,oil,62,0.081
wash,saucepan,62,0.081
peel,potato,62,0.081
take,cloth,62,0.081
pick-up,egg,62,0.081
wipe,counter,61,0.079
pick-up,oil,61,0.079
put,sponge,61,0.079
close,cabinet,60,0.078
pick-up,scissors,60,0.078
stir,potato,59,0.077
turn-on,kettle,59,0.077
put-down,aubergine,59,0.077
open,container,59,0.077
take,lid,59,0.077
move,bowl,58,0.075
hold,pan,58,0.075
rinse,pot,58,0.075
take,saucepan,58,0.075
move,plate,58,0.075
pick-up,dough,57,0.074
pick-up,cheese,57,0.074
put-down,tray:baking,57,0.074
mix,curry,56,0.073
open,microwave,56,0.073
stir,courgette,56,0.073
put-in,carrot,56,0.073
knead,dough,56,0.073
put-down,liquid:washing:up,55,0.072
put-in,fork,55,0.072
open,freezer,55,0.072
put-on,pot,55,0.072
put,fork,54,0.07
slice,onion,54,0.07
clean,table,54,0.07
lather,glass,54,0.07
take,onion,53,0.069
put-down,onion,53,0.069
take,bottle,52,0.068
wipe,hand,52,0.068
take,mug,51,0.066
pick-up,tray,51,0.066
cut,peach,51,0.066
take,salt,51,0.066
rinse,colander,51,0.066
roll,dough,51,0.066
pick-up,pepper,50,0.065
pick-up,tomato,50,0.065
put-on,pan,50,0.065
rinse,board:chopping,50,0.065
take,kettle,50,0.065
get,meat,49,0.064
put-down,mushroom,49,0.064
stir,mixture,49,0.064
flip,meat,49,0.064
turn-on,light,48,0.062
pick-up,chopstick,48,0.062
stir,sauce,48,0.062
move,glass,48,0.062
put-down,spoon:wooden,47,0.061
rinse,container,47,0.061
clean,hob,47,0.061
put,mug,46,0.06
chop,garlic,46,0.06
rinse,spatula,46,0.06
open,refrigerator,46,0.06
pour,pasta,46,0.06
peel,peach,46,0.06
wash,mug,46,0.06
fold,cheese,46,0.06
pick-up,mat:place,45,0.059
grab,lid,45,0.059
pick-up,towel,45,0.059
wash,lid,45,0.059
close,freezer,45,0.059
put-on,towel:tea,45,0.059
shake,pot,44,0.057
lather,spoon,44,0.057
pick-up,napkin,44,0.057
wash,board:cutting,44,0.057
put,bottle,43,0.056
chop,potato,43,0.056
place-on,meat,43,0.056
pour,oil,43,0.056
put,salt,43,0.056
take,board:chopping,42,0.055
shake,pan,42,0.055
put-down,detergent,42,0.055
pick-up,cap:burner,42,0.055
sharpen,knife,42,0.055
skin,carrot,41,0.053
put,board:chopping,41,0.053
open,jar,41,0.053
grab,plate,41,0.053
wash,cup,41,0.053
crack,egg,41,0.053
close,jar,41,0.053
take,carrot,41,0.053
rinse,board:cutting,41,0.053
take,colander,41,0.053
remove,lid,41,0.053
take,board:cutting,40,0.052
rinse,saucepan,40,0.052
grab,knife,40,0.052
spray,degreaser,40,0.052
place,bowl,40,0.052
wipe,sink,39,0.051
stir,vegetable,39,0.051
put-on,soap,39,0.051
pick-up,dish,39,0.051
pick-up,potato,38,0.049
cut,carrot,38,0.049
put-in,rubbish,38,0.049
drink,water,38,0.049
put-down,ladle,38,0.049
stir,mushroom,38,0.049
move,container,38,0.049
throw,paper,38,0.049
pick-up,ladle,38,0.049
close,bottle:oil,37,0.048
put,pan,37,0.048
pour-in,water,37,0.048
pick-up,mushroom,37,0.048
pick-up,bread,37,0.048
cut,courgette,37,0.048
fill,kettle,37,0.048
get,plate,37,0.048
put-on,bowl,37,0.048
get,bowl,37,0.048
get,spoon,37,0.048
stretch,dough,36,0.047
close,microwave,36,0.047
wash,cloth,36,0.047
put-down,scissors,36,0.047
chop,leek,36,0.047
put,cup,36,0.047
squeeze,dough,36,0.047
get,oil,35,0.046
put-in,bin,35,0.046
put-down,pasta,35,0.046
take,dish,35,0.046
put-down,peach,35,0.046
get,knife,35,0.046
wash,pot,34,0.044
clean,knife,34,0.044
place,knife,34,0.044
stir,rice,34,0.044
pick-up,soap,34,0.044
place,plate,34,0.044
put-down,pepper,34,0.044
put-in,onion,34,0.044
open,box,34,0.044
move,board:cutting,34,0.044
put-in,salt,34,0.044
remove,peach,34,0.044
lather,pan,34,0.044
put-down,chopstick,34,0.044
take,mushroom,34,0.044
put-down,mat:place,33,0.043
grab,spoon,33,0.043
wipe-off,hand,33,0.043
put-down,cap:burner,33,0.043
wash,sponge,33,0.043
fold,dough,33,0.043
turn-on,stove,33,0.043
close,box,33,0.043
put-down,tray,32,0.042
spray,detergent,32,0.042
pick-up,slice:potato,32,0.042
put-down,tupperware,32,0.042
put-in,bag,32,0.042
stretch,cheese,32,0.042
put,pot,32,0.042
enter,kitchen,32,0.042
pour-from,water,32,0.042
grab,sponge,32,0.042
wash,container,32,0.042
empty,water,32,0.042
put-down,grater,32,0.042
stir,egg,31,0.04
put,kettle,31,0.04
pick-up,grater,31,0.04
put-into,pan,31,0.04
take,oil,31,0.04
wash,spatula,31,0.04
rinse,cutlery,31,0.04
open,kettle,31,0.04
pick-up,piece:tofu,31,0.04
read,instruction,31,0.04
put,saucepan,31,0.04
throw,packaging,31,0.04
put-in,water,31,0.04
open,oil,31,0.04
pick-up,lighter,30,0.039
put-in,bread,30,0.039
empty,bowl:washing:up,30,0.039
chop,pepper,30,0.039
turn-off,light,30,0.039
put-on,glove:oven,30,0.039
put-in,food,30,0.039
pick-up,flour,30,0.039
move,knife,30,0.039
wash,colander,30,0.039
adjust,temperature,30,0.039
close,refrigerator,30,0.039
pick-up,pin:rolling,30,0.039
put-down,rest:spoon,30,0.039
pick-up,degreaser,30,0.039
peel,garlic,30,0.039
empty,sink,30,0.039
pick-up,paper:greaseproof,30,0.039
wash,dish,30,0.039
pick-up,pie,30,0.039
take,bag,30,0.039
take-off,skin,30,0.039
put-into,container,29,0.038
adjust,heat,29,0.038
put-down,slice:potato,29,0.038
shake,bottle,29,0.038
place,pan,29,0.038
turn-over,dough,29,0.038
place,spoon,29,0.038
pick-up,coffee,29,0.038
clean,top:stove,28,0.036
take,tomato,28,0.036
take,spoon:wooden,28,0.036
put-in,lid,28,0.036
put-down,degreaser,28,0.036
put-down,cup:coffee,28,0.036
cut,olive,28,0.036
put,cloth,28,0.036
put,tupperware,28,0.036
put-down,cheese,28,0.036
take,pot,28,0.036
put-down,bowl:salad,28,0.036
put-in,cheese,28,0.036
pick-up,carrot,28,0.036
rub,sponge,28,0.036
open,tupperware,28,0.036
pick-up,leaf:pak:choi,28,0.036
pick-up,detergent,28,0.036
open,bin:food,28,0.036
wipe,cooker,28,0.036
put-down,lighter,27,0.035
turn-on,oven,27,0.035
shred,thigh:chicken,27,0.035
wash,board:chopping,27,0.035
take,potato,27,0.035
take,thigh:chicken,27,0.035
put,spatula,27,0.035
put-into,plate,27,0.035
put-down,olive,27,0.035
put-down,dough,27,0.035
put-in,piece:tofu,26,0.034
put-in,potato,26,0.034
close,kettle,26,0.034
take,cheese,26,0.034
pour-into,milk,26,0.034
adjust-on,heat,26,0.034
put-in,mug,26,0.034
pick-up,rice,26,0.034
fill,bottle,26,0.034
put-down,napkin,26,0.034
pick-up,rubbish,26,0.034
put-into,spoon,26,0.034
open,bin:garbage,26,0.034
pick-up,cup:coffee,26,0.034
empty,bowl,26,0.034
pick-up,milk,26,0.034
put-down,bread,26,0.034
wring,cloth,26,0.034
put-in,tupperware,26,0.034
slice,tomato,25,0.033
discard,skin:garlic,25,0.033
put-down,rag,25,0.033
peel,skin:garlic,25,0.033
stir-in,egg,25,0.033
slice,cucumber,25,0.033
rinse,tupperware,25,0.033
remove,skin,25,0.033
put,bag,25,0.033
pick-up,ball:dough,25,0.033
move,board:chopping,25,0.033
place,glass,25,0.033
tap,spatula,25,0.033
take,clothes,25,0.033
put-into,knife,25,0.033
move,pot,25,0.033
chop,chilli,25,0.033
open,salt,25,0.033
damp,sponge,25,0.033
move,bottle,25,0.033
put-down,towel:tea,25,0.033
turn,container,25,0.033
cut,pizza,25,0.033
close,tupperware,24,0.031
put-on,dough,24,0.031
pick-up,oil:olive,24,0.031
put-down,paper,24,0.031
pick,glass,24,0.031
put-down,peeler:potato,24,0.031
put-down,pan:frying,24,0.031
rinse,dish,24,0.031
put-down,package,24,0.031
take,olive,24,0.031
clean,counter,24,0.031
press,switch,24,0.031
pick-up,glove:oven,24,0.031
close,drawer:dishwasher,24,0.031
pick-up,box,24,0.031
peel,carrot,24,0.031
set,timer,24,0.031
clean,plate,24,0.031
get,fork,24,0.031
put-away,knife,24,0.031
pour-into,rice,24,0.031
flip-over,piece:tofu,24,0.031
close,oil,24,0.031
lather,sponge,23,0.03
