subaction_index,narration_id,narration,verb,noun,frame_0_based,hand,candidate_source,ref_idx,reference_gap,projection_source,projection_method,mask_source_contact,mask_source_reference,tracker_backend,cotracker_init_status,cotracker_init_error,contact_part_prior,contact_part_mask_area,contact_part_mask_area_ratio,reference_part_mask_area,reference_part_mask_area_ratio,part_gate_passed,part_inside_count,part_distance,part_gate_source,part_tracking_point_count,whole_boundary_fallback_point_count,articulated_object,final_quality_score,track_point_count,visible_point_count,affine_inlier_count,affine_inlier_ratio,affine_median_residual,projected_contact_inside_mask_count,projected_contact_to_mask_distance,object_track_confidence,local_flow_steps,local_flow_fb_error,local_flow_points,local_flow_inliers,local_flow_inlier_ratio,local_flow_weighted_residual,sample_score,contact_points,projected_contact_inside_count,reference_hand_overlap_ratio,heatmap_mode,sample_dir,reference_frame,label_heatmap_overlay,vrb_style_affordance,mask_projection_overlay
0,P01_109_0,grab rucksack,grab,rucksack,88.0,left,new_contact_episode,87.0,1.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,cotracker,ready,,contact_local_boundary,6444,0.7983151635282458,6351.0,0.5378556910569106,True,5,0.0,contact_part_mask,26,0,False,1.0,36,34,34,1.0,0.64701908826828,5,0.0,0.34195768265117316,,,,,,,6.3492560940186165,87,5,0.08355555555555555,isotropic_e7,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_00_P01_109_0/candidate_00_frame_000088_left,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_00_P01_109_0/candidate_00_frame_000088_left/reference_frame.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_00_P01_109_0/candidate_00_frame_000088_left/label_heatmap_merged_overlay.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_00_P01_109_0/candidate_00_frame_000088_left/vrb_style_affordance.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_00_P01_109_0/candidate_00_frame_000088_left/mask_projection_overlay.png
0,P01_109_0,grab rucksack,grab,rucksack,90.0,left,new_contact_episode,87.0,3.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,cotracker,ready,,contact_local_boundary,7424,0.8633562042097919,8169.0,0.6668571428571428,True,5,0.0,contact_part_mask,26,0,False,0.961764705882353,36,34,24,0.7058823529411765,0.8439947366714478,5,0.0,0.34195768265117316,,,,,,,6.151935059860641,193,5,0.08355555555555555,isotropic_e7,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_00_P01_109_0/candidate_02_frame_000090_left,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_00_P01_109_0/candidate_02_frame_000090_left/reference_frame.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_00_P01_109_0/candidate_02_frame_000090_left/label_heatmap_merged_overlay.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_00_P01_109_0/candidate_02_frame_000090_left/vrb_style_affordance.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_00_P01_109_0/candidate_02_frame_000090_left/mask_projection_overlay.png
0,P01_109_0,grab rucksack,grab,rucksack,98.0,right,new_contact_episode,97.0,1.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,cotracker,ready,,contact_local_boundary,1060,1.0,1560.0,1.0,True,5,0.0,contact_part_mask,26,0,False,1.0,36,36,36,1.0,0.7614380121231079,5,0.0,0.34195768265117316,,,,,,,6.338856859636307,109,5,0.0672,isotropic_e7,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_00_P01_109_0/candidate_05_frame_000098_right,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_00_P01_109_0/candidate_05_frame_000098_right/reference_frame.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_00_P01_109_0/candidate_05_frame_000098_right/label_heatmap_merged_overlay.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_00_P01_109_0/candidate_05_frame_000098_right/vrb_style_affordance.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_00_P01_109_0/candidate_05_frame_000098_right/mask_projection_overlay.png
1,P01_109_1,open rucksack,open,rucksack,170.0,left,new_contact_episode,169.0,1.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,cotracker,ready,,contact_local_boundary,12326,0.7477553991749575,9307.0,0.3989626200274348,True,5,0.0,contact_part_mask,26,0,False,1.0,36,36,36,1.0,0.7476421594619751,5,0.0,0.34195768265117316,,,,,,,6.147504068549472,36,5,0.21604444444444446,isotropic_e7,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_01_P01_109_1/candidate_04_frame_000170_left,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_01_P01_109_1/candidate_04_frame_000170_left/reference_frame.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_01_P01_109_1/candidate_04_frame_000170_left/label_heatmap_merged_overlay.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_01_P01_109_1/candidate_04_frame_000170_left/vrb_style_affordance.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_01_P01_109_1/candidate_04_frame_000170_left/mask_projection_overlay.png
1,P01_109_1,open rucksack,open,rucksack,172.0,left,new_contact_episode,171.0,1.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,cotracker,ready,,contact_local_boundary,11375,0.6886010049034446,10921.0,0.4837009478253167,True,5,0.0,contact_part_mask,26,0,False,1.0,36,36,36,1.0,0.6346485018730164,5,0.0,0.34195768265117316,,,,,,,6.1378272116104755,62,5,0.22475555555555554,isotropic_e7,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_01_P01_109_1/candidate_06_frame_000172_left,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_01_P01_109_1/candidate_06_frame_000172_left/reference_frame.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_01_P01_109_1/candidate_06_frame_000172_left/label_heatmap_merged_overlay.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_01_P01_109_1/candidate_06_frame_000172_left/vrb_style_affordance.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_01_P01_109_1/candidate_06_frame_000172_left/mask_projection_overlay.png
1,P01_109_1,open rucksack,open,rucksack,175.0,left,new_contact_episode,174.0,1.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,cotracker,ready,,contact_local_boundary,12118,0.7027371839480399,11292.0,0.47417485512723606,True,5,0.0,contact_part_mask,26,0,False,1.0,36,36,36,1.0,1.4023725986480713,5,0.0,0.34195768265117316,,,,,,,6.116528822040557,53,5,0.2236,isotropic_e7,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_01_P01_109_1/candidate_07_frame_000175_left,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_01_P01_109_1/candidate_07_frame_000175_left/reference_frame.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_01_P01_109_1/candidate_07_frame_000175_left/label_heatmap_merged_overlay.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_01_P01_109_1/candidate_07_frame_000175_left/vrb_style_affordance.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_01_P01_109_1/candidate_07_frame_000175_left/mask_projection_overlay.png
3,P01_109_3,put down eggs,put-down,egg,362.0,left,new_contact_episode,361.0,1.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,cotracker,ready,,small_object_whole_mask_allowed,8054,0.8309946347503095,6960.0,0.5229151014274981,True,5,0.0,contact_part_mask,26,0,False,1.0,36,36,36,1.0,0.2504189908504486,5,0.0,0.35245193913903805,,,,,,,6.429987430274486,98,5,0.016666666666666666,isotropic_e7,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_03_P01_109_3/candidate_00_frame_000362_left,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_03_P01_109_3/candidate_00_frame_000362_left/reference_frame.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_03_P01_109_3/candidate_00_frame_000362_left/label_heatmap_merged_overlay.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_03_P01_109_3/candidate_00_frame_000362_left/vrb_style_affordance.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_03_P01_109_3/candidate_00_frame_000362_left/mask_projection_overlay.png
3,P01_109_3,put down eggs,put-down,egg,364.0,left,new_contact_episode,361.0,3.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,cotracker,ready,,small_object_whole_mask_allowed,7575,0.7746983023113111,7205.0,0.5413223140495868,True,5,0.0,contact_part_mask,26,0,False,1.0,36,36,36,1.0,0.2447013258934021,5,0.0,0.36326825132215523,,,,,,,6.418158960223198,134,5,0.016666666666666666,isotropic_e7,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_03_P01_109_3/candidate_02_frame_000364_left,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_03_P01_109_3/candidate_02_frame_000364_left/reference_frame.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_03_P01_109_3/candidate_02_frame_000364_left/label_heatmap_merged_overlay.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_03_P01_109_3/candidate_02_frame_000364_left/vrb_style_affordance.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_03_P01_109_3/candidate_02_frame_000364_left/mask_projection_overlay.png
3,P01_109_3,put down eggs,put-down,egg,372.0,right,new_contact_episode,363.0,9.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,cotracker,ready,,small_object_whole_mask_allowed,3738,1.0,8588.0,0.639940387481371,True,5,0.0,contact_part_mask,26,0,False,1.0,36,36,36,1.0,0.38894879817962646,5,0.0,0.4099563326068669,,,,,,,6.421931536054609,112,5,0.008266666666666667,isotropic_e7,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_03_P01_109_3/candidate_07_frame_000372_right,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_03_P01_109_3/candidate_07_frame_000372_right/reference_frame.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_03_P01_109_3/candidate_07_frame_000372_right/label_heatmap_merged_overlay.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_03_P01_109_3/candidate_07_frame_000372_right/vrb_style_affordance.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_03_P01_109_3/candidate_07_frame_000372_right/mask_projection_overlay.png
4,P01_109_4,pick up onion and potato,pick-up,onion,423.0,left,continuation_entry_rescue,409.0,14.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,cotracker,ready,,small_object_whole_mask_allowed,1746,0.9988558352402745,9610.0,0.5535714285714286,True,5,0.0,contact_part_mask,26,0,False,0.9951851851851853,36,27,26,0.9629629629629629,0.9622798562049866,5,0.0,0.6451351195242122,,,,,,,6.157472345054591,59,5,0.13804444444444444,isotropic_e7,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_04_P01_109_4/candidate_02_frame_000423_left,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_04_P01_109_4/candidate_02_frame_000423_left/reference_frame.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_04_P01_109_4/candidate_02_frame_000423_left/label_heatmap_merged_overlay.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_04_P01_109_4/candidate_02_frame_000423_left/vrb_style_affordance.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_04_P01_109_4/candidate_02_frame_000423_left/mask_projection_overlay.png
