experiment_id,subaction_index,narration_id,narration,verb,noun,start_frame,stop_frame,raw_candidate_count,tried_candidate_count,final_status,final_fail_reason,best_candidate_frame_0_based,best_ref_idx,best_reference_gap,best_projection_source,best_projection_method,best_track_confidence,best_sample_score,best_sample_dir,contact_points,projected_contact_inside_count,reference_hand_overlap_ratio,reference_object_hand_overlap_ratio,reference_contact_part_hand_overlap_ratio,reference_clean_class,reference_selection_tier,best_mask_source_contact,best_mask_source_reference,best_tracker_backend,best_final_quality_score,best_affine_inlier_ratio
E12,0,P01_109_0,grab rucksack,grab,rucksack,79,126,48,7,keep,,88.0,86.0,2.0,contact_part_local_affine,contact_part_local_affine,0.34195768265117316,4.492485392484589,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_00_P01_109_0/candidate_00_frame_000088_left,87,5,0.06586666666666667,0.1051063829787234,0.15228560137004346,target_occluded_by_hand,tier_4_target_occluded_by_hand,grabcut_fallback,bbox_fallback,cotracker,0.9916129032258065,0.9354838709677419
E12,1,P01_109_1,open rucksack,open,rucksack,153,226,97,12,keep,,170.0,147.0,23.0,contact_part_local_affine,contact_part_local_affine,0.34195768265117316,7.970921440307038,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_01_P01_109_1/candidate_04_frame_000170_left,36,5,0.10222222222222223,0.1282051282051282,0.037502575726354834,target_partially_occluded,tier_3_target_partially_occluded,grabcut_fallback,bbox_fallback,cotracker,0.98375,0.875
E12,2,P01_109_2,pick up eggs,pick-up,egg,252,319,133,3,discard,contact_points_lt5_after_object_boundary_filter,,,,,,,,,0,0,,,,,,,,,,
E12,3,P01_109_3,put down eggs,put-down,egg,319,374,36,9,keep,,362.0,360.0,2.0,contact_part_local_affine,contact_part_local_affine,0.35245193913903805,14.41521292356014,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_03_P01_109_3/candidate_00_frame_000362_left,98,5,0.0,0.0,0.0,strict_target_handless,tier_0_strict_target_handless,grabcut_fallback,bbox_fallback,cotracker,1.0,1.0
E12,4,P01_109_4,pick up onion and potato,pick-up,onion,424,475,104,4,keep,,424.0,403.0,21.0,contact_part_local_affine,contact_part_local_affine,0.6451351195242122,7.335698351524075,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_04_P01_109_4/candidate_03_frame_000424_left,14,4,0.06866666666666667,0.11081312623384364,0.10637354844428686,target_partially_occluded,tier_3_target_partially_occluded,grabcut_fallback,bbox_fallback,cotracker,0.8691666666666666,0.6666666666666666
E12,5,P01_109_5,put down onion and potato,put-down,onion,480,523,31,4,keep,,480.0,470.0,10.0,contact_part_local_affine,contact_part_local_affine,0.6451351195242122,1.960110410849253,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_05_P01_109_5/candidate_03_frame_000480_left,47,4,0.11777777777777777,0.6944444444444444,0.6944444444444444,target_occluded_by_hand,tier_4_target_occluded_by_hand,grabcut_fallback,bbox_fallback,cotracker,0.871875,0.6875
E12,6,P01_109_8,pick up potato,pick-up,potato,500,622,140,6,keep,,527.0,509.0,18.0,contact_part_local_affine,contact_part_local_affine,0.5371707625918725,13.954982356645091,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_06_P01_109_8/candidate_00_frame_000527_right,69,5,0.0,0.0,0.0,strict_target_handless,tier_0_strict_target_handless,grabcut_fallback,bbox_fallback,cotracker,1.0,1.0
E12,7,P01_109_6,pick up potatoes,pick-up,potato,543,579,74,4,keep,,542.0,509.0,33.0,contact_part_local_affine,contact_part_local_affine,0.5371707625918725,13.637771538215304,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_07_P01_109_6/candidate_00_frame_000542_right,149,5,0.0,0.0,0.0,strict_target_handless,tier_0_strict_target_handless,grabcut_fallback,bbox_fallback,cotracker,0.9566666666666667,0.6666666666666666
E12,8,P01_109_7,put down potatoes,put-down,potato,550,734,190,12,keep,,638.0,609.0,29.0,contact_part_local_affine,contact_part_local_affine,0.5371707625918725,13.725725889198385,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_08_P01_109_7/candidate_05_frame_000638_right,60,5,0.0,0.0,0.0,strict_target_handless,tier_0_strict_target_handless,grabcut_fallback,bbox_fallback,cotracker,0.9566666666666667,0.6666666666666666
E12,9,P01_109_9,put down potato,put-down,potato,625,752,136,12,keep,,638.0,609.0,29.0,contact_part_local_affine,contact_part_local_affine,0.5371707625918725,13.725725889198385,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_09_P01_109_9/candidate_05_frame_000638_right,60,5,0.0,0.0,0.0,strict_target_handless,tier_0_strict_target_handless,grabcut_fallback,bbox_fallback,cotracker,0.9566666666666667,0.6666666666666666
E12,10,P01_109_10,pick up beers,pick-up,beer,738,845,174,9,keep,,776.0,711.0,65.0,contact_part_local_affine,contact_part_local_affine,0.5371707625918725,13.17119172395751,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_10_P01_109_10/candidate_02_frame_000776_left,8,4,0.0,0.0,0.0,strict_target_handless,tier_0_strict_target_handless,grabcut_fallback,bbox_fallback,cotracker,0.8388333333333333,0.43333333333333335
E12,11,P01_109_11,open freezer,open,freezer,876,1022,141,6,discard,missing_hand_or_object_bbox,,,,,,,,,0,0,,,,,,,,,,
E12,12,P01_109_12,open drawer,open,drawer,1045,1123,132,3,keep,,1070.0,1068.0,2.0,contact_part_local_affine,contact_part_local_affine,0.4161993224435197,12.66804398161591,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_12_P01_109_12/candidate_00_frame_001070_left,63,5,0.0,0.0,0.0,local_target_clean,tier_1_local_target_clean,grabcut_fallback,bbox_fallback,cotracker,1.0,1.0
E12,13,P01_109_13,put beer into drawer,put-into,beer,1139,1353,278,12,keep,,1201.0,1199.0,2.0,contact_part_local_affine,contact_part_local_affine,0.4161993224435197,12.609923145199295,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_13_P01_109_13/candidate_03_frame_001201_left,39,5,0.0,0.0,0.0,local_target_clean,tier_1_local_target_clean,grabcut_fallback,bbox_fallback,cotracker,1.0,1.0
E12,14,P01_109_14,put beer into drawer,put-into,beer,1230,1283,71,12,keep,,1259.0,1257.0,2.0,contact_part_local_affine,contact_part_local_affine,0.4161993224435197,12.697368131673125,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_14_P01_109_14/candidate_01_frame_001259_right,139,5,0.0,0.0,0.0,local_target_clean,tier_1_local_target_clean,grabcut_fallback,bbox_fallback,cotracker,1.0,1.0
E12,15,P01_109_15,put beer into drawer,put-into,beer,1298,1335,67,4,keep,,1298.0,1297.0,1.0,contact_part_local_affine,contact_part_local_affine,0.4161993224435197,4.0156511471624015,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_15_P01_109_15/candidate_03_frame_001298_left,76,5,0.15226666666666666,0.19455329153605017,0.3283271719038817,target_occluded_by_hand,tier_4_target_occluded_by_hand,grabcut_fallback,bbox_fallback,cotracker,1.0,1.0
