subaction_index,narration_id,narration,verb,noun,frame_0_based,hand,candidate_source,ref_idx,reference_gap,projection_source,projection_method,mask_source_contact,mask_source_reference,tracker_backend,cotracker_init_status,cotracker_init_error,contact_part_prior,contact_part_mask_area,contact_part_mask_area_ratio,reference_part_mask_area,reference_part_mask_area_ratio,part_gate_passed,part_inside_count,part_distance,part_gate_source,part_tracking_point_count,whole_boundary_fallback_point_count,articulated_object,final_quality_score,track_point_count,visible_point_count,affine_inlier_count,affine_inlier_ratio,affine_median_residual,projected_contact_inside_mask_count,projected_contact_to_mask_distance,object_track_confidence,local_flow_steps,local_flow_fb_error,local_flow_points,local_flow_inliers,local_flow_inlier_ratio,local_flow_weighted_residual,sample_score,contact_points,projected_contact_inside_count,reference_hand_overlap_ratio,reference_global_hand_count,reference_hand_area_ratio,reference_object_hand_overlap_ratio,reference_contact_crop_hand_overlap_ratio,reference_contact_part_hand_overlap_ratio,reference_hand_to_object_distance,reference_hand_to_contact_part_distance,reference_target_visible_score,reference_clean_class,reference_clean_score,reference_selection_tier,heatmap_mode,sample_dir,reference_frame,label_heatmap_overlay,vrb_style_affordance,mask_projection_overlay
0,P01_109_0,grab rucksack,grab,rucksack,88.0,left,new_contact_episode,86.0,2.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,cotracker,ready,,contact_local_boundary,6444,0.7983151635282458,7591.0,0.5383687943262412,True,5,0.0,contact_part_mask,26,0,False,0.9916129032258065,36,31,29,0.9354838709677419,0.9823153018951416,5,0.0,0.34195768265117316,,,,,,,4.492485392484589,87,5,0.06586666666666667,1.0,0.0126953125,0.1051063829787234,0.06586666666666667,0.15228560137004346,0.0,0.0,0.7237363282947051,target_occluded_by_hand,-1.9266903097488794,tier_4_target_occluded_by_hand,isotropic_e7,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_00_P01_109_0/candidate_00_frame_000088_left,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_00_P01_109_0/candidate_00_frame_000088_left/reference_frame.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_00_P01_109_0/candidate_00_frame_000088_left/label_heatmap_merged_overlay.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_00_P01_109_0/candidate_00_frame_000088_left/vrb_style_affordance.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_00_P01_109_0/candidate_00_frame_000088_left/mask_projection_overlay.png
0,P01_109_0,grab rucksack,grab,rucksack,90.0,left,new_contact_episode,86.0,4.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,cotracker,ready,,contact_local_boundary,7424,0.8633562042097919,9327.0,0.6549399620813146,True,5,0.0,contact_part_mask,26,0,False,0.9579411764705882,36,34,23,0.6764705882352942,1.1086910963058472,5,0.0,0.34195768265117316,,,,,,,4.308050524542584,193,5,0.06586666666666667,1.0,0.0126953125,0.10406572572150832,0.06586666666666667,0.15889353489868124,0.0,0.0,0.7151096157089413,target_occluded_by_hand,-1.9373358013917694,tier_4_target_occluded_by_hand,isotropic_e7,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_00_P01_109_0/candidate_02_frame_000090_left,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_00_P01_109_0/candidate_02_frame_000090_left/reference_frame.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_00_P01_109_0/candidate_02_frame_000090_left/label_heatmap_merged_overlay.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_00_P01_109_0/candidate_02_frame_000090_left/vrb_style_affordance.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_00_P01_109_0/candidate_02_frame_000090_left/mask_projection_overlay.png
0,P01_109_0,grab rucksack,grab,rucksack,98.0,right,new_contact_episode,85.0,13.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,cotracker,ready,,contact_local_boundary,1060,1.0,6725.0,0.5006327700439217,True,4,0.0,contact_part_mask,26,0,False,0.9124999999999999,36,16,16,1.0,0.3379944860935211,4,0.0,0.34195768265117316,,,,,,,7.675501218627509,109,4,0.0,1.0,0.012335526315789474,0.10422094841063054,0.0,0.08921933085501858,0.0,0.0,0.6813103677565956,target_partially_occluded,1.6886410532103153,tier_3_target_partially_occluded,isotropic_e7,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_00_P01_109_0/candidate_05_frame_000098_right,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_00_P01_109_0/candidate_05_frame_000098_right/reference_frame.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_00_P01_109_0/candidate_05_frame_000098_right/label_heatmap_merged_overlay.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_00_P01_109_0/candidate_05_frame_000098_right/vrb_style_affordance.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_00_P01_109_0/candidate_05_frame_000098_right/mask_projection_overlay.png
1,P01_109_1,open rucksack,open,rucksack,170.0,left,new_contact_episode,147.0,23.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,cotracker,ready,,contact_local_boundary,12326,0.7477553991749575,9706.0,0.541025641025641,True,5,0.0,contact_part_mask,26,0,False,0.98375,36,8,7,0.875,1.7476911544799805,5,0.0,0.34195768265117316,,,,,,,7.970921440307038,36,5,0.10222222222222223,1.0,0.019702576754385966,0.1282051282051282,0.10222222222222223,0.037502575726354834,0.0,0.0,0.8705733170600264,target_partially_occluded,1.7376021749414368,tier_3_target_partially_occluded,isotropic_e7,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_01_P01_109_1/candidate_04_frame_000170_left,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_01_P01_109_1/candidate_04_frame_000170_left/reference_frame.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_01_P01_109_1/candidate_04_frame_000170_left/label_heatmap_merged_overlay.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_01_P01_109_1/candidate_04_frame_000170_left/vrb_style_affordance.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_01_P01_109_1/candidate_04_frame_000170_left/mask_projection_overlay.png
1,P01_109_1,open rucksack,open,rucksack,172.0,left,new_contact_episode,142.0,30.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,cotracker,ready,,contact_local_boundary,11375,0.6886010049034446,9257.0,0.5289714285714285,True,5,0.0,contact_part_mask,26,0,False,0.9907142857142858,36,14,13,0.9285714285714286,1.0958459377288818,5,0.0,0.34195768265117316,,,,,,,7.977684488010972,62,5,0.08213333333333334,1.0,0.015830592105263157,0.1056,0.08213333333333334,0.05898239170357567,0.0,0.0,0.8540646516149941,target_partially_occluded,1.7341312947142657,tier_3_target_partially_occluded,isotropic_e7,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_01_P01_109_1/candidate_06_frame_000172_left,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_01_P01_109_1/candidate_06_frame_000172_left/reference_frame.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_01_P01_109_1/candidate_06_frame_000172_left/label_heatmap_merged_overlay.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_01_P01_109_1/candidate_06_frame_000172_left/vrb_style_affordance.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_01_P01_109_1/candidate_06_frame_000172_left/mask_projection_overlay.png
1,P01_109_1,open rucksack,open,rucksack,178.0,right,new_contact_episode,177.0,1.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,cotracker,ready,,contact_local_boundary,10011,0.7467551842458601,8749.0,0.4340858347804515,True,5,0.0,contact_part_mask,26,0,False,0.9855555555555556,36,36,32,0.8888888888888888,1.2221918106079102,5,0.0,0.34195768265117316,,,,,,,4.240939930498522,52,5,0.20653333333333335,2.0,0.03980777138157895,0.21354502604812703,0.20653333333333335,0.17190536061264144,0.0,0.0,0.6312054795134259,target_occluded_by_hand,-2.1486165374054633,tier_4_target_occluded_by_hand,isotropic_e7,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_01_P01_109_1/candidate_10_frame_000178_right,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_01_P01_109_1/candidate_10_frame_000178_right/reference_frame.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_01_P01_109_1/candidate_10_frame_000178_right/label_heatmap_merged_overlay.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_01_P01_109_1/candidate_10_frame_000178_right/vrb_style_affordance.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_01_P01_109_1/candidate_10_frame_000178_right/mask_projection_overlay.png
3,P01_109_3,put down eggs,put-down,egg,362.0,left,new_contact_episode,360.0,2.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,cotracker,ready,,small_object_whole_mask_allowed,8054,0.8309946347503095,6927.0,0.5247727272727273,True,5,0.0,contact_part_mask,26,0,False,1.0,36,36,36,1.0,0.34198588132858276,5,0.0,0.35245193913903805,,,,,,,14.41521292356014,98,5,0.0,0.0,0.0,0.0,0.0,0.0,522.945503852935,522.945503852935,1.0,strict_target_handless,8.0,tier_0_strict_target_handless,isotropic_e7,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_03_P01_109_3/candidate_00_frame_000362_left,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_03_P01_109_3/candidate_00_frame_000362_left/reference_frame.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_03_P01_109_3/candidate_00_frame_000362_left/label_heatmap_merged_overlay.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_03_P01_109_3/candidate_00_frame_000362_left/vrb_style_affordance.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_03_P01_109_3/candidate_00_frame_000362_left/mask_projection_overlay.png
3,P01_109_3,put down eggs,put-down,egg,364.0,left,new_contact_episode,360.0,4.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,cotracker,ready,,small_object_whole_mask_allowed,7575,0.7746983023113111,7058.0,0.5441369208233752,True,5,0.0,contact_part_mask,26,0,False,1.0,36,36,36,1.0,0.315527081489563,5,0.0,0.36326825132215523,,,,,,,14.404006687555313,134,5,0.0,0.0,0.0,0.0,0.0,0.0,522.945503852935,522.945503852935,1.0,strict_target_handless,8.0,tier_0_strict_target_handless,isotropic_e7,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_03_P01_109_3/candidate_02_frame_000364_left,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_03_P01_109_3/candidate_02_frame_000364_left/reference_frame.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_03_P01_109_3/candidate_02_frame_000364_left/label_heatmap_merged_overlay.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_03_P01_109_3/candidate_02_frame_000364_left/vrb_style_affordance.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_03_P01_109_3/candidate_02_frame_000364_left/mask_projection_overlay.png
3,P01_109_3,put down eggs,put-down,egg,372.0,right,new_contact_episode,360.0,12.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,cotracker,ready,,small_object_whole_mask_allowed,3738,1.0,8627.0,0.6481592787377911,True,5,0.0,contact_part_mask,26,0,False,1.0,36,36,36,1.0,0.3234514594078064,5,0.0,0.4099563326068669,,,,,,,14.355768956217766,112,5,0.0,0.0,0.0,0.0,0.0,0.0,522.945503852935,522.945503852935,1.0,strict_target_handless,8.0,tier_0_strict_target_handless,isotropic_e7,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_03_P01_109_3/candidate_07_frame_000372_right,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_03_P01_109_3/candidate_07_frame_000372_right/reference_frame.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_03_P01_109_3/candidate_07_frame_000372_right/label_heatmap_merged_overlay.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_03_P01_109_3/candidate_07_frame_000372_right/vrb_style_affordance.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_03_P01_109_3/candidate_07_frame_000372_right/mask_projection_overlay.png
4,P01_109_4,pick up onion and potato,pick-up,onion,424.0,left,continuation_entry_rescue,403.0,21.0,contact_part_local_affine,contact_part_local_affine,grabcut_fallback,bbox_fallback,cotracker,ready,,small_object_whole_mask_allowed,11699,0.5740713479562295,11281.0,0.42019592505680337,True,4,0.0,contact_part_mask,26,0,False,0.8691666666666666,36,9,6,0.6666666666666666,0.7061136960983276,4,0.0,0.6451351195242122,,,,,,,7.335698351524075,14,4,0.06866666666666667,2.0,0.030881647478070175,0.11081312623384364,0.06866666666666667,0.10637354844428686,0.0,0.0,0.7845891564376923,target_partially_occluded,1.6112150957403584,tier_3_target_partially_occluded,isotropic_e7,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_04_P01_109_4/candidate_03_frame_000424_left,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_04_P01_109_4/candidate_03_frame_000424_left/reference_frame.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_04_P01_109_4/candidate_03_frame_000424_left/label_heatmap_merged_overlay.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_04_P01_109_4/candidate_03_frame_000424_left/vrb_style_affordance.png,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e12/experiments/E12/pipeline_outputs/subaction_04_P01_109_4/candidate_03_frame_000424_left/mask_projection_overlay.png
