audit_split,subaction_index,narration_id,narration,frame_0_based,hand,status,fail_reason,sample_dir,projection_overlay_raw_vs_snapped,vrb_style_affordance,manual_label,allowed_labels,notes
success,34,P01_109_34,dry hands,3197.0,left,keep,,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_34_P01_109_34/episode_10_left/frame_003197_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_34_P01_109_34/episode_10_left/frame_003197_left/projection_overlay_raw_vs_snapped.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_34_P01_109_34/episode_10_left/frame_003197_left/vrb_style_affordance.png,,accurate_same_part|same_object_but_shifted|wrong_object|background_or_empty|unclear,
success,30,P01_109_30,rinse hands,2852.0,left,keep,,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_30_P01_109_30/episode_15_left/frame_002852_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_30_P01_109_30/episode_15_left/frame_002852_left/projection_overlay_raw_vs_snapped.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_30_P01_109_30/episode_15_left/frame_002852_left/vrb_style_affordance.png,,accurate_same_part|same_object_but_shifted|wrong_object|background_or_empty|unclear,
success,1,P01_109_1,open rucksack,199.0,right,keep,,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_07_right/frame_000199_right,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_07_right/frame_000199_right/projection_overlay_raw_vs_snapped.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_07_right/frame_000199_right/vrb_style_affordance.png,,accurate_same_part|same_object_but_shifted|wrong_object|background_or_empty|unclear,
success,34,P01_109_34,dry hands,3338.0,right,keep,,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_34_P01_109_34/episode_21_right/frame_003338_right,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_34_P01_109_34/episode_21_right/frame_003338_right/projection_overlay_raw_vs_snapped.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_34_P01_109_34/episode_21_right/frame_003338_right/vrb_style_affordance.png,,accurate_same_part|same_object_but_shifted|wrong_object|background_or_empty|unclear,
success,30,P01_109_30,rinse hands,2708.0,left,keep,,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left/projection_overlay_raw_vs_snapped.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left/vrb_style_affordance.png,,accurate_same_part|same_object_but_shifted|wrong_object|background_or_empty|unclear,
success,16,P01_109_16,close drawer,1357.0,left,keep,,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_16_P01_109_16/episode_05_left/frame_001357_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_16_P01_109_16/episode_05_left/frame_001357_left/projection_overlay_raw_vs_snapped.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_16_P01_109_16/episode_05_left/frame_001357_left/vrb_style_affordance.png,,accurate_same_part|same_object_but_shifted|wrong_object|background_or_empty|unclear,
success,34,P01_109_34,dry hands,3247.0,right,keep,,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_34_P01_109_34/episode_14_right/frame_003247_right,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_34_P01_109_34/episode_14_right/frame_003247_right/projection_overlay_raw_vs_snapped.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_34_P01_109_34/episode_14_right/frame_003247_right/vrb_style_affordance.png,,accurate_same_part|same_object_but_shifted|wrong_object|background_or_empty|unclear,
success,34,P01_109_34,dry hands,3308.0,right,keep,,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_34_P01_109_34/episode_20_right/frame_003308_right,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_34_P01_109_34/episode_20_right/frame_003308_right/projection_overlay_raw_vs_snapped.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_34_P01_109_34/episode_20_right/frame_003308_right/vrb_style_affordance.png,,accurate_same_part|same_object_but_shifted|wrong_object|background_or_empty|unclear,
success,40,P01_109_40,move pans,3855.0,right,keep,,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_40_P01_109_40/episode_04_right/frame_003855_right,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_40_P01_109_40/episode_04_right/frame_003855_right/projection_overlay_raw_vs_snapped.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_40_P01_109_40/episode_04_right/frame_003855_right/vrb_style_affordance.png,,accurate_same_part|same_object_but_shifted|wrong_object|background_or_empty|unclear,
success,45,P01_109_45,put down pan,4380.0,right,keep,,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_45_P01_109_45/episode_01_right/frame_004380_right,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_45_P01_109_45/episode_01_right/frame_004380_right/projection_overlay_raw_vs_snapped.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_45_P01_109_45/episode_01_right/frame_004380_right/vrb_style_affordance.png,,accurate_same_part|same_object_but_shifted|wrong_object|background_or_empty|unclear,
