subaction_index,narration_id,narration,verb,noun,episode_id_within_subaction,episode_contact_start_frame_0_based,frame_0_based,candidate_frame_offset_from_episode_start,hand,reference_mode,ref_idx,ref_gap,reference_gap,reference_anchor_gap,object_mask_snap_inside_count,object_mask_snap_max_distance,sample_dir,contact_frame,reference_frame,contact_overlay,projection_overlay_raw_vs_snapped,homography_matches,label_heatmap_overlay,vrb_style_affordance,problem3_full_overlay,problem3_crop
0,P01_109_0,grab rucksack,grab,rucksack,1.0,88.0,88.0,0.0,left,short_window_pre_contact,87.0,1.0,1.0,1.0,5.0,0.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/contact_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/contact_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/projection_overlay_raw_vs_snapped.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/homography_matches.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/diagnostics/problem3_ref_full_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/diagnostics/problem3_ref_crop.png
0,P01_109_0,grab rucksack,grab,rucksack,1.0,88.0,89.0,1.0,left,short_window_pre_contact,87.0,2.0,2.0,1.0,5.0,0.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000089_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000089_left/contact_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000089_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000089_left/contact_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000089_left/projection_overlay_raw_vs_snapped.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000089_left/homography_matches.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000089_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000089_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000089_left/diagnostics/problem3_ref_full_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000089_left/diagnostics/problem3_ref_crop.png
0,P01_109_0,grab rucksack,grab,rucksack,1.0,88.0,90.0,2.0,left,short_window_pre_contact,87.0,3.0,3.0,1.0,5.0,0.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000090_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000090_left/contact_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000090_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000090_left/contact_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000090_left/projection_overlay_raw_vs_snapped.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000090_left/homography_matches.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000090_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000090_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000090_left/diagnostics/problem3_ref_full_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000090_left/diagnostics/problem3_ref_crop.png
1,P01_109_1,open rucksack,open,rucksack,2.0,166.0,166.0,0.0,right,short_window_pre_contact,165.0,1.0,1.0,1.0,4.0,1.001700758934021,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000166_right,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000166_right/contact_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000166_right/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000166_right/contact_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000166_right/projection_overlay_raw_vs_snapped.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000166_right/homography_matches.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000166_right/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000166_right/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000166_right/diagnostics/problem3_ref_full_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000166_right/diagnostics/problem3_ref_crop.png
1,P01_109_1,open rucksack,open,rucksack,2.0,166.0,167.0,1.0,right,short_window_pre_contact,165.0,2.0,2.0,1.0,5.0,0.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000167_right,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000167_right/contact_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000167_right/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000167_right/contact_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000167_right/projection_overlay_raw_vs_snapped.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000167_right/homography_matches.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000167_right/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000167_right/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000167_right/diagnostics/problem3_ref_full_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000167_right/diagnostics/problem3_ref_crop.png
1,P01_109_1,open rucksack,open,rucksack,2.0,166.0,168.0,2.0,right,short_window_pre_contact,165.0,3.0,3.0,1.0,4.0,0.6397204399108887,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000168_right,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000168_right/contact_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000168_right/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000168_right/contact_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000168_right/projection_overlay_raw_vs_snapped.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000168_right/homography_matches.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000168_right/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000168_right/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000168_right/diagnostics/problem3_ref_full_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_02_right/frame_000168_right/diagnostics/problem3_ref_crop.png
1,P01_109_1,open rucksack,open,rucksack,4.0,175.0,175.0,0.0,left,short_window_pre_contact,174.0,1.0,1.0,1.0,5.0,0.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000175_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000175_left/contact_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000175_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000175_left/contact_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000175_left/projection_overlay_raw_vs_snapped.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000175_left/homography_matches.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000175_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000175_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000175_left/diagnostics/problem3_ref_full_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000175_left/diagnostics/problem3_ref_crop.png
1,P01_109_1,open rucksack,open,rucksack,4.0,175.0,176.0,1.0,left,short_window_pre_contact,174.0,2.0,2.0,1.0,5.0,0.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000176_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000176_left/contact_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000176_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000176_left/contact_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000176_left/projection_overlay_raw_vs_snapped.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000176_left/homography_matches.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000176_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000176_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000176_left/diagnostics/problem3_ref_full_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000176_left/diagnostics/problem3_ref_crop.png
1,P01_109_1,open rucksack,open,rucksack,4.0,175.0,177.0,2.0,left,short_window_pre_contact,174.0,3.0,3.0,1.0,5.0,0.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000177_left,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000177_left/contact_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000177_left/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000177_left/contact_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000177_left/projection_overlay_raw_vs_snapped.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000177_left/homography_matches.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000177_left/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000177_left/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000177_left/diagnostics/problem3_ref_full_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_04_left/frame_000177_left/diagnostics/problem3_ref_crop.png
1,P01_109_1,open rucksack,open,rucksack,7.0,197.0,198.0,1.0,right,short_window_pre_contact,196.0,2.0,2.0,1.0,5.0,0.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_07_right/frame_000198_right,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_07_right/frame_000198_right/contact_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_07_right/frame_000198_right/reference_frame.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_07_right/frame_000198_right/contact_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_07_right/frame_000198_right/projection_overlay_raw_vs_snapped.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_07_right/frame_000198_right/homography_matches.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_07_right/frame_000198_right/label_heatmap_merged_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_07_right/frame_000198_right/vrb_style_affordance.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_07_right/frame_000198_right/diagnostics/problem3_ref_full_overlay.png,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e13_engineered_homography_100subaction/experiments/E13/pipeline_outputs/subaction_01_P01_109_1/episode_07_right/frame_000198_right/diagnostics/problem3_ref_crop.png
