subaction_index,narration_id,frame_0_based,hand,status,fail_reason,object_count,active_hand_found,active_object_found,contact_points,raw_bbox_contact_points,candidate_hand_edge_points
0,P01_109_0,88,left,discard,no_clean_pre_contact_reference,1,True,True,87,222,87
1,P01_109_1,161,right,discard,no_clean_pre_contact_reference,1,True,True,166,439,166
2,P01_109_2,256,right,discard,contact_points_lt5_after_object_boundary_filter,1,True,True,0,210,0
3,P01_109_3,362,left,discard,trajectory_out_of_bounds_t+3,1,True,True,98,99,98
6,P01_109_8,527,right,keep,,1,True,True,69,79,69
8,P01_109_7,628,left,discard,no_clean_pre_contact_reference,1,True,True,112,112,112
9,P01_109_9,628,left,discard,no_clean_pre_contact_reference,1,True,True,112,112,112
10,P01_109_10,774,left,discard,no_clean_pre_contact_reference,2,True,True,5,8,5
11,P01_109_11,980,right,discard,missing_hand_or_object_bbox,0,True,False,0,0,0
12,P01_109_12,1070,left,keep,,2,True,True,63,63,63
13,P01_109_13,1180,right,discard,missing_hand_or_object_bbox,0,True,False,0,0,0
14,P01_109_14,1258,right,discard,no_clean_pre_contact_reference,2,True,True,30,30,30
16,P01_109_16,1345,left,discard,no_clean_pre_contact_reference,1,True,True,101,305,101
17,P01_109_17,1422,left,keep,,1,True,True,121,135,121
18,P01_109_18,1496,right,discard,no_clean_pre_contact_reference,1,True,True,252,333,252
20,P01_109_20,1827,left,keep,,1,True,True,296,495,296
21,P01_109_21,2088,left,keep,,1,True,True,213,538,213
22,P01_109_22,2142,right,keep,,1,True,True,241,543,241
23,P01_109_23,2213,right,discard,missing_hand_or_object_bbox,0,True,False,0,0,0
24,P01_109_24,2325,left,keep,,1,True,True,73,79,73
25,P01_109_25,2341,right,keep,,2,True,True,183,323,183
27,P01_109_27,2468,right,keep,,1,True,True,19,39,19
28,P01_109_28,2484,right,discard,no_clean_pre_contact_reference,1,True,True,69,99,69
29,P01_109_29,2550,right,keep,,1,True,True,23,23,23
30,P01_109_30,2708,left,keep,,2,True,True,26,200,26
31,P01_109_31,2968,left,discard,no_clean_pre_contact_reference,1,True,True,21,77,21
32,P01_109_32,3009,left,discard,no_clean_pre_contact_reference,1,True,True,142,999,142
33,P01_109_33,3088,left,keep,,1,True,True,54,162,54
34,P01_109_34,3121,left,discard,missing_hand_or_object_bbox,0,True,False,0,0,0
35,P01_109_35,3356,left,keep,,1,True,True,117,169,117
