subaction_index,narration_id,narration,contact_frame_0_based,ref_idx,reference_mode,ref_gap,reference_anchor_gap,reference_frame_path
3,P01_109_3,put down eggs,362,361,closest_clean_pre_contact_active_hand_visible,1.0,1.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/data/P01_109_frames/frame_0000000362.jpg
6,P01_109_8,pick up potato,527,511,closest_clean_pre_contact_humanless,16.0,16.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/reference_frame.png
12,P01_109_12,open drawer,1070,1069,closest_clean_pre_contact_active_hand_visible,1.0,1.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/reference_frame.png
17,P01_109_17,close freezer,1422,1420,closest_clean_pre_contact_humanless,2.0,2.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_17_P01_109_17/episode_01_left/frame_001422_left/reference_frame.png
20,P01_109_20,close door,1827,1818,closest_clean_pre_contact_humanless,9.0,9.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_20_P01_109_20/episode_01_left/frame_001827_left/reference_frame.png
21,P01_109_21,pick up cup,2088,2087,closest_clean_pre_contact_humanless,1.0,1.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left/reference_frame.png
22,P01_109_22,put down cup,2142,2140,closest_clean_pre_contact_humanless,2.0,2.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right/reference_frame.png
24,P01_109_24,open drawer,2325,2311,closest_clean_pre_contact_humanless,14.0,14.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_24_P01_109_24/episode_01_left/frame_002325_left/reference_frame.png
25,P01_109_25,put spoon into drawer,2341,2338,closest_clean_pre_contact_humanless,3.0,3.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right/reference_frame.png
27,P01_109_27,pour hand wash,2468,2448,closest_clean_pre_contact_active_hand_visible,20.0,20.0,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_27_P01_109_27/episode_01_right/frame_002468_right/reference_frame.png
