experiment_id,experiment_name,contact_strategy,reference_strategy,subaction_index,narration_id,video_id,narration,verb,noun,all_nouns,start_frame_1_based,stop_frame_1_based,clipped_start_frame_0_based,clipped_stop_frame_0_based,candidate_index,frame_0_based,frame_1_based,hand,status,passed_stage,failed_stage,fail_reason,contact_points,raw_contact_points_count,cell2_raw_contact_available,ref_idx,ref_frame_1_based,ref_gap,reference_anchor_gap,reference_offset,reference_offsets,trajectory_points,missing_trajectory_count,heatmap_mode,sample_score,sample_dir,reference_mode,reference_reason,reference_attempted_refs,reference_reject_reasons,active_hand_visible_at_ref,active_hand_score_at_ref,active_hand_state_at_ref,active_hand_contact_binary_at_ref,any_contact_binary_at_ref,reference_hand_object_iou,reference_hand_object_center_distance,projected_contact_centroid_ref,projected_contact_centroid_in_bounds,strict_ref_idx_shadow,strict_ref_idx,strict_reference_anchor_gap_shadow,strict_reference_anchor_gap,active_hand_invisible_ref_idx_shadow,active_hand_invisible_reference_anchor_gap_shadow,clean_ref_idx_shadow,clean_reference_anchor_gap_shadow,reference_anchor_gap_delta_vs_strict,strict_reference_available,fallback_reference_used,fallback_reference_attempted,fallback_reference_in_pre_contact_gap,fallback_ref_before_episode_start,fallback_rescued_from_no_strict_humanless,no_pre_episode_reference_window_not_rescued,rescued_from_no_strict_humanless,crop_bbox_150,crop_hand_overlap_ratio,object_hand_overlap_ratio,fallback_attempted_refs,fallback_reject_reasons,fallback_precheck_homography_min_inlier_ratio,fallback_precheck_homography_min_inliers,fallback_precheck_homography_min_good_matches,closest_active_hand_no_contact_frame_shadow,closest_any_contact_zero_frame_shadow,e14_clean_ref_idx_shadow,strict_reference_debug,pre_contact_window_nonempty,episode_contact_start_frame_0_based,episode_contact_start_frame_1_based,episode_contact_end_frame_0_based,candidate_frame_offset_from_episode_start,reference_anchor_frame_0_based,pre_contact_gap_start_frame_0_based,pre_contact_gap_end_frame_0_based,gap_length_before_episode_start,raw_semantic_window_start_0_based,raw_semantic_window_end_0_based,effective_reference_window_start_0_based,effective_reference_window_end_0_based,max_ref_backtrack,window_truncated_by_max_backtrack,reference_search_window_start_0_based,reference_search_window_end_0_based,ref_before_episode_start,is_candidate_at_episode_start,is_candidate_near_episode_start,episode_contact_run_length,subaction_new_contact_count,candidate_is_episode_representative,episode_id_within_subaction,episode_start_hand,episode_start_reason,reference_object_consistency_pass,reference_object_consistency_reason,reference_object_bbox,reference_object_bbox_score,reference_object_iou,reference_object_center_distance,projected_object_bbox,projected_object_area,projected_contact_to_reference_object_distance,projected_contact_means_inside_reference_object_count,reference_object_candidate_count,is_articulated_object_candidate,articulated_object_policy,episode_decision,episode_final_label,episode_id,episode_reason,episode_object_key,episode_noun_tokens,episode_prev_subaction_index,episode_prev_narration_id,episode_prev_last_contact_frame,episode_gap_start_frame,episode_gap_stop_frame,episode_no_contact_streak,episode_no_hand_streak,episode_raw_candidate_count,episode_filtered_candidate_count,min_ref_frame_idx,reference_frame,label_heatmap_npy,label_heatmap_png,label_heatmap_overlay,vrb_style_affordance,heatmap_shape,arrow_generated,problem3_full_overlay,problem3_crop,homography_pairs,homography_min_inlier_ratio,homography_min_inliers,homography_min_good_matches,homography_fail_reasons,homography_available_without_geometry_gate,projected_area,area_ratio,inside_count,centroid_dist
E17,E17_near_contact_reference,first_new_contact_episode_first_timestep,near_contact_pre_frame_offset_5_to_10,0,P01_109_0,P01_109,grab rucksack,grab,rucksack,['rucksack'],79,126,78,125,0.0,88.0,89.0,left,discard,Cell2_contact_gmm,Cell3_homography_geometry,pairwise_homography_low_quality_f93_to_f92,87,87,True,83.0,84.0,5.0,5.0,5.0,"5,6,7,8,9,10",6,0.0,,,outputs/e17/experiments/E17/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left,near_contact_pre_frame,closest_pre_contact_offset_in_5_10,1,{},True,0.9971628785133362,PORTABLE_OBJECT,1.0,1.0,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,,,,0,{},,,,,,,"{'rejected_isolated_frames': [], 'streak_lengths': {83: 0, 82: 0, 81: 0, 80: 0, 79: 0, 78: 0}, 'final_streak_start': None, 'final_streak_length': 0}",True,88.0,89.0,98.0,0.0,88.0,85.0,87.0,3.0,78.0,83.0,78.0,83.0,10.0,False,78.0,83.0,True,True,True,11.0,1,True,1.0,left,smoothed_contact_0_to_1,,,,,,,,,,,,False,record_only,new_contact_episode,new_contact_episode,P01_109_sub000_ep01_left,smoothed_contact_run_start_within_subaction,rucksack,['rucksack'],,,,,,,,48,1,78.0,,,,,,,,,,6.0,0.9166666666666666,11.0,12.0,,False,,,,
E17,E17_near_contact_reference,first_new_contact_episode_first_timestep,near_contact_pre_frame_offset_5_to_10,1,P01_109_1,P01_109,open rucksack,open,rucksack,['rucksack'],153,226,152,225,0.0,161.0,162.0,right,discard,Cell2_contact_gmm,Cell3_homography_geometry,pairwise_homography_low_quality_f161_to_f160,166,166,True,156.0,157.0,5.0,5.0,5.0,"5,6,7,8,9,10",6,0.0,,,outputs/e17/experiments/E17/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right,near_contact_pre_frame,closest_pre_contact_offset_in_5_10,1,{},True,0.9988756775856018,PORTABLE_OBJECT,1.0,1.0,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,,,,0,{},,,,,,,"{'rejected_isolated_frames': [], 'streak_lengths': {156: 0, 155: 0, 154: 0, 153: 0, 152: 0, 151: 0}, 'final_streak_start': None, 'final_streak_length': 0}",True,161.0,162.0,161.0,0.0,161.0,157.0,160.0,4.0,151.0,156.0,151.0,156.0,10.0,False,151.0,156.0,True,True,True,1.0,1,True,1.0,right,smoothed_contact_0_to_1,,,,,,,,,,,,False,record_only,new_contact_episode,new_contact_episode,P01_109_sub001_ep01_right,smoothed_contact_run_start_within_subaction,rucksack,['rucksack'],,,,,,,,97,1,151.0,,,,,,,,,,21.0,0.9166666666666666,58.0,59.0,,False,,,,
E17,E17_near_contact_reference,first_new_contact_episode_first_timestep,near_contact_pre_frame_offset_5_to_10,2,P01_109_2,P01_109,pick up eggs,pick-up,egg,['egg'],252,319,251,318,0.0,256.0,257.0,right,discard,candidate,Cell2_contact_gmm,contact_points_lt5_after_object_boundary_filter,0,0,False,251.0,252.0,5.0,5.0,5.0,"5,6,7,8,9,10",0,,,,outputs/e17/experiments/E17/pipeline_outputs/subaction_02_P01_109_2/episode_01_right/frame_000256_right,near_contact_pre_frame,closest_pre_contact_offset_in_5_10,1,{},True,0.9932803511619568,PORTABLE_OBJECT,1.0,1.0,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,,,,0,,,,,,,,"{'rejected_isolated_frames': [], 'streak_lengths': {251: 0, 250: 0, 249: 0, 248: 0, 247: 0, 246: 0}, 'final_streak_start': None, 'final_streak_length': 0}",True,256.0,257.0,332.0,0.0,256.0,253.0,255.0,3.0,246.0,251.0,246.0,251.0,10.0,False,246.0,251.0,True,True,True,77.0,1,True,1.0,right,smoothed_contact_0_to_1,,,,,,,,,,,,False,record_only,new_contact_episode,new_contact_episode,P01_109_sub002_ep01_right,smoothed_contact_run_start_within_subaction,egg,['egg'],,,,,,,,133,1,246.0,,,,,,,,,,,,,,,False,,,,
E17,E17_near_contact_reference,first_new_contact_episode_first_timestep,near_contact_pre_frame_offset_5_to_10,3,P01_109_3,P01_109,put down eggs,put-down,egg,['egg'],319,374,318,373,0.0,362.0,363.0,left,discard,Cell3_homography_available,Cell3_homography_geometry,trajectory_out_of_bounds_t+1,98,98,True,357.0,358.0,5.0,5.0,5.0,"5,6,7,8,9,10",6,0.0,,,outputs/e17/experiments/E17/pipeline_outputs/subaction_03_P01_109_3/episode_01_left/frame_000362_left,near_contact_pre_frame,closest_pre_contact_offset_in_5_10,1,{},False,,,0.0,0.0,,,,,357.0,,5.0,,357.0,5.0,357.0,5.0,0.0,True,False,False,False,False,False,False,False,,,,0,{},,,,,,357.0,"{'rejected_isolated_frames': [], 'streak_lengths': {357: 6}, 'final_streak_start': 352, 'final_streak_length': 6}",True,362.0,363.0,364.0,0.0,362.0,328.0,361.0,34.0,352.0,357.0,352.0,357.0,10.0,False,352.0,357.0,True,True,True,3.0,1,True,1.0,left,smoothed_contact_0_to_1,,,,,,,,,,,,False,record_only,new_contact_episode,new_contact_episode,P01_109_sub003_ep01_left,smoothed_contact_run_start_within_subaction,egg,['egg'],,,,,,,,36,1,352.0,,,,,,,,,,45.0,0.8791208791208791,80.0,91.0,,True,13225.720703125,0.9847160270117292,5.0,8.856335854687268
E17,E17_near_contact_reference,first_new_contact_episode_first_timestep,near_contact_pre_frame_offset_5_to_10,4,P01_109_4,P01_109,pick up onion and potato,pick-up,onion,"['onion', 'potato']",424,475,423,474,,,,,discard,episode_filter,episode_filter,continuation_contact_run,0,0,False,,,,,,"5,6,7,8,9,10",0,,,,,,,0,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,False,record_only,continuation_contact_run,continuation_contact_run,,contact_present_but_run_started_before_subaction,onion,"['onion', 'potato']",,,,,,,,104,0,,,,,,,,,,,,,,,,False,,,,
E17,E17_near_contact_reference,first_new_contact_episode_first_timestep,near_contact_pre_frame_offset_5_to_10,5,P01_109_5,P01_109,put down onion and potato,put-down,onion,"['onion', 'potato']",480,523,479,522,,,,,discard,episode_filter,episode_filter,continuation_contact_run,0,0,False,,,,,,"5,6,7,8,9,10",0,,,,,,,0,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,False,record_only,continuation_contact_run,continuation_contact_run,,contact_present_but_run_started_before_subaction,onion,"['onion', 'potato']",,,,,,,,31,0,,,,,,,,,,,,,,,,False,,,,
E17,E17_near_contact_reference,first_new_contact_episode_first_timestep,near_contact_pre_frame_offset_5_to_10,6,P01_109_8,P01_109,pick up potato,pick-up,potato,['potato'],500,622,499,621,0.0,527.0,528.0,right,keep,Cell4_label_heatmap,,,69,69,True,522.0,523.0,5.0,5.0,5.0,"5,6,7,8,9,10",6,0.0,covariance,6.2255223880597015,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right,near_contact_pre_frame,closest_pre_contact_offset_in_5_10,1,{},True,0.9991450309753418,PORTABLE_OBJECT,0.0,0.0,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,"(172, 66, 322, 216)",0.3078666666666667,,0,{},,,,,,,"{'rejected_isolated_frames': [], 'streak_lengths': {522: 0, 521: 0, 520: 0, 519: 0, 518: 0, 517: 0}, 'final_streak_start': None, 'final_streak_length': 0}",True,527.0,528.0,592.0,0.0,527.0,483.0,526.0,44.0,517.0,522.0,517.0,522.0,10.0,False,517.0,522.0,True,True,True,66.0,1,True,1.0,right,smoothed_contact_0_to_1,,,,,,,,,,,,False,record_only,new_contact_episode,new_contact_episode,P01_109_sub006_ep01_right,smoothed_contact_run_start_within_subaction,potato,['potato'],,,,,,,,140,1,517.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/label_heatmap_merged.npy,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/label_heatmap_merged.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/vrb_style_affordance.png,"(256, 456)",True,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/diagnostics/problem3_ref_crop.png,45.0,0.9477611940298507,110.0,110.0,,True,1732.8671875,0.8544709840825472,5.0,2.2559644248036115
E17,E17_near_contact_reference,first_new_contact_episode_first_timestep,near_contact_pre_frame_offset_5_to_10,7,P01_109_6,P01_109,pick up potatoes,pick-up,potato,['potato'],543,579,542,578,,,,,discard,episode_filter,episode_filter,continuation_contact_run,0,0,False,,,,,,"5,6,7,8,9,10",0,,,,,,,0,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,False,record_only,continuation_contact_run,continuation_contact_run,,contact_present_but_run_started_before_subaction,potato,['potato'],,,,,,,,74,0,,,,,,,,,,,,,,,,False,,,,
E17,E17_near_contact_reference,first_new_contact_episode_first_timestep,near_contact_pre_frame_offset_5_to_10,8,P01_109_7,P01_109,put down potatoes,put-down,potato,['potato'],550,734,549,733,0.0,628.0,629.0,left,discard,Cell2_contact_gmm,Cell3_homography_geometry,pairwise_homography_low_quality_f630_to_f629,112,112,True,623.0,624.0,5.0,5.0,5.0,"5,6,7,8,9,10",6,0.0,,,outputs/e17/experiments/E17/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left,near_contact_pre_frame,closest_pre_contact_offset_in_5_10,1,{},True,0.9994382262229919,NO_CONTACT,0.0,0.0,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,,,,0,{},,,,,,,"{'rejected_isolated_frames': [], 'streak_lengths': {623: 0, 622: 0, 621: 0, 620: 0, 619: 0, 618: 0}, 'final_streak_start': None, 'final_streak_length': 0}",True,628.0,629.0,641.0,0.0,628.0,595.0,627.0,33.0,618.0,623.0,618.0,623.0,10.0,False,618.0,623.0,True,True,True,14.0,1,True,1.0,left,smoothed_contact_0_to_1,,,,,,,,,,,,False,record_only,new_contact_episode,new_contact_episode,P01_109_sub008_ep01_left,smoothed_contact_run_start_within_subaction,potato,['potato'],,,,,,,,190,1,618.0,,,,,,,,,,16.0,0.8793103448275862,51.0,56.0,,False,,,,
E17,E17_near_contact_reference,first_new_contact_episode_first_timestep,near_contact_pre_frame_offset_5_to_10,9,P01_109_9,P01_109,put down potato,put-down,potato,['potato'],625,752,624,751,0.0,628.0,629.0,left,discard,Cell2_contact_gmm,Cell3_homography_geometry,pairwise_homography_low_quality_f630_to_f629,112,112,True,623.0,624.0,5.0,5.0,5.0,"5,6,7,8,9,10",6,0.0,,,outputs/e17/experiments/E17/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left,near_contact_pre_frame,closest_pre_contact_offset_in_5_10,1,{},True,0.9994382262229919,NO_CONTACT,0.0,0.0,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,,,,0,{},,,,,,,"{'rejected_isolated_frames': [], 'streak_lengths': {623: 0, 622: 0, 621: 0, 620: 0, 619: 0, 618: 0}, 'final_streak_start': None, 'final_streak_length': 0}",True,628.0,629.0,641.0,0.0,628.0,595.0,627.0,33.0,618.0,623.0,618.0,623.0,10.0,False,618.0,623.0,True,True,True,14.0,1,True,1.0,left,smoothed_contact_0_to_1,,,,,,,,,,,,False,record_only,new_contact_episode,new_contact_episode,P01_109_sub009_ep01_left,smoothed_contact_run_start_within_subaction,potato,['potato'],,,,,,,,136,1,618.0,,,,,,,,,,16.0,0.8793103448275862,51.0,56.0,,False,,,,
