experiment_id,experiment_name,contact_strategy,reference_strategy,subaction_index,narration_id,video_id,narration,verb,noun,all_nouns,start_frame_1_based,stop_frame_1_based,clipped_start_frame_0_based,clipped_stop_frame_0_based,candidate_index,frame_0_based,frame_1_based,hand,status,passed_stage,failed_stage,fail_reason,contact_points,raw_contact_points_count,cell2_raw_contact_available,ref_idx,ref_frame_1_based,ref_gap,reference_anchor_gap,reference_offset,reference_offsets,trajectory_points,missing_trajectory_count,heatmap_mode,sample_score,sample_dir,reference_mode,reference_reason,reference_attempted_refs,reference_reject_reasons,active_hand_visible_at_ref,active_hand_score_at_ref,active_hand_state_at_ref,active_hand_contact_binary_at_ref,any_contact_binary_at_ref,reference_hand_object_iou,reference_hand_object_center_distance,projected_contact_centroid_ref,projected_contact_centroid_in_bounds,strict_ref_idx_shadow,strict_ref_idx,strict_reference_anchor_gap_shadow,strict_reference_anchor_gap,active_hand_invisible_ref_idx_shadow,active_hand_invisible_reference_anchor_gap_shadow,clean_ref_idx_shadow,clean_reference_anchor_gap_shadow,reference_anchor_gap_delta_vs_strict,strict_reference_available,fallback_reference_used,fallback_reference_attempted,fallback_reference_in_pre_contact_gap,fallback_ref_before_episode_start,fallback_rescued_from_no_strict_humanless,no_pre_episode_reference_window_not_rescued,rescued_from_no_strict_humanless,crop_bbox_150,crop_hand_overlap_ratio,object_hand_overlap_ratio,fallback_attempted_refs,fallback_reject_reasons,fallback_precheck_homography_min_inlier_ratio,fallback_precheck_homography_min_inliers,fallback_precheck_homography_min_good_matches,closest_active_hand_no_contact_frame_shadow,closest_any_contact_zero_frame_shadow,e14_clean_ref_idx_shadow,strict_reference_debug,pre_contact_window_nonempty,episode_contact_start_frame_0_based,episode_contact_start_frame_1_based,episode_contact_end_frame_0_based,candidate_frame_offset_from_episode_start,reference_anchor_frame_0_based,pre_contact_gap_start_frame_0_based,pre_contact_gap_end_frame_0_based,gap_length_before_episode_start,raw_semantic_window_start_0_based,raw_semantic_window_end_0_based,effective_reference_window_start_0_based,effective_reference_window_end_0_based,max_ref_backtrack,window_truncated_by_max_backtrack,reference_search_window_start_0_based,reference_search_window_end_0_based,ref_before_episode_start,is_candidate_at_episode_start,is_candidate_near_episode_start,episode_contact_run_length,subaction_new_contact_count,candidate_is_episode_representative,episode_id_within_subaction,episode_start_hand,episode_start_reason,reference_object_consistency_pass,reference_object_consistency_reason,reference_object_bbox,reference_object_bbox_score,reference_object_iou,reference_object_center_distance,projected_object_bbox,projected_object_area,projected_contact_to_reference_object_distance,projected_contact_means_inside_reference_object_count,reference_object_candidate_count,is_articulated_object_candidate,articulated_object_policy,episode_decision,episode_final_label,episode_id,episode_reason,episode_object_key,episode_noun_tokens,episode_prev_subaction_index,episode_prev_narration_id,episode_prev_last_contact_frame,episode_gap_start_frame,episode_gap_stop_frame,episode_no_contact_streak,episode_no_hand_streak,episode_raw_candidate_count,episode_filtered_candidate_count,min_ref_frame_idx,reference_frame,label_heatmap_npy,label_heatmap_png,label_heatmap_overlay,vrb_style_affordance,heatmap_shape,arrow_generated,problem3_full_overlay,problem3_crop,homography_pairs,homography_min_inlier_ratio,homography_min_inliers,homography_min_good_matches,homography_fail_reasons,homography_available_without_geometry_gate,projected_area,area_ratio,inside_count,centroid_dist,sample_key,in_baseline
E17,E17_near_contact_reference,first_new_contact_episode_first_timestep,near_contact_pre_frame_offset_5_to_10,6,P01_109_8,P01_109,pick up potato,pick-up,potato,['potato'],500,622,499,621,0.0,527.0,528.0,right,keep,Cell4_label_heatmap,,,69,69,True,522.0,523.0,5.0,5.0,5.0,"5,6,7,8,9,10",6,0.0,covariance,6.2255223880597015,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right,near_contact_pre_frame,closest_pre_contact_offset_in_5_10,1,{},True,0.9991450309753418,PORTABLE_OBJECT,0.0,0.0,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,"(172, 66, 322, 216)",0.3078666666666667,,0,{},,,,,,,"{'rejected_isolated_frames': [], 'streak_lengths': {522: 0, 521: 0, 520: 0, 519: 0, 518: 0, 517: 0}, 'final_streak_start': None, 'final_streak_length': 0}",True,527.0,528.0,592.0,0.0,527.0,483.0,526.0,44.0,517.0,522.0,517.0,522.0,10.0,False,517.0,522.0,True,True,True,66.0,1,True,1.0,right,smoothed_contact_0_to_1,,,,,,,,,,,,False,record_only,new_contact_episode,new_contact_episode,P01_109_sub006_ep01_right,smoothed_contact_run_start_within_subaction,potato,['potato'],,,,,,,,140,1,517.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/label_heatmap_merged.npy,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/label_heatmap_merged.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/vrb_style_affordance.png,"(256, 456)",True,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/diagnostics/problem3_ref_crop.png,45.0,0.9477611940298507,110.0,110.0,,True,1732.8671875,0.8544709840825472,5.0,2.2559644248036115,6:527:right,True
E17,E17_near_contact_reference,first_new_contact_episode_first_timestep,near_contact_pre_frame_offset_5_to_10,12,P01_109_12,P01_109,open drawer,open,drawer,['drawer'],1045,1123,1044,1122,0.0,1070.0,1071.0,left,keep,Cell4_label_heatmap,,,63,63,True,1065.0,1066.0,5.0,5.0,5.0,"5,6,7,8,9,10",6,0.0,covariance,6.126666666666667,outputs/e17/experiments/E17/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left,near_contact_pre_frame,closest_pre_contact_offset_in_5_10,1,{},False,0.013325681909918785,PORTABLE_OBJECT,0.0,1.0,,,,,,,,,1065.0,5.0,1065.0,5.0,,False,False,False,False,False,False,False,False,"(0, 106, 150, 256)",0.0,,0,{},,,,,,1065.0,"{'rejected_isolated_frames': [], 'streak_lengths': {1065: 0, 1064: 0, 1063: 0, 1062: 0, 1061: 0, 1060: 0}, 'final_streak_start': None, 'final_streak_length': 0}",True,1070.0,1071.0,1141.0,0.0,1070.0,815.0,1069.0,255.0,1060.0,1065.0,1060.0,1065.0,10.0,False,1060.0,1065.0,True,True,True,72.0,1,True,1.0,left,smoothed_contact_0_to_1,,,,,,,,,,,,True,record_only,new_contact_episode,new_contact_episode,P01_109_sub012_ep01_left,smoothed_contact_run_start_within_subaction,drawer,['drawer'],,,,,,,,132,1,1060.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/label_heatmap_merged.npy,outputs/e17/experiments/E17/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/label_heatmap_merged.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/vrb_style_affordance.png,"(256, 456)",True,outputs/e17/experiments/E17/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/diagnostics/problem3_ref_crop.png,45.0,0.9583333333333334,178.0,183.0,,True,7450.80517578125,1.0185652522897048,5.0,5.118548844724483,12:1070:left,False
E17,E17_near_contact_reference,first_new_contact_episode_first_timestep,near_contact_pre_frame_offset_5_to_10,14,P01_109_14,P01_109,put beer into drawer,put-into,beer,"['beer', 'drawer']",1230,1283,1229,1282,0.0,1258.0,1259.0,right,keep,Cell4_label_heatmap,,,30,30,True,1253.0,1254.0,5.0,5.0,5.0,"5,6,7,8,9,10",6,0.0,covariance,5.434393063583815,outputs/e17/experiments/E17/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right,near_contact_pre_frame,closest_pre_contact_offset_in_5_10,1,{},False,,,0.0,1.0,,,,,,,,,1253.0,5.0,,,,False,False,False,False,False,False,False,False,"(173, 0, 323, 150)",0.1888,,0,{},,,,,,,"{'rejected_isolated_frames': [], 'streak_lengths': {1253: 0, 1252: 0, 1251: 0, 1250: 0, 1249: 0, 1248: 0}, 'final_streak_start': None, 'final_streak_length': 0}",True,1258.0,1259.0,1265.0,0.0,1258.0,1242.0,1257.0,16.0,1248.0,1253.0,1248.0,1253.0,10.0,False,1248.0,1253.0,True,True,True,8.0,1,True,1.0,right,smoothed_contact_0_to_1,,,,,,,,,,,,True,record_only,new_contact_episode,new_contact_episode,P01_109_sub014_ep01_right,smoothed_contact_run_start_within_subaction,beer,"['beer', 'drawer']",,,,,,,,71,1,1248.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/label_heatmap_merged.npy,outputs/e17/experiments/E17/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/label_heatmap_merged.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/vrb_style_affordance.png,"(256, 456)",True,outputs/e17/experiments/E17/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/diagnostics/problem3_ref_crop.png,45.0,0.9421965317919075,422.0,425.0,,True,5735.115234375,0.9748624076093002,5.0,2.3802958882486847,14:1258:right,False
E17,E17_near_contact_reference,first_new_contact_episode_first_timestep,near_contact_pre_frame_offset_5_to_10,16,P01_109_16,P01_109,close drawer,close,drawer,['drawer'],1345,1401,1344,1400,0.0,1345.0,1346.0,left,keep,Cell4_label_heatmap,,,101,101,True,1340.0,1341.0,5.0,5.0,5.0,"5,6,7,8,9,10",6,0.0,covariance,6.896701570680628,outputs/e17/experiments/E17/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left,near_contact_pre_frame,closest_pre_contact_offset_in_5_10,1,{},True,0.9985501170158386,STATIONARY_OBJECT,1.0,1.0,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,"(181, 82, 331, 232)",0.3013777777777778,,0,{},,,,,,,"{'rejected_isolated_frames': [], 'streak_lengths': {1340: 0, 1339: 0, 1338: 0, 1337: 0, 1336: 0, 1335: 0}, 'final_streak_start': None, 'final_streak_length': 0}",True,1345.0,1346.0,1352.0,0.0,1345.0,1343.0,1344.0,2.0,1335.0,1340.0,1335.0,1340.0,10.0,False,1335.0,1340.0,True,True,True,8.0,1,True,1.0,left,smoothed_contact_0_to_1,,,,,,,,,,,,True,record_only,new_contact_episode,new_contact_episode,P01_109_sub016_ep01_left,smoothed_contact_run_start_within_subaction,drawer,['drawer'],,,,,,,,60,1,1335.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/label_heatmap_merged.npy,outputs/e17/experiments/E17/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/label_heatmap_merged.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/vrb_style_affordance.png,"(256, 456)",True,outputs/e17/experiments/E17/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/diagnostics/problem3_ref_crop.png,45.0,0.9633507853403142,171.0,175.0,,True,25467.78125,0.9812282084835505,5.0,23.196104166643078,16:1345:left,False
E17,E17_near_contact_reference,first_new_contact_episode_first_timestep,near_contact_pre_frame_offset_5_to_10,18,P01_109_18,P01_109,pick up rucksack,pick-up,rucksack,['rucksack'],1485,1527,1484,1526,0.0,1496.0,1497.0,right,keep,Cell4_label_heatmap,,,252,252,True,1491.0,1492.0,5.0,5.0,5.0,"5,6,7,8,9,10",6,0.0,covariance,9.936428571428571,outputs/e17/experiments/E17/pipeline_outputs/subaction_18_P01_109_18/episode_01_right/frame_001496_right,near_contact_pre_frame,closest_pre_contact_offset_in_5_10,1,{},True,0.9994081258773804,PORTABLE_OBJECT,1.0,1.0,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,"(190, 93, 340, 243)",0.11466666666666667,,0,{},,,,,,,"{'rejected_isolated_frames': [], 'streak_lengths': {1491: 0, 1490: 0, 1489: 0, 1488: 0, 1487: 0, 1486: 0}, 'final_streak_start': None, 'final_streak_length': 0}",True,1496.0,1497.0,1516.0,0.0,1496.0,1493.0,1495.0,3.0,1486.0,1491.0,1486.0,1491.0,10.0,False,1486.0,1491.0,True,True,True,21.0,1,True,1.0,right,smoothed_contact_0_to_1,,,,,,,,,,,,False,record_only,new_contact_episode,new_contact_episode,P01_109_sub018_ep01_right,smoothed_contact_run_start_within_subaction,rucksack,['rucksack'],,,,,,,,36,1,1486.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_18_P01_109_18/episode_01_right/frame_001496_right/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_18_P01_109_18/episode_01_right/frame_001496_right/label_heatmap_merged.npy,outputs/e17/experiments/E17/pipeline_outputs/subaction_18_P01_109_18/episode_01_right/frame_001496_right/label_heatmap_merged.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_18_P01_109_18/episode_01_right/frame_001496_right/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_18_P01_109_18/episode_01_right/frame_001496_right/vrb_style_affordance.png,"(256, 456)",True,outputs/e17/experiments/E17/pipeline_outputs/subaction_18_P01_109_18/episode_01_right/frame_001496_right/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_18_P01_109_18/episode_01_right/frame_001496_right/diagnostics/problem3_ref_crop.png,45.0,0.9732142857142857,88.0,90.0,,True,24246.435546875,0.8915769860912902,5.0,25.705269662384815,18:1496:right,False
E17,E17_near_contact_reference,first_new_contact_episode_first_timestep,near_contact_pre_frame_offset_5_to_10,20,P01_109_20,P01_109,close door,close,door,['door'],1812,1946,1811,1945,0.0,1827.0,1828.0,left,keep,Cell4_label_heatmap,,,296,296,True,1822.0,1823.0,5.0,5.0,5.0,"5,6,7,8,9,10",5,1.0,covariance,9.786955017301038,outputs/e17/experiments/E17/pipeline_outputs/subaction_20_P01_109_20/episode_01_left/frame_001827_left,near_contact_pre_frame,closest_pre_contact_offset_in_5_10,1,{},False,,,0.0,0.0,,,,,,,,,1822.0,5.0,1818.0,9.0,,False,False,False,False,False,False,False,False,"(227, 20, 377, 170)",0.084,,0,{},,,,,,1818.0,"{'rejected_isolated_frames': [], 'streak_lengths': {1822: 0, 1821: 0, 1820: 0, 1819: 0, 1818: 0, 1817: 0}, 'final_streak_start': None, 'final_streak_length': 0}",True,1827.0,1828.0,1830.0,0.0,1827.0,1536.0,1826.0,291.0,1817.0,1822.0,1817.0,1822.0,10.0,False,1817.0,1822.0,True,True,True,4.0,1,True,1.0,left,smoothed_contact_0_to_1,,,,,,,,,,,,True,record_only,new_contact_episode,new_contact_episode,P01_109_sub020_ep01_left,smoothed_contact_run_start_within_subaction,door,['door'],,,,,,,,33,1,1817.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_20_P01_109_20/episode_01_left/frame_001827_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_20_P01_109_20/episode_01_left/frame_001827_left/label_heatmap_merged.npy,outputs/e17/experiments/E17/pipeline_outputs/subaction_20_P01_109_20/episode_01_left/frame_001827_left/label_heatmap_merged.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_20_P01_109_20/episode_01_left/frame_001827_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_20_P01_109_20/episode_01_left/frame_001827_left/vrb_style_affordance.png,"(256, 456)",True,outputs/e17/experiments/E17/pipeline_outputs/subaction_20_P01_109_20/episode_01_left/frame_001827_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_20_P01_109_20/episode_01_left/frame_001827_left/diagnostics/problem3_ref_crop.png,35.0,0.9584775086505191,103.0,106.0,,True,27835.115234375,0.7742084222027501,5.0,28.91836246349983,20:1827:left,False
E17,E17_near_contact_reference,first_new_contact_episode_first_timestep,near_contact_pre_frame_offset_5_to_10,21,P01_109_21,P01_109,pick up cup,pick-up,cup,['cup'],2084,2120,2083,2119,0.0,2088.0,2089.0,left,keep,Cell4_label_heatmap,,,213,213,True,2083.0,2084.0,5.0,5.0,5.0,"5,6,7,8,9,10",3,3.0,covariance,6.149890710382514,outputs/e17/experiments/E17/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left,near_contact_pre_frame,closest_pre_contact_offset_in_5_10,1,{},False,,,0.0,0.0,,,,,,,,,2083.0,5.0,2080.0,8.0,,False,False,False,False,False,False,False,False,"(263, 50, 413, 200)",0.15253333333333333,,0,{},,,,,,2080.0,"{'rejected_isolated_frames': [], 'streak_lengths': {2083: 0, 2082: 0, 2081: 0, 2080: 0, 2079: 0, 2078: 0}, 'final_streak_start': None, 'final_streak_length': 0}",True,2088.0,2089.0,2090.0,0.0,2088.0,1842.0,2087.0,246.0,2078.0,2083.0,2078.0,2083.0,10.0,False,2078.0,2083.0,True,True,True,3.0,1,True,1.0,left,smoothed_contact_0_to_1,,,,,,,,,,,,False,record_only,new_contact_episode,new_contact_episode,P01_109_sub021_ep01_left,smoothed_contact_run_start_within_subaction,cup,['cup'],,,,,,,,6,1,2078.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left/label_heatmap_merged.npy,outputs/e17/experiments/E17/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left/label_heatmap_merged.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left/vrb_style_affordance.png,"(256, 456)",True,outputs/e17/experiments/E17/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left/diagnostics/problem3_ref_crop.png,18.0,0.9699453551912568,331.0,335.0,,True,27721.025390625,0.8118857894450137,5.0,57.06796822255235,21:2088:left,True
E17,E17_near_contact_reference,first_new_contact_episode_first_timestep,near_contact_pre_frame_offset_5_to_10,22,P01_109_22,P01_109,put down cup,put-down,cup,['cup'],2132,2193,2131,2192,0.0,2142.0,2143.0,right,keep,Cell4_label_heatmap,,,241,241,True,2137.0,2138.0,5.0,5.0,5.0,"5,6,7,8,9,10",6,0.0,covariance,9.713589743589743,outputs/e17/experiments/E17/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right,near_contact_pre_frame,closest_pre_contact_offset_in_5_10,1,{},False,0.30940136313438416,PORTABLE_OBJECT,0.0,0.0,,,,,2134.0,,8.0,,2137.0,5.0,2137.0,5.0,-3.0,True,False,False,False,False,False,False,False,"(235, 0, 385, 150)",0.0,,0,{},,,,,,2137.0,"{'rejected_isolated_frames': [2137, 2136], 'streak_lengths': {2137: 2, 2136: 1, 2135: 0, 2134: 3}, 'final_streak_start': 2132, 'final_streak_length': 3}",True,2142.0,2143.0,2160.0,0.0,2142.0,2095.0,2141.0,47.0,2132.0,2137.0,2132.0,2137.0,10.0,False,2132.0,2137.0,True,True,True,19.0,1,True,1.0,right,smoothed_contact_0_to_1,,,,,,,,,,,,False,record_only,new_contact_episode,new_contact_episode,P01_109_sub022_ep01_right,smoothed_contact_run_start_within_subaction,cup,['cup'],,,,,,,,25,1,2132.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right/label_heatmap_merged.npy,outputs/e17/experiments/E17/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right/label_heatmap_merged.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right/vrb_style_affordance.png,"(256, 456)",True,outputs/e17/experiments/E17/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right/diagnostics/problem3_ref_crop.png,45.0,0.9717948717948718,758.0,780.0,,True,8666.8525390625,1.0354661379654992,5.0,24.676829215384785,22:2142:right,True
E17,E17_near_contact_reference,first_new_contact_episode_first_timestep,near_contact_pre_frame_offset_5_to_10,24,P01_109_24,P01_109,open drawer,open,drawer,['drawer'],2269,2332,2268,2331,0.0,2325.0,2326.0,left,keep,Cell4_label_heatmap,,,73,73,True,2320.0,2321.0,5.0,5.0,5.0,"5,6,7,8,9,10",6,0.0,covariance,6.360437317784257,outputs/e17/experiments/E17/pipeline_outputs/subaction_24_P01_109_24/episode_01_left/frame_002325_left,near_contact_pre_frame,closest_pre_contact_offset_in_5_10,1,{},True,0.998643696308136,NO_CONTACT,0.0,0.0,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,"(147, 106, 297, 256)",0.13373333333333334,,0,{},,,,,,,"{'rejected_isolated_frames': [], 'streak_lengths': {2320: 0, 2319: 0, 2318: 0, 2317: 0, 2316: 0, 2315: 0}, 'final_streak_start': None, 'final_streak_length': 0}",True,2325.0,2326.0,2355.0,0.0,2325.0,2091.0,2324.0,234.0,2315.0,2320.0,2315.0,2320.0,10.0,False,2315.0,2320.0,True,True,True,31.0,1,True,1.0,left,smoothed_contact_0_to_1,,,,,,,,,,,,True,record_only,new_contact_episode,new_contact_episode,P01_109_sub024_ep01_left,smoothed_contact_run_start_within_subaction,drawer,['drawer'],,,,,,,,47,1,2315.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_24_P01_109_24/episode_01_left/frame_002325_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_24_P01_109_24/episode_01_left/frame_002325_left/label_heatmap_merged.npy,outputs/e17/experiments/E17/pipeline_outputs/subaction_24_P01_109_24/episode_01_left/frame_002325_left/label_heatmap_merged.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_24_P01_109_24/episode_01_left/frame_002325_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_24_P01_109_24/episode_01_left/frame_002325_left/vrb_style_affordance.png,"(256, 456)",True,outputs/e17/experiments/E17/pipeline_outputs/subaction_24_P01_109_24/episode_01_left/frame_002325_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_24_P01_109_24/episode_01_left/frame_002325_left/diagnostics/problem3_ref_crop.png,45.0,0.9752186588921283,608.0,613.0,,True,1828.46484375,0.8062015057372818,5.0,6.25350668426797,24:2325:left,False
E17,E17_near_contact_reference,first_new_contact_episode_first_timestep,near_contact_pre_frame_offset_5_to_10,25,P01_109_25,P01_109,put spoon into drawer,put-into,spoon,"['spoon', 'drawer']",2336,2378,2335,2377,0.0,2341.0,2342.0,right,keep,Cell4_label_heatmap,,,183,183,True,2336.0,2337.0,5.0,5.0,5.0,"5,6,7,8,9,10",4,2.0,covariance,6.559685534591195,outputs/e17/experiments/E17/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right,near_contact_pre_frame,closest_pre_contact_offset_in_5_10,1,{},False,,,0.0,1.0,,,,,,,,,2336.0,5.0,2336.0,5.0,,False,False,False,False,False,False,False,False,"(246, 106, 396, 256)",0.0,,0,{},,,,,,2336.0,"{'rejected_isolated_frames': [], 'streak_lengths': {2336: 0, 2335: 0, 2334: 0, 2333: 0, 2332: 0, 2331: 0}, 'final_streak_start': None, 'final_streak_length': 0}",True,2341.0,2342.0,2341.0,0.0,2341.0,2308.0,2340.0,33.0,2331.0,2336.0,2331.0,2336.0,10.0,False,2331.0,2336.0,True,True,True,1.0,1,True,1.0,right,smoothed_contact_0_to_1,,,,,,,,,,,,True,record_only,new_contact_episode,new_contact_episode,P01_109_sub025_ep01_right,smoothed_contact_run_start_within_subaction,spoon,"['spoon', 'drawer']",,,,,,,,29,1,2331.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right/label_heatmap_merged.npy,outputs/e17/experiments/E17/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right/label_heatmap_merged.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right/vrb_style_affordance.png,"(256, 456)",True,outputs/e17/experiments/E17/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right/diagnostics/problem3_ref_crop.png,26.0,0.9748427672955975,301.0,303.0,,True,16394.515625,1.0080868015200488,5.0,16.809374614639317,25:2341:right,False
