subaction_index,narration_id,narration,verb,noun,episode_id_within_subaction,episode_contact_start_frame_0_based,frame_0_based,candidate_frame_offset_from_episode_start,hand,reference_mode,ref_idx,reference_offset,ref_gap,reference_anchor_gap,sample_dir,reference_frame,label_heatmap_overlay,vrb_style_affordance,problem3_full_overlay,problem3_crop
6,P01_109_8,pick up potato,pick-up,potato,1.0,527.0,527.0,0.0,right,near_contact_pre_frame,522.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/diagnostics/problem3_ref_crop.png
12,P01_109_12,open drawer,open,drawer,1.0,1070.0,1070.0,0.0,left,near_contact_pre_frame,1065.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left,outputs/e17/experiments/E17/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/diagnostics/problem3_ref_crop.png
14,P01_109_14,put beer into drawer,put-into,beer,1.0,1258.0,1258.0,0.0,right,near_contact_pre_frame,1253.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right,outputs/e17/experiments/E17/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/diagnostics/problem3_ref_crop.png
16,P01_109_16,close drawer,close,drawer,1.0,1345.0,1345.0,0.0,left,near_contact_pre_frame,1340.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left,outputs/e17/experiments/E17/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/diagnostics/problem3_ref_crop.png
18,P01_109_18,pick up rucksack,pick-up,rucksack,1.0,1496.0,1496.0,0.0,right,near_contact_pre_frame,1491.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_18_P01_109_18/episode_01_right/frame_001496_right,outputs/e17/experiments/E17/pipeline_outputs/subaction_18_P01_109_18/episode_01_right/frame_001496_right/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_18_P01_109_18/episode_01_right/frame_001496_right/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_18_P01_109_18/episode_01_right/frame_001496_right/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_18_P01_109_18/episode_01_right/frame_001496_right/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_18_P01_109_18/episode_01_right/frame_001496_right/diagnostics/problem3_ref_crop.png
20,P01_109_20,close door,close,door,1.0,1827.0,1827.0,0.0,left,near_contact_pre_frame,1822.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_20_P01_109_20/episode_01_left/frame_001827_left,outputs/e17/experiments/E17/pipeline_outputs/subaction_20_P01_109_20/episode_01_left/frame_001827_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_20_P01_109_20/episode_01_left/frame_001827_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_20_P01_109_20/episode_01_left/frame_001827_left/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_20_P01_109_20/episode_01_left/frame_001827_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_20_P01_109_20/episode_01_left/frame_001827_left/diagnostics/problem3_ref_crop.png
21,P01_109_21,pick up cup,pick-up,cup,1.0,2088.0,2088.0,0.0,left,near_contact_pre_frame,2083.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left,outputs/e17/experiments/E17/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left/diagnostics/problem3_ref_crop.png
22,P01_109_22,put down cup,put-down,cup,1.0,2142.0,2142.0,0.0,right,near_contact_pre_frame,2137.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right,outputs/e17/experiments/E17/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right/diagnostics/problem3_ref_crop.png
24,P01_109_24,open drawer,open,drawer,1.0,2325.0,2325.0,0.0,left,near_contact_pre_frame,2320.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_24_P01_109_24/episode_01_left/frame_002325_left,outputs/e17/experiments/E17/pipeline_outputs/subaction_24_P01_109_24/episode_01_left/frame_002325_left/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_24_P01_109_24/episode_01_left/frame_002325_left/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_24_P01_109_24/episode_01_left/frame_002325_left/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_24_P01_109_24/episode_01_left/frame_002325_left/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_24_P01_109_24/episode_01_left/frame_002325_left/diagnostics/problem3_ref_crop.png
25,P01_109_25,put spoon into drawer,put-into,spoon,1.0,2341.0,2341.0,0.0,right,near_contact_pre_frame,2336.0,5.0,5.0,5.0,outputs/e17/experiments/E17/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right,outputs/e17/experiments/E17/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right/reference_frame.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right/label_heatmap_merged_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right/vrb_style_affordance.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right/diagnostics/problem3_ref_full_overlay.png,outputs/e17/experiments/E17/pipeline_outputs/subaction_25_P01_109_25/episode_01_right/frame_002341_right/diagnostics/problem3_ref_crop.png
