sample_key,rel_sample_dir,status,backend_final,final_policy,qc_passed_final,path_final,path_mask,mask_area_ratio,skin_ratio_after_final,boundary_delta_final,overlap_heatmap_top,overlap_crop150,inpaint_on_label_region
subaction_00_P01_109_0__episode_01_left__frame_000088_left,subaction_00_P01_109_0/episode_01_left/frame_000088_left,final_inpainted_qc_failed,lama,prefer_generated,False,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/reference_frame_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/reference_hand_mask.png,0.0,,,0.0,0.0,False
subaction_01_P01_109_1__episode_01_right__frame_000161_right,subaction_01_P01_109_1/episode_01_right/frame_000161_right,final_inpainted_qc_failed,lama,prefer_generated,False,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/reference_frame_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/reference_hand_mask.png,0.038411458333333336,0.11173757047667862,0.0,0.0,0.06266666666666666,False
subaction_06_P01_109_8__episode_01_right__frame_000527_right,subaction_06_P01_109_8/episode_01_right/frame_000527_right,final_inpainted_qc_failed,lama,prefer_generated,False,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/reference_frame_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/reference_hand_mask.png,0.05377090186403509,0.3309253525971792,0.0,0.0,0.0,False
subaction_08_P01_109_7__episode_01_left__frame_000628_left,subaction_08_P01_109_7/episode_01_left/frame_000628_left,final_inpainted_qc_failed,sd,prefer_generated,False,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/reference_frame_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/reference_hand_mask.png,0.0,,,0.0,0.0,False
subaction_09_P01_109_9__episode_01_left__frame_000628_left,subaction_09_P01_109_9/episode_01_left/frame_000628_left,final_inpainted_qc_failed,sd,prefer_generated,False,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/reference_frame_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/reference_hand_mask.png,0.0,,,0.0,0.0,False
subaction_10_P01_109_10__episode_01_left__frame_000774_left,subaction_10_P01_109_10/episode_01_left/frame_000774_left,final_inpainted_qc_failed,lama,prefer_generated,False,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/reference_frame_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/reference_hand_mask.png,0.0,,,0.0,0.0,False
subaction_12_P01_109_12__episode_01_left__frame_001070_left,subaction_12_P01_109_12/episode_01_left/frame_001070_left,final_inpainted_qc_failed,sd,prefer_generated,False,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/reference_frame_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/reference_hand_mask.png,0.06708299067982457,0.5786907048913846,0.0,0.0,0.0,False
subaction_13_P01_109_13__episode_01_right__frame_001182_right,subaction_13_P01_109_13/episode_01_right/frame_001182_right,final_inpainted_qc_failed,lama,prefer_generated,False,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/reference_frame_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/reference_hand_mask.png,0.05559553179824561,0.7370289998027224,0.0,0.45694444444444443,0.11751111111111111,True
subaction_14_P01_109_14__episode_01_right__frame_001258_right,subaction_14_P01_109_14/episode_01_right/frame_001258_right,final_inpainted,lama,prefer_generated,True,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/reference_frame_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/reference_hand_mask.png,0.03843715734649123,0.03330790744978388,0.0,0.9796380090497737,0.1976,True
subaction_16_P01_109_16__episode_01_left__frame_001345_left,subaction_16_P01_109_16/episode_01_left/frame_001345_left,final_inpainted_qc_failed,lama,prefer_generated,False,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/reference_frame_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/reference_hand_mask.png,0.08637438322368421,0.3240098456030432,0.0,0.0,0.0067555555555555554,False
