sample_key,rel_sample_dir,status,backend_final,final_policy,qc_passed_final,path_final,path_mask,hand_box_count,box_sources,inpaint_rounds,mask_area_ratio,skin_ratio_after_final,residual_skin_after_final,boundary_delta_final,sdedit_sharpness_ratio_final,overlap_heatmap_top,overlap_crop150,inpaint_on_label_region
subaction_00_P01_109_0__episode_01_left__frame_000088_left,subaction_00_P01_109_0/episode_01_left/frame_000088_left,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/reference_hand_mask.png,3,"{""primary"": 0, ""dino"": 2, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",2,0.39974814967105265,0.11543823563021369,,0.9460991051104165,0.7751605728835946,0.1,0.25875555555555557,True
subaction_01_P01_109_1__episode_01_right__frame_000161_right,subaction_01_P01_109_1/episode_01_right/frame_000161_right,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/reference_hand_mask.png,5,"{""primary"": 1, ""dino"": 1, ""low"": 1, ""neighbor"": 2, ""mediapipe"": 0}",2,0.3651058799342105,0.38049305946581147,,0.8569129165112392,0.7332153721010926,1.0,0.6078222222222223,True
subaction_06_P01_109_8__episode_01_right__frame_000527_right,subaction_06_P01_109_8/episode_01_right/frame_000527_right,final_inpainted_qc_failed,lama,qc_rank,False,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/reference_hand_mask.png,3,"{""primary"": 1, ""dino"": 1, ""low"": 1, ""neighbor"": 0, ""mediapipe"": 0}",1,0.3656626918859649,0.6979479479479479,,0.9253189260366825,0.7896246887862655,0.0,0.34671111111111114,False
subaction_08_P01_109_7__episode_01_left__frame_000628_left,subaction_08_P01_109_7/episode_01_left/frame_000628_left,final_inpainted,sd,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/reference_hand_mask.png,3,"{""primary"": 0, ""dino"": 2, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",1,0.6127672697368421,0.47595216619628156,,1.390799720688993,0.6015155375501708,0.0,0.0144,False
subaction_09_P01_109_9__episode_01_left__frame_000628_left,subaction_09_P01_109_9/episode_01_left/frame_000628_left,final_inpainted_qc_failed,lama,qc_rank,False,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/reference_hand_mask.png,3,"{""primary"": 0, ""dino"": 2, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",1,0.6127672697368421,0.6646105502051267,,0.9651975624795988,0.6931021582423653,0.0,0.0144,False
subaction_10_P01_109_10__episode_01_left__frame_000774_left,subaction_10_P01_109_10/episode_01_left/frame_000774_left,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/reference_hand_mask.png,4,"{""primary"": 0, ""dino"": 2, ""low"": 1, ""neighbor"": 1, ""mediapipe"": 0}",1,0.4439504523026316,0.093509896960432,,0.9911272582915429,0.8683476135269846,0.9876160990712074,0.40355555555555556,True
subaction_12_P01_109_12__episode_01_left__frame_001070_left,subaction_12_P01_109_12/episode_01_left/frame_001070_left,final_inpainted,sd,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/reference_hand_mask.png,4,"{""primary"": 1, ""dino"": 1, ""low"": 1, ""neighbor"": 1, ""mediapipe"": 0}",2,0.2586605674342105,0.5003488414790879,,1.1585443302565313,0.7189594206349676,1.0,0.096,True
subaction_13_P01_109_13__episode_01_right__frame_001182_right,subaction_13_P01_109_13/episode_01_right/frame_001182_right,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/reference_hand_mask.png,4,"{""primary"": 2, ""dino"": 1, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",2,0.31752844024122806,0.520533728687917,,0.8911679521923783,0.7326492954768368,0.925,0.35533333333333333,True
subaction_14_P01_109_14__episode_01_right__frame_001258_right,subaction_14_P01_109_14/episode_01_right/frame_001258_right,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/reference_hand_mask.png,3,"{""primary"": 1, ""dino"": 1, ""low"": 1, ""neighbor"": 0, ""mediapipe"": 0}",1,0.30340254934210525,0.2834372408709806,,0.9807789833132535,0.6730607658521309,0.997737556561086,0.21586666666666668,True
subaction_16_P01_109_16__episode_01_left__frame_001345_left,subaction_16_P01_109_16/episode_01_left/frame_001345_left,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/reference_hand_mask.png,5,"{""primary"": 2, ""dino"": 1, ""low"": 1, ""neighbor"": 1, ""mediapipe"": 0}",1,0.3353464226973684,0.3095257709311585,,0.9684183353867705,0.634386611008806,0.0,0.015644444444444443,False
