sample_key,rel_sample_dir,subaction_index,narration_id,hand,reference_mode,ref_idx,sample_dir,reference_frame,label_heatmap_npy,labels_json,npy_sha256,reference_sha256,status,backend_final,final_policy,qc_passed_final,path_final,path_mask,hand_box_count,box_sources,inpaint_rounds,mask_area_ratio,skin_ratio_after_final,residual_skin_after_final,boundary_delta_final,sdedit_sharpness_ratio_final,overlap_heatmap_top,overlap_crop150,inpaint_on_label_region,redraw_selfcheck_max_diff,path_overlay_inpainted,path_affordance_inpainted,tier
subaction_00_P01_109_0__episode_01_left__frame_000088_left,subaction_00_P01_109_0/episode_01_left/frame_000088_left,0,P01_109_0,left,active_hand_invisible_pre_contact,69,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/reference_frame.png,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/label_heatmap_merged.npy,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/labels.json,01dff282654478bf02ed105600d66174d338c05374798ff066a4ce20f16aa002,308ebd5c1b1649aa44c84ffe3ddfa1a41f2149a246947d780546ec87a5ad8a4d,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/reference_hand_mask.png,3,"{""primary"": 0, ""dino"": 2, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",2,0.3997481496710526,0.1154382356302136,,0.9460991051104164,0.7751605728835946,0.1,0.2587555555555555,True,0,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/label_heatmap_merged_overlay_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/vrb_style_affordance_inpainted.png,B
subaction_01_P01_109_1__episode_01_right__frame_000161_right,subaction_01_P01_109_1/episode_01_right/frame_000161_right,1,P01_109_1,right,active_hand_invisible_pre_contact,90,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/reference_frame.png,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/label_heatmap_merged.npy,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/labels.json,800c4b89abd5fc9e0a405655bfe9bcab8788020408c4eb15742c78575a416a7d,d8b0eab5197ec465b0d4f3efb8e9ce60787448d0d46afd20b6d7c093c3d4f0fc,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/reference_hand_mask.png,5,"{""primary"": 1, ""dino"": 1, ""low"": 1, ""neighbor"": 2, ""mediapipe"": 0}",2,0.3651058799342105,0.3804930594658114,,0.8569129165112392,0.7332153721010926,1.0,0.6078222222222223,True,0,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/label_heatmap_merged_overlay_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/vrb_style_affordance_inpainted.png,B
subaction_06_P01_109_8__episode_01_right__frame_000527_right,subaction_06_P01_109_8/episode_01_right/frame_000527_right,6,P01_109_8,right,active_hand_invisible_pre_contact,511,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/reference_frame.png,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/label_heatmap_merged.npy,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/labels.json,de9fc67bd038a8d86c7021212f0630eba97fa63951c917ad79c659f2784743df,1a541e255a815645bfadc9c23df0bfb7f161ed27f6611d803cca96fc70fc2793,final_inpainted_qc_failed,lama,qc_rank,False,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/reference_hand_mask.png,3,"{""primary"": 1, ""dino"": 1, ""low"": 1, ""neighbor"": 0, ""mediapipe"": 0}",1,0.3656626918859649,0.6979479479479479,,0.9253189260366824,0.7896246887862655,0.0,0.3467111111111111,False,0,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/label_heatmap_merged_overlay_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/vrb_style_affordance_inpainted.png,B
subaction_08_P01_109_7__episode_01_left__frame_000628_left,subaction_08_P01_109_7/episode_01_left/frame_000628_left,8,P01_109_7,left,active_hand_invisible_pre_contact,609,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/reference_frame.png,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/label_heatmap_merged.npy,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/labels.json,c5575379d075b0c4d47bb9b763e7a81cb6d9b95204f5108c29a62a817560fd40,b69ab6a8e6469b333006c758d674bfb4f0252759b1cbc6db18717b6af5ff3134,final_inpainted,sd,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/reference_hand_mask.png,3,"{""primary"": 0, ""dino"": 2, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",1,0.6127672697368421,0.4759521661962815,,1.390799720688993,0.6015155375501708,0.0,0.0144,False,0,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/label_heatmap_merged_overlay_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/vrb_style_affordance_inpainted.png,A
subaction_09_P01_109_9__episode_01_left__frame_000628_left,subaction_09_P01_109_9/episode_01_left/frame_000628_left,9,P01_109_9,left,active_hand_invisible_pre_contact,609,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/reference_frame.png,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/label_heatmap_merged.npy,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/labels.json,c5575379d075b0c4d47bb9b763e7a81cb6d9b95204f5108c29a62a817560fd40,b69ab6a8e6469b333006c758d674bfb4f0252759b1cbc6db18717b6af5ff3134,final_inpainted_qc_failed,lama,qc_rank,False,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/reference_hand_mask.png,3,"{""primary"": 0, ""dino"": 2, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",1,0.6127672697368421,0.6646105502051267,,0.9651975624795988,0.6931021582423653,0.0,0.0144,False,0,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/label_heatmap_merged_overlay_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/vrb_style_affordance_inpainted.png,B
subaction_10_P01_109_10__episode_01_left__frame_000774_left,subaction_10_P01_109_10/episode_01_left/frame_000774_left,10,P01_109_10,left,active_hand_invisible_pre_contact,711,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/reference_frame.png,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/label_heatmap_merged.npy,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/labels.json,d9a77c1cde8b6b24b9a3c0c9343bbfe1fd15d5dc82f1ba3c82bea3f61f0e3787,5b648e015a8889d33d9504d7f2ba199799b5f6b161ef4453dc23f3b1189c7277,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/reference_hand_mask.png,4,"{""primary"": 0, ""dino"": 2, ""low"": 1, ""neighbor"": 1, ""mediapipe"": 0}",1,0.4439504523026316,0.093509896960432,,0.9911272582915428,0.8683476135269846,0.9876160990712074,0.4035555555555555,True,0,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/label_heatmap_merged_overlay_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/vrb_style_affordance_inpainted.png,B
subaction_12_P01_109_12__episode_01_left__frame_001070_left,subaction_12_P01_109_12/episode_01_left/frame_001070_left,12,P01_109_12,left,active_hand_invisible_pre_contact,1068,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/reference_frame.png,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/label_heatmap_merged.npy,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/labels.json,688846906f691af9c821495599b2419411a3b9d280b33c9fb8750a5731fa0e4d,c2ab7b8427ef21bbd29e4b04c353ab41d5c86483f6a16f4b6ca66c8773e841b9,final_inpainted,sd,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/reference_hand_mask.png,4,"{""primary"": 1, ""dino"": 1, ""low"": 1, ""neighbor"": 1, ""mediapipe"": 0}",2,0.2586605674342105,0.5003488414790879,,1.1585443302565313,0.7189594206349676,1.0,0.096,True,0,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/label_heatmap_merged_overlay_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/vrb_style_affordance_inpainted.png,B
subaction_13_P01_109_13__episode_01_right__frame_001182_right,subaction_13_P01_109_13/episode_01_right/frame_001182_right,13,P01_109_13,right,min_hand_object_iou_pre_contact_fallback,1146,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/reference_frame.png,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/label_heatmap_merged.npy,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/labels.json,28a085bb0908ed892da6455c838032ce04c5ef668387743025b88f811ef072ce,b0f83c167fc441abd854b1e24d2b3c265d586ceb29ed30f104fbae3a622bc28d,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/reference_hand_mask.png,4,"{""primary"": 2, ""dino"": 1, ""low"": 0, ""neighbor"": 1, ""mediapipe"": 0}",2,0.317528440241228,0.520533728687917,,0.8911679521923783,0.7326492954768368,0.925,0.3553333333333333,True,0,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/label_heatmap_merged_overlay_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/vrb_style_affordance_inpainted.png,B
subaction_14_P01_109_14__episode_01_right__frame_001258_right,subaction_14_P01_109_14/episode_01_right/frame_001258_right,14,P01_109_14,right,active_hand_invisible_pre_contact,1256,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/reference_frame.png,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/label_heatmap_merged.npy,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/labels.json,062527fc662af0644386a068252a02a45a79e4cf52e1c07ee9766bbf7d95ba3e,346415868b5f08ca687c10f125b5e422d58abd20defac50450556cc61e72df9f,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/reference_hand_mask.png,3,"{""primary"": 1, ""dino"": 1, ""low"": 1, ""neighbor"": 0, ""mediapipe"": 0}",1,0.3034025493421052,0.2834372408709806,,0.9807789833132536,0.6730607658521309,0.997737556561086,0.2158666666666666,True,0,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/label_heatmap_merged_overlay_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/vrb_style_affordance_inpainted.png,B
subaction_16_P01_109_16__episode_01_left__frame_001345_left,subaction_16_P01_109_16/episode_01_left/frame_001345_left,16,P01_109_16,left,active_hand_invisible_pre_contact,1258,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/reference_frame.png,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/label_heatmap_merged.npy,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/labels.json,d74c7d5047a6a0d1f0c8e551ea13f358eb1035ca097f8e8e76e442ba1a867828,45e9bd59a3806227a4df8b355826672c81a6a6828aea0eace4597c2e6f7eb6d7,final_inpainted,lama,qc_rank,True,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/reference_frame_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/reference_hand_mask.png,5,"{""primary"": 2, ""dino"": 1, ""low"": 1, ""neighbor"": 1, ""mediapipe"": 0}",1,0.3353464226973684,0.3095257709311585,,0.9684183353867704,0.634386611008806,0.0,0.0156444444444444,False,0,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/label_heatmap_merged_overlay_inpainted.png,outputs/e20-b/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/vrb_style_affordance_inpainted.png,A
