sample_key,rel_sample_dir,status,backend_final,final_policy,qc_passed_final,path_final,path_mask,hand_box_count,box_sources,inpaint_rounds,mask_area_ratio,mask_area_ratio_raw,skin_ratio_after_final,boundary_delta_final,sdedit_sharpness_ratio_final,overlap_heatmap_top,overlap_heatmap_top_raw,overlap_crop150,protect_source,protect_area_ratio,protect_conflict_frac,protect_intact_final,label_region_conflict,sd_final_eligible,sharpness_ratio_vs_original_final,inpaint_on_label_region
subaction_00_P01_109_0__episode_01_left__frame_000088_left,subaction_00_P01_109_0/episode_01_left/frame_000088_left,final_inpainted,lama,qc_rank,True,outputs/e20-c/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/reference_frame_inpainted.png,outputs/e20-c/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/reference_hand_mask.png,3,"{""primary"": 0, ""dino"": 2, ""low"": 0, ""neighbor"": 1, ""dino_skin_dropped"": 0}",2,0.3486328125,0.3100928591008772,0.1999415763756108,0.9702543579515905,0.85335018122609,0.0,0.0,0.152,sam+bbox,0.005953604714912281,0.0,True,False,False,0.42800360231104423,False
subaction_01_P01_109_1__episode_01_right__frame_000161_right,subaction_01_P01_109_1/episode_01_right/frame_000161_right,final_inpainted,lama,qc_rank,True,outputs/e20-c/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/reference_frame_inpainted.png,outputs/e20-c/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/reference_hand_mask.png,5,"{""primary"": 1, ""dino"": 1, ""low"": 1, ""neighbor"": 2, ""dino_skin_dropped"": 0}",2,0.30138945997807015,0.2397289610745614,0.11883209899119197,0.8994726518545163,0.7556660401073129,0.0,0.17245240761478164,0.4103111111111111,sam+bbox,0.01191577576754386,0.16606757728253055,True,False,False,0.20599057768343906,False
subaction_06_P01_109_8__episode_01_right__frame_000527_right,subaction_06_P01_109_8/episode_01_right/frame_000527_right,final_inpainted_qc_failed,lama,qc_rank,False,outputs/e20-c/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/reference_frame_inpainted.png,outputs/e20-c/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/reference_hand_mask.png,3,"{""primary"": 1, ""dino"": 1, ""low"": 1, ""neighbor"": 0, ""dino_skin_dropped"": 0}",1,0.5186060855263158,0.526769805372807,0.7200691443388073,0.927559000661116,0.7999453183719534,0.0,0.782608695652174,0.6817777777777778,sam+bbox,0.012044270833333334,0.6778093883357041,True,True,False,0.16999623397711228,False
subaction_08_P01_109_7__episode_01_left__frame_000628_left,subaction_08_P01_109_7/episode_01_left/frame_000628_left,final_inpainted_qc_failed,lama,qc_rank,False,outputs/e20-c/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/reference_frame_inpainted.png,outputs/e20-c/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/reference_hand_mask.png,3,"{""primary"": 0, ""dino"": 2, ""low"": 0, ""neighbor"": 1, ""dino_skin_dropped"": 0}",1,0.5782020970394737,0.5782020970394737,0.8362311847205143,0.7919892919024318,0.7767772755326883,0.0,0.0,0.007288888888888889,sam+bbox,0.012926603618421052,0.0,True,False,False,0.1846099750962242,False
subaction_09_P01_109_9__episode_01_left__frame_000628_left,subaction_09_P01_109_9/episode_01_left/frame_000628_left,final_inpainted_qc_failed,lama,qc_rank,False,outputs/e20-c/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/reference_frame_inpainted.png,outputs/e20-c/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/reference_hand_mask.png,3,"{""primary"": 0, ""dino"": 2, ""low"": 0, ""neighbor"": 1, ""dino_skin_dropped"": 0}",1,0.5782020970394737,0.5782020970394737,0.8362311847205143,0.7919892919024318,0.6822471055893977,0.0,0.0,0.007288888888888889,sam+bbox,0.012926603618421052,0.0,True,False,False,0.1846099750962242,False
subaction_10_P01_109_10__episode_01_left__frame_000774_left,subaction_10_P01_109_10/episode_01_left/frame_000774_left,final_inpainted_qc_failed,lama,qc_rank,False,outputs/e20-c/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/reference_frame_inpainted.png,outputs/e20-c/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/reference_hand_mask.png,4,"{""primary"": 0, ""dino"": 2, ""low"": 1, ""neighbor"": 1, ""dino_skin_dropped"": 0}",1,0.4131887335526316,0.4153303179824561,0.05971616653842866,0.9617976406087064,0.8062010924551625,0.0,0.628482972136223,0.32897777777777776,bbox,0.006373355263157895,0.33602150537634407,True,False,False,0.3046539701184592,False
subaction_12_P01_109_12__episode_01_left__frame_001070_left,subaction_12_P01_109_12/episode_01_left/frame_001070_left,final_inpainted_qc_failed,lama,qc_rank,False,outputs/e20-c/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/reference_frame_inpainted.png,outputs/e20-c/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/reference_hand_mask.png,4,"{""primary"": 1, ""dino"": 1, ""low"": 1, ""neighbor"": 1, ""dino_skin_dropped"": 0}",3,0.4505550986842105,0.17014459978070176,0.8074699591196267,0.9947066055392001,0.7012412189112861,0.0,0.8150782361308677,0.5080888888888889,bbox,0.007444147478070175,0.7410817031070196,True,True,False,0.23409770028592175,False
subaction_13_P01_109_13__episode_01_right__frame_001182_right,subaction_13_P01_109_13/episode_01_right/frame_001182_right,final_inpainted,lama,qc_rank,True,outputs/e20-c/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/reference_frame_inpainted.png,outputs/e20-c/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/reference_hand_mask.png,4,"{""primary"": 2, ""dino"": 1, ""low"": 0, ""neighbor"": 1, ""dino_skin_dropped"": 0}",2,0.3229166666666667,0.21668551260964913,0.6656423763535265,0.9276757143973631,0.6490692706386654,0.0,0.7541666666666667,0.2760888888888889,bbox,0.008403577302631578,0.7349643221202854,True,True,False,0.336198464621779,False
subaction_14_P01_109_14__episode_01_right__frame_001258_right,subaction_14_P01_109_14/episode_01_right/frame_001258_right,final_inpainted_qc_failed,lama,qc_rank,False,outputs/e20-c/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/reference_frame_inpainted.png,outputs/e20-c/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/reference_hand_mask.png,3,"{""primary"": 1, ""dino"": 1, ""low"": 1, ""neighbor"": 0, ""dino_skin_dropped"": 0}",3,0.34067468475877194,0.2507795367324561,0.2554720679516498,0.9073236963713545,0.6436431252669026,0.0,0.7918552036199095,0.1683111111111111,bbox,0.005465323464912281,0.6927899686520376,True,True,False,0.22572398520946765,False
subaction_16_P01_109_16__episode_01_left__frame_001345_left,subaction_16_P01_109_16/episode_01_left/frame_001345_left,final_inpainted,lama,qc_rank,True,outputs/e20-c/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/reference_frame_inpainted.png,outputs/e20-c/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/reference_hand_mask.png,5,"{""primary"": 2, ""dino"": 1, ""low"": 1, ""neighbor"": 1, ""dino_skin_dropped"": 0}",1,0.2861071134868421,0.2861071134868421,0.3247581066945607,0.9110704041197553,0.5846345410606195,0.0,0.0,0.0006222222222222223,sam+bbox,0.008317913925438597,0.0,True,False,True,0.3377917186287617,False
