subaction_index,narration_id,narration,verb,noun,episode_id_within_subaction,episode_contact_start_frame_0_based,frame_0_based,candidate_frame_offset_from_episode_start,hand,reference_mode,ref_idx,ref_gap,reference_anchor_gap,sample_dir,reference_frame,label_heatmap_overlay,vrb_style_affordance,problem3_full_overlay,problem3_crop
0,P01_109_0,grab rucksack,grab,rucksack,1.0,88.0,88.0,0.0,left,active_hand_invisible_pre_contact,69.0,19.0,19.0,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/reference_frame.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/label_heatmap_merged_overlay.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/vrb_style_affordance.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/diagnostics/problem3_ref_full_overlay.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/diagnostics/problem3_ref_crop.png
1,P01_109_1,open rucksack,open,rucksack,1.0,161.0,161.0,0.0,right,active_hand_invisible_pre_contact,90.0,71.0,71.0,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/reference_frame.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/label_heatmap_merged_overlay.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/vrb_style_affordance.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/diagnostics/problem3_ref_full_overlay.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/diagnostics/problem3_ref_crop.png
6,P01_109_8,pick up potato,pick-up,potato,1.0,527.0,527.0,0.0,right,active_hand_invisible_pre_contact,511.0,16.0,16.0,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/reference_frame.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/label_heatmap_merged_overlay.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/vrb_style_affordance.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/diagnostics/problem3_ref_full_overlay.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/diagnostics/problem3_ref_crop.png
8,P01_109_7,put down potatoes,put-down,potato,1.0,628.0,628.0,0.0,left,active_hand_invisible_pre_contact,609.0,19.0,19.0,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/reference_frame.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/label_heatmap_merged_overlay.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/vrb_style_affordance.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/diagnostics/problem3_ref_full_overlay.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/diagnostics/problem3_ref_crop.png
9,P01_109_9,put down potato,put-down,potato,1.0,628.0,628.0,0.0,left,active_hand_invisible_pre_contact,609.0,19.0,19.0,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/reference_frame.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/label_heatmap_merged_overlay.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/vrb_style_affordance.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/diagnostics/problem3_ref_full_overlay.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/diagnostics/problem3_ref_crop.png
10,P01_109_10,pick up beers,pick-up,beer,1.0,774.0,774.0,0.0,left,active_hand_invisible_pre_contact,711.0,63.0,63.0,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/reference_frame.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/label_heatmap_merged_overlay.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/vrb_style_affordance.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/diagnostics/problem3_ref_full_overlay.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/diagnostics/problem3_ref_crop.png
12,P01_109_12,open drawer,open,drawer,1.0,1070.0,1070.0,0.0,left,active_hand_invisible_pre_contact,1068.0,2.0,2.0,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/reference_frame.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/label_heatmap_merged_overlay.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/vrb_style_affordance.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/diagnostics/problem3_ref_full_overlay.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/diagnostics/problem3_ref_crop.png
13,P01_109_13,put beer into drawer,put-into,beer,1.0,1180.0,1182.0,2.0,right,min_hand_object_iou_pre_contact_fallback,1146.0,34.0,34.0,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/reference_frame.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/label_heatmap_merged_overlay.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/vrb_style_affordance.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/diagnostics/problem3_ref_full_overlay.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/diagnostics/problem3_ref_crop.png
14,P01_109_14,put beer into drawer,put-into,beer,1.0,1258.0,1258.0,0.0,right,active_hand_invisible_pre_contact,1256.0,2.0,2.0,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/reference_frame.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/label_heatmap_merged_overlay.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/vrb_style_affordance.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/diagnostics/problem3_ref_full_overlay.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/diagnostics/problem3_ref_crop.png
16,P01_109_16,close drawer,close,drawer,1.0,1345.0,1345.0,0.0,left,active_hand_invisible_pre_contact,1258.0,87.0,87.0,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/reference_frame.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/label_heatmap_merged_overlay.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/vrb_style_affordance.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/diagnostics/problem3_ref_full_overlay.png,outputs/e20/export/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/diagnostics/problem3_ref_crop.png
