hand,start_frame_0_based,start_frame_1_based,end_frame_0_based,end_frame_1_based,run_length,start_reason,subaction_index,narration_id,narration,sub_start_1_based,sub_stop_1_based
left,88,89,98,99,11,smoothed_contact_0_to_1,0,P01_109_0,grab rucksack,79,126
right,93,94,93,94,1,smoothed_contact_0_to_1,0,P01_109_0,grab rucksack,79,126
right,97,98,156,157,60,smoothed_contact_0_to_1,0,P01_109_0,grab rucksack,79,126
right,161,162,161,162,1,smoothed_contact_0_to_1,1,P01_109_1,open rucksack,153,226
right,166,167,172,173,7,smoothed_contact_0_to_1,1,P01_109_1,open rucksack,153,226
left,170,171,172,173,3,smoothed_contact_0_to_1,1,P01_109_1,open rucksack,153,226
left,175,176,193,194,19,smoothed_contact_0_to_1,1,P01_109_1,open rucksack,153,226
right,178,179,178,179,1,smoothed_contact_0_to_1,1,P01_109_1,open rucksack,153,226
right,180,181,183,184,4,smoothed_contact_0_to_1,1,P01_109_1,open rucksack,153,226
right,197,198,252,253,56,smoothed_contact_0_to_1,1,P01_109_1,open rucksack,153,226
left,198,199,327,328,130,smoothed_contact_0_to_1,1,P01_109_1,open rucksack,153,226
right,256,257,332,333,77,smoothed_contact_0_to_1,2,P01_109_2,pick up eggs,252,319
left,362,363,364,365,3,smoothed_contact_0_to_1,3,P01_109_3,put down eggs,319,374
left,369,370,392,393,24,smoothed_contact_0_to_1,3,P01_109_3,put down eggs,319,374
right,371,372,374,375,4,smoothed_contact_0_to_1,3,P01_109_3,put down eggs,319,374
right,527,528,592,593,66,smoothed_contact_0_to_1,6,P01_109_8,pick up potato,500,622
left,528,529,594,595,67,smoothed_contact_0_to_1,6,P01_109_8,pick up potato,500,622
left,628,629,641,642,14,smoothed_contact_0_to_1,8,P01_109_7,put down potatoes,550,734
right,632,633,632,633,1,smoothed_contact_0_to_1,8,P01_109_7,put down potatoes,550,734
right,637,638,668,669,32,smoothed_contact_0_to_1,8,P01_109_7,put down potatoes,550,734
left,645,646,652,653,8,smoothed_contact_0_to_1,8,P01_109_7,put down potatoes,550,734
left,656,657,675,676,20,smoothed_contact_0_to_1,8,P01_109_7,put down potatoes,550,734
right,673,674,692,693,20,smoothed_contact_0_to_1,8,P01_109_7,put down potatoes,550,734
left,686,687,687,688,2,smoothed_contact_0_to_1,8,P01_109_7,put down potatoes,550,734
left,689,690,689,690,1,smoothed_contact_0_to_1,8,P01_109_7,put down potatoes,550,734
left,720,721,721,722,2,smoothed_contact_0_to_1,8,P01_109_7,put down potatoes,550,734
left,628,629,641,642,14,smoothed_contact_0_to_1,9,P01_109_9,put down potato,625,752
right,632,633,632,633,1,smoothed_contact_0_to_1,9,P01_109_9,put down potato,625,752
right,637,638,668,669,32,smoothed_contact_0_to_1,9,P01_109_9,put down potato,625,752
left,645,646,652,653,8,smoothed_contact_0_to_1,9,P01_109_9,put down potato,625,752
left,656,657,675,676,20,smoothed_contact_0_to_1,9,P01_109_9,put down potato,625,752
right,673,674,692,693,20,smoothed_contact_0_to_1,9,P01_109_9,put down potato,625,752
left,686,687,687,688,2,smoothed_contact_0_to_1,9,P01_109_9,put down potato,625,752
left,689,690,689,690,1,smoothed_contact_0_to_1,9,P01_109_9,put down potato,625,752
left,720,721,721,722,2,smoothed_contact_0_to_1,9,P01_109_9,put down potato,625,752
left,734,735,770,771,37,smoothed_contact_0_to_1,9,P01_109_9,put down potato,625,752
right,734,735,780,781,47,smoothed_contact_0_to_1,9,P01_109_9,put down potato,625,752
left,774,775,778,779,5,smoothed_contact_0_to_1,10,P01_109_10,pick up beers,738,845
right,784,785,976,977,193,smoothed_contact_0_to_1,10,P01_109_10,pick up beers,738,845
left,785,786,814,815,30,smoothed_contact_0_to_1,10,P01_109_10,pick up beers,738,845
right,980,981,1002,1003,23,smoothed_contact_0_to_1,11,P01_109_11,open freezer,876,1022
right,1006,1007,1176,1177,171,smoothed_contact_0_to_1,11,P01_109_11,open freezer,876,1022
left,1070,1071,1141,1142,72,smoothed_contact_0_to_1,12,P01_109_12,open drawer,1045,1123
right,1180,1181,1191,1192,12,smoothed_contact_0_to_1,13,P01_109_13,put beer into drawer,1139,1353
left,1201,1202,1255,1256,55,smoothed_contact_0_to_1,13,P01_109_13,put beer into drawer,1139,1353
right,1207,1208,1241,1242,35,smoothed_contact_0_to_1,13,P01_109_13,put beer into drawer,1139,1353
right,1258,1259,1265,1266,8,smoothed_contact_0_to_1,13,P01_109_13,put beer into drawer,1139,1353
left,1260,1261,1266,1267,7,smoothed_contact_0_to_1,13,P01_109_13,put beer into drawer,1139,1353
left,1271,1272,1274,1275,4,smoothed_contact_0_to_1,13,P01_109_13,put beer into drawer,1139,1353
right,1271,1272,1334,1335,64,smoothed_contact_0_to_1,13,P01_109_13,put beer into drawer,1139,1353
left,1288,1289,1290,1291,3,smoothed_contact_0_to_1,13,P01_109_13,put beer into drawer,1139,1353
left,1293,1294,1325,1326,33,smoothed_contact_0_to_1,13,P01_109_13,put beer into drawer,1139,1353
left,1339,1340,1340,1341,2,smoothed_contact_0_to_1,13,P01_109_13,put beer into drawer,1139,1353
left,1342,1343,1342,1343,1,smoothed_contact_0_to_1,13,P01_109_13,put beer into drawer,1139,1353
left,1345,1346,1352,1353,8,smoothed_contact_0_to_1,13,P01_109_13,put beer into drawer,1139,1353
right,1345,1346,1346,1347,2,smoothed_contact_0_to_1,13,P01_109_13,put beer into drawer,1139,1353
right,1352,1353,1354,1355,3,smoothed_contact_0_to_1,13,P01_109_13,put beer into drawer,1139,1353
right,1258,1259,1265,1266,8,smoothed_contact_0_to_1,14,P01_109_14,put beer into drawer,1230,1283
left,1260,1261,1266,1267,7,smoothed_contact_0_to_1,14,P01_109_14,put beer into drawer,1230,1283
left,1271,1272,1274,1275,4,smoothed_contact_0_to_1,14,P01_109_14,put beer into drawer,1230,1283
right,1271,1272,1334,1335,64,smoothed_contact_0_to_1,14,P01_109_14,put beer into drawer,1230,1283
left,1345,1346,1352,1353,8,smoothed_contact_0_to_1,16,P01_109_16,close drawer,1345,1401
right,1345,1346,1346,1347,2,smoothed_contact_0_to_1,16,P01_109_16,close drawer,1345,1401
right,1352,1353,1354,1355,3,smoothed_contact_0_to_1,16,P01_109_16,close drawer,1345,1401
left,1354,1355,1354,1355,1,smoothed_contact_0_to_1,16,P01_109_16,close drawer,1345,1401
left,1357,1358,1357,1358,1,smoothed_contact_0_to_1,16,P01_109_16,close drawer,1345,1401
right,1357,1358,1380,1381,24,smoothed_contact_0_to_1,16,P01_109_16,close drawer,1345,1401
left,1359,1360,1367,1368,9,smoothed_contact_0_to_1,16,P01_109_16,close drawer,1345,1401
left,1375,1376,1384,1385,10,smoothed_contact_0_to_1,16,P01_109_16,close drawer,1345,1401
right,1390,1391,1391,1392,2,smoothed_contact_0_to_1,16,P01_109_16,close drawer,1345,1401
left,1422,1423,1456,1457,35,smoothed_contact_0_to_1,17,P01_109_17,close freezer,1419,1464
right,1496,1497,1516,1517,21,smoothed_contact_0_to_1,18,P01_109_18,pick up rucksack,1485,1527
right,1518,1519,1518,1519,1,smoothed_contact_0_to_1,18,P01_109_18,pick up rucksack,1485,1527
right,1521,1522,1521,1522,1,smoothed_contact_0_to_1,18,P01_109_18,pick up rucksack,1485,1527
right,1523,1524,1528,1529,6,smoothed_contact_0_to_1,18,P01_109_18,pick up rucksack,1485,1527
left,1827,1828,1830,1831,4,smoothed_contact_0_to_1,20,P01_109_20,close door,1812,1946
left,1841,1842,1841,1842,1,smoothed_contact_0_to_1,20,P01_109_20,close door,1812,1946
right,1848,1849,1848,1849,1,smoothed_contact_0_to_1,20,P01_109_20,close door,1812,1946
right,1850,1851,1857,1858,8,smoothed_contact_0_to_1,20,P01_109_20,close door,1812,1946
right,1861,1862,1868,1869,8,smoothed_contact_0_to_1,20,P01_109_20,close door,1812,1946
right,1906,1907,1913,1914,8,smoothed_contact_0_to_1,20,P01_109_20,close door,1812,1946
right,1916,1917,1918,1919,3,smoothed_contact_0_to_1,20,P01_109_20,close door,1812,1946
left,2088,2089,2090,2091,3,smoothed_contact_0_to_1,21,P01_109_21,pick up cup,2084,2120
right,2092,2093,2094,2095,3,smoothed_contact_0_to_1,21,P01_109_21,pick up cup,2084,2120
right,2142,2143,2160,2161,19,smoothed_contact_0_to_1,22,P01_109_22,put down cup,2132,2193
right,2177,2178,2182,2183,6,smoothed_contact_0_to_1,22,P01_109_22,put down cup,2132,2193
right,2213,2214,2223,2224,11,smoothed_contact_0_to_1,23,P01_109_23,pick up spoon,2206,2236
left,2325,2326,2355,2356,31,smoothed_contact_0_to_1,24,P01_109_24,open drawer,2269,2332
