subaction_index,narration_id,narration,start_frame_1_based,stop_frame_1_based,decision,new_contact_run_count_in_subaction,first_contact_hand,first_contact_frame_0_based,first_contact_frame_1_based,first_contact_image,first_contact_run_end_1_based,first_contact_run_length,raw_contact_frame_count_LplusR,smoothed_contact_frame_count_LplusR
0,P01_109_0,grab rucksack,79,126,new_contact_episode,3,left,88,89,frame_0000000089.jpg,99,11,53,48
1,P01_109_1,open rucksack,153,226,new_contact_episode,8,right,161,162,frame_0000000162.jpg,162,1,109,97
2,P01_109_2,pick up eggs,252,319,new_contact_episode,1,right,256,257,frame_0000000257.jpg,333,77,135,133
3,P01_109_3,put down eggs,319,374,new_contact_episode,3,left,362,363,frame_0000000363.jpg,365,3,41,36
4,P01_109_4,pick up onion and potato,424,475,continuation_contact_run,0,,,,,,,104,104
5,P01_109_5,put down onion and potato,480,523,continuation_contact_run,0,,,,,,,38,31
6,P01_109_8,pick up potato,500,622,new_contact_episode,2,right,527,528,frame_0000000528.jpg,593,66,153,140
7,P01_109_6,pick up potatoes,543,579,continuation_contact_run,0,,,,,,,74,74
8,P01_109_7,put down potatoes,550,734,new_contact_episode,9,left,628,629,frame_0000000629.jpg,642,14,224,190
9,P01_109_9,put down potato,625,752,new_contact_episode,11,left,628,629,frame_0000000629.jpg,642,14,165,136
10,P01_109_10,pick up beers,738,845,new_contact_episode,3,left,774,775,frame_0000000775.jpg,779,5,182,174
11,P01_109_11,open freezer,876,1022,new_contact_episode,2,right,980,981,frame_0000000981.jpg,1003,23,145,141
12,P01_109_12,open drawer,1045,1123,new_contact_episode,1,left,1070,1071,frame_0000001071.jpg,1142,72,133,132
13,P01_109_13,put beer into drawer,1139,1353,new_contact_episode,14,right,1180,1181,frame_0000001181.jpg,1192,12,306,278
14,P01_109_14,put beer into drawer,1230,1283,new_contact_episode,4,right,1258,1259,frame_0000001259.jpg,1266,8,82,71
15,P01_109_15,put beer into drawer,1298,1335,continuation_contact_run,0,,,,,,,68,67
16,P01_109_16,close drawer,1345,1401,new_contact_episode,9,left,1345,1346,frame_0000001346.jpg,1353,8,73,60
17,P01_109_17,close freezer,1419,1464,new_contact_episode,1,left,1422,1423,frame_0000001423.jpg,1457,35,39,35
18,P01_109_18,pick up rucksack,1485,1527,new_contact_episode,4,right,1496,1497,frame_0000001497.jpg,1517,21,41,36
19,P01_109_19,put down rucksack,1657,1698,continuation_contact_run,0,,,,,,,29,27
20,P01_109_20,close door,1812,1946,new_contact_episode,7,left,1827,1828,frame_0000001828.jpg,1831,4,53,33
21,P01_109_21,pick up cup,2084,2120,new_contact_episode,2,left,2088,2089,frame_0000002089.jpg,2091,3,10,6
22,P01_109_22,put down cup,2132,2193,new_contact_episode,2,right,2142,2143,frame_0000002143.jpg,2161,19,32,25
23,P01_109_23,pick up spoon,2206,2236,new_contact_episode,1,right,2213,2214,frame_0000002214.jpg,2224,11,14,11
24,P01_109_24,open drawer,2269,2332,new_contact_episode,1,left,2325,2326,frame_0000002326.jpg,2356,31,49,47
25,P01_109_25,put spoon into drawer,2336,2378,new_contact_episode,4,right,2341,2342,frame_0000002342.jpg,2342,1,36,29
26,P01_109_26,close drawer,2377,2410,no_contact_candidate,0,,,,,,,0,0
27,P01_109_27,pour hand wash,2466,2505,new_contact_episode,3,right,2468,2469,frame_0000002469.jpg,2471,3,16,10
28,P01_109_28,wash hands,2478,2540,new_contact_episode,2,right,2484,2485,frame_0000002485.jpg,2487,3,14,8
29,P01_109_29,turn on tap,2545,2575,new_contact_episode,3,right,2550,2551,frame_0000002551.jpg,2563,13,44,38
30,P01_109_30,rinse hands,2579,2963,new_contact_episode,25,left,2708,2709,frame_0000002709.jpg,2711,3,221,164
31,P01_109_31,turn off tap,2967,2989,new_contact_episode,2,left,2968,2969,frame_0000002969.jpg,2971,3,14,10
32,P01_109_32,shake hands,3001,3072,new_contact_episode,3,left,3009,3010,frame_0000003010.jpg,3019,10,30,24
33,P01_109_33,pick up cloth,3084,3140,new_contact_episode,3,left,3088,3089,frame_0000003089.jpg,3107,19,35,26
34,P01_109_34,dry hands,3094,3349,new_contact_episode,21,left,3121,3122,frame_0000003122.jpg,3124,3,161,112
35,P01_109_35,put down cloth,3349,3372,new_contact_episode,2,left,3356,3357,frame_0000003357.jpg,3361,5,38,35
