start_frame_1_based,end_frame_1_based,run_length
89,157,69
162,162,1
167,173,7
176,194,19
198,333,136
363,365,3
370,393,24
528,595,68
629,693,65
721,722,2
735,781,47
785,977,193
981,1003,23
1007,1177,171
1181,1192,12
1202,1256,55
1259,1267,9
1272,1335,64
1340,1341,2
1343,1343,1
1346,1355,10
1358,1385,28
1391,1392,2
1423,1457,35
1497,1517,21
1519,1519,1
1522,1522,1
1524,1529,6
1828,1831,4
1842,1842,1
1849,1849,1
1851,1858,8
1862,1869,8
1907,1914,8
1917,1919,3
2089,2091,3
2093,2095,3
2143,2161,19
2178,2183,6
2214,2224,11
2326,2357,32
2469,2471,3
2477,2480,4
2485,2487,3
2539,2563,25
2568,2572,5
2574,2574,1
2709,2711,3
2718,2726,9
2750,2765,16
2786,2803,18
2827,2829,3
2833,2836,4
2839,2842,4
2852,2859,8
2868,2884,17
2888,2890,3
2905,2912,8
2920,2928,9
2957,2957,1
2969,2971,3
2979,2985,7
3010,3019,10
3030,3031,2
3041,3052,12
3089,3107,19
3122,3124,3
3137,3154,18
3168,3172,5
3176,3180,5
3186,3186,1
3188,3193,6
3196,3198,3
3217,3217,1
3221,3221,1
3224,3230,7
3246,3248,3
3252,3253,2
3258,3260,3
3296,3296,1
3299,3300,2
3302,3302,1
3308,3325,18
3339,3545,207
3550,3551,2
3655,3696,42
3719,3729,11
3738,3740,3
3755,3772,18
3776,3789,14
3838,3839,2
3845,3851,7
3856,3872,17
3877,3881,5
3902,4355,454
4381,4430,50
4512,4516,5
4521,4528,8
4539,4547,9
4555,4561,7
4565,4603,39
4649,4659,11
4662,4715,54
4918,4921,4
4930,4930,1
4948,9621,4674
9690,9692,3
10262,10263,2
10270,11978,1709
11984,11985,2
12170,12317,148
12326,12329,4
12336,12338,3
12341,12343,3
12347,12404,58
12412,12465,54
12469,12477,9
12635,12637,3
12640,12654,15
12656,12656,1
12658,12688,31
12692,12692,1
12779,12785,7
13109,18944,5836
