hand,start_frame_1_based,end_frame_1_based,run_length
left,89,99,11
right,94,94,1
right,98,157,60
right,162,162,1
right,167,173,7
left,171,173,3
left,176,194,19
right,179,179,1
right,181,184,4
right,198,253,56
left,199,328,130
right,257,333,77
left,363,365,3
left,370,393,24
right,372,375,4
right,528,593,66
left,529,595,67
left,629,642,14
right,633,633,1
right,638,669,32
left,646,653,8
left,657,676,20
right,674,693,20
left,687,688,2
left,690,690,1
left,721,722,2
left,735,771,37
right,735,781,47
left,775,779,5
right,785,977,193
left,786,815,30
right,981,1003,23
right,1007,1177,171
left,1071,1142,72
right,1181,1192,12
left,1202,1256,55
right,1208,1242,35
right,1259,1266,8
left,1261,1267,7
left,1272,1275,4
right,1272,1335,64
left,1289,1291,3
left,1294,1326,33
left,1340,1341,2
left,1343,1343,1
right,1346,1347,2
left,1346,1353,8
right,1353,1355,3
left,1355,1355,1
left,1358,1358,1
right,1358,1381,24
left,1360,1368,9
left,1376,1385,10
right,1391,1392,2
left,1423,1457,35
right,1497,1517,21
right,1519,1519,1
right,1522,1522,1
right,1524,1529,6
left,1828,1831,4
left,1842,1842,1
right,1849,1849,1
right,1851,1858,8
right,1862,1869,8
right,1907,1914,8
right,1917,1919,3
left,2089,2091,3
right,2093,2095,3
right,2143,2161,19
right,2178,2183,6
right,2214,2224,11
left,2326,2356,31
right,2342,2342,1
right,2344,2344,1
right,2348,2350,3
right,2355,2357,3
right,2469,2471,3
right,2477,2480,4
right,2485,2487,3
left,2539,2563,25
right,2551,2563,13
right,2568,2572,5
right,2574,2574,1
left,2709,2711,3
left,2718,2719,2
right,2719,2726,8
left,2724,2726,3
left,2750,2765,16
right,2751,2765,15
left,2786,2793,8
right,2788,2803,16
left,2800,2802,3
right,2827,2829,3
right,2833,2836,4
right,2839,2839,1
left,2839,2842,4
right,2841,2841,1
left,2852,2859,8
right,2853,2859,7
left,2868,2870,3
right,2868,2881,14
left,2874,2884,11
left,2888,2890,3
left,2905,2912,8
right,2907,2912,6
right,2920,2926,7
left,2920,2928,9
right,2957,2957,1
left,2969,2971,3
left,2979,2985,7
left,3010,3019,10
left,3030,3031,2
left,3041,3052,12
left,3089,3107,19
left,3122,3124,3
right,3137,3154,18
left,3147,3151,5
left,3168,3172,5
right,3169,3169,1
right,3176,3180,5
right,3186,3186,1
right,3188,3190,3
left,3190,3193,4
left,3196,3198,3
left,3217,3217,1
left,3221,3221,1
right,3224,3230,7
right,3246,3248,3
right,3252,3253,2
right,3258,3260,3
right,3296,3296,1
right,3299,3300,2
right,3302,3302,1
right,3308,3325,18
right,3339,3545,207
left,3357,3361,5
left,3367,3389,23
left,3393,3419,27
left,3425,3425,1
left,3450,3541,92
left,3550,3551,2
left,3655,3696,42
left,3719,3729,11
left,3738,3740,3
left,3755,3769,15
right,3761,3772,12
right,3776,3789,14
right,3838,3839,2
left,3845,3847,3
right,3848,3851,4
right,3856,3872,17
right,3877,3881,5
left,3902,3971,70
right,3919,3928,10
right,3932,4135,204
left,3976,4236,261
left,4274,4330,57
right,4381,4430,50
left,4382,4384,3
left,4387,4389,3
left,4512,4516,5
left,4521,4528,8
left,4539,4547,9
left,4555,4561,7
left,4565,4600,36
right,4599,4603,5
left,4649,4659,11
left,4662,4664,3
right,4662,4715,54
left,4693,4706,14
right,4822,4865,44
left,4857,4857,1
right,4908,4908,1
right,4918,4921,4
left,4930,4930,1
right,4948,5116,169
left,4952,4957,6
left,4965,4965,1
left,4971,4973,3
left,4976,4977,2
left,4979,4979,1
left,4982,4982,1
left,5020,5027,8
left,5037,5040,4
left,5044,5057,14
left,5063,5068,6
left,5080,5092,13
left,5102,9621,4520
right,5120,5152,33
right,7133,7147,15
right,7152,7232,81
right,7236,7742,507
right,7746,8714,969
right,8719,9594,876
right,9690,9692,3
left,10145,10154,10
left,10174,10176,3
left,10183,10183,1
left,10185,10188,4
left,10198,10200,3
left,10202,10202,1
right,10262,10263,2
right,10270,10768,499
left,10277,10371,95
left,10375,10380,6
left,10385,11285,901
right,10772,11928,1157
left,11289,11297,9
left,11304,11324,21
left,11330,11728,399
left,11734,11906,173
right,11978,11978,1
left,11984,11984,1
right,11984,11985,2
right,12105,12125,21
right,12136,12163,28
left,12170,12180,11
right,12170,12202,33
left,12191,12193,3
left,12200,12301,102
right,12213,12213,1
right,12215,12215,1
right,12224,12275,52
right,12295,12317,23
right,12326,12329,4
left,12336,12338,3
left,12341,12343,3
left,12347,12382,36
right,12362,12364,3
right,12376,12404,29
left,12412,12448,37
right,12425,12427,3
right,12438,12465,28
right,12469,12477,9
right,12494,12497,4
right,12503,12575,73
right,12579,12585,7
right,12635,12637,3
left,12640,12654,15
right,12656,12656,1
right,12658,12680,23
left,12659,12668,10
left,12680,12688,9
right,12692,12692,1
left,12725,12725,1
left,12727,12727,1
left,12730,12750,21
right,12759,12766,8
left,12779,12785,7
right,12880,13043,164
left,13000,13073,74
right,13048,13086,39
left,13079,13079,1
left,13081,13082,2
right,13109,13110,2
left,13111,15503,2393
right,13115,13130,16
right,13135,15461,2327
right,15465,16953,1489
left,15509,15554,46
left,15558,15751,194
left,15761,16143,383
