experiment_id,experiment_name,contact_strategy,reference_strategy,subaction_index,narration_id,video_id,narration,verb,noun,start_frame_1_based,stop_frame_1_based,clipped_start_frame_0_based,clipped_stop_frame_0_based,candidate_index,frame_0_based,frame_1_based,hand,status,passed_stage,failed_stage,fail_reason,contact_points,ref_idx,ref_frame_1_based,ref_gap,trajectory_points,missing_trajectory_count,heatmap_mode,sample_score,sample_dir,min_ref_frame_idx,homography_pairs,homography_min_inlier_ratio,homography_min_inliers,homography_min_good_matches,homography_fail_reasons,reference_frame,label_heatmap_npy,label_heatmap_png,label_heatmap_overlay,vrb_style_affordance,heatmap_shape,arrow_generated,problem3_full_overlay,problem3_crop
E0,E0_current_first_contact_inside_subaction,first_contact,inside_subaction,0,P01_109_0,P01_109,grab rucksack,grab,rucksack,79,126,78,125,0.0,78.0,79.0,left,discard,Cell2_contact_gmm,Cell3_homography_geometry,no_strict_humanless_frame,109,,,,0,0.0,,,,78,0.0,,,,,,,,,,,,,
E0,E0_current_first_contact_inside_subaction,first_contact,inside_subaction,1,P01_109_1,P01_109,open rucksack,open,rucksack,153,226,152,225,0.0,152.0,153.0,right,discard,Cell2_contact_gmm,Cell3_homography_geometry,no_strict_humanless_frame,148,,,,0,0.0,,,,152,0.0,,,,,,,,,,,,,
E0,E0_current_first_contact_inside_subaction,first_contact,inside_subaction,2,P01_109_2,P01_109,pick up eggs,pick-up,egg,252,319,251,318,0.0,251.0,252.0,left,discard,Cell2_contact_gmm,Cell3_homography_geometry,no_strict_humanless_frame,192,,,,0,0.0,,,,251,0.0,,,,,,,,,,,,,
E0,E0_current_first_contact_inside_subaction,first_contact,inside_subaction,3,P01_109_3,P01_109,put down eggs,put-down,egg,319,374,318,373,0.0,318.0,319.0,left,discard,Cell2_contact_gmm,Cell3_homography_geometry,no_strict_humanless_frame,67,,,,0,0.0,,,,318,0.0,,,,,,,,,,,,,
E0,E0_current_first_contact_inside_subaction,first_contact,inside_subaction,4,P01_109_4,P01_109,pick up onion and potato,pick-up,onion,424,475,423,474,0.0,423.0,424.0,left,discard,Cell2_contact_gmm,Cell3_homography_geometry,no_strict_humanless_frame,59,,,,0,0.0,,,,423,0.0,,,,,,,,,,,,,
E0,E0_current_first_contact_inside_subaction,first_contact,inside_subaction,5,P01_109_5,P01_109,put down onion and potato,put-down,onion,480,523,479,522,0.0,479.0,480.0,left,discard,Cell2_contact_gmm,Cell3_homography_geometry,no_strict_humanless_frame,62,,,,0,0.0,,,,479,0.0,,,,,,,,,,,,,
E0,E0_current_first_contact_inside_subaction,first_contact,inside_subaction,6,P01_109_8,P01_109,pick up potato,pick-up,potato,500,622,499,621,0.0,499.0,500.0,left,discard,Cell2_contact_gmm,Cell3_homography_geometry,no_strict_humanless_frame,55,,,,0,0.0,,,,499,0.0,,,,,,,,,,,,,
E0,E0_current_first_contact_inside_subaction,first_contact,inside_subaction,7,P01_109_6,P01_109,pick up potatoes,pick-up,potato,543,579,542,578,0.0,542.0,543.0,left,discard,Cell2_contact_gmm,Cell3_homography_geometry,no_strict_humanless_frame,9,,,,0,0.0,,,,542,0.0,,,,,,,,,,,,,
E0,E0_current_first_contact_inside_subaction,first_contact,inside_subaction,8,P01_109_7,P01_109,put down potatoes,put-down,potato,550,734,549,733,0.0,549.0,550.0,left,discard,candidate,Cell2_contact_gmm,contact_points_lt5_after_object_boundary_filter,0,,,,0,,,,,549,,,,,,,,,,,,,,
E0,E0_current_first_contact_inside_subaction,first_contact,inside_subaction,9,P01_109_9,P01_109,put down potato,put-down,potato,625,752,624,751,0.0,628.0,629.0,left,discard,Cell2_contact_gmm,Cell3_homography_geometry,no_strict_humanless_frame,112,,,,0,0.0,,,,624,0.0,,,,,,,,,,,,,
E0,E0_current_first_contact_inside_subaction,first_contact,inside_subaction,10,P01_109_10,P01_109,pick up beers,pick-up,beer,738,845,737,844,0.0,737.0,738.0,left,discard,Cell2_contact_gmm,Cell3_homography_geometry,no_strict_humanless_frame,45,,,,0,0.0,,,,737,0.0,,,,,,,,,,,,,
E0,E0_current_first_contact_inside_subaction,first_contact,inside_subaction,11,P01_109_11,P01_109,open freezer,open,freezer,876,1022,875,1021,0.0,875.0,876.0,right,discard,Cell2_contact_gmm,Cell3_homography_geometry,no_strict_humanless_frame,41,,,,0,0.0,,,,875,0.0,,,,,,,,,,,,,
E0,E0_current_first_contact_inside_subaction,first_contact,inside_subaction,12,P01_109_12,P01_109,open drawer,open,drawer,1045,1123,1044,1122,0.0,1044.0,1045.0,right,discard,Cell2_contact_gmm,Cell3_homography_geometry,no_strict_humanless_frame,106,,,,0,0.0,,,,1044,0.0,,,,,,,,,,,,,
E0,E0_current_first_contact_inside_subaction,first_contact,inside_subaction,13,P01_109_13,P01_109,put beer into drawer,put-into,beer,1139,1353,1138,1352,0.0,1138.0,1139.0,left,discard,Cell2_contact_gmm,Cell3_homography_geometry,no_strict_humanless_frame,77,,,,0,0.0,,,,1138,0.0,,,,,,,,,,,,,
E0,E0_current_first_contact_inside_subaction,first_contact,inside_subaction,14,P01_109_14,P01_109,put beer into drawer,put-into,beer,1230,1283,1229,1282,0.0,1229.0,1230.0,left,discard,Cell2_contact_gmm,Cell3_homography_geometry,no_strict_humanless_frame,97,,,,0,0.0,,,,1229,0.0,,,,,,,,,,,,,
E0,E0_current_first_contact_inside_subaction,first_contact,inside_subaction,15,P01_109_15,P01_109,put beer into drawer,put-into,beer,1298,1335,1297,1334,0.0,1297.0,1298.0,left,discard,Cell2_contact_gmm,Cell3_homography_geometry,no_strict_humanless_frame,94,,,,0,0.0,,,,1297,0.0,,,,,,,,,,,,,
E0,E0_current_first_contact_inside_subaction,first_contact,inside_subaction,16,P01_109_16,P01_109,close drawer,close,drawer,1345,1401,1344,1400,0.0,1345.0,1346.0,left,discard,Cell2_contact_gmm,Cell3_homography_geometry,no_strict_humanless_frame,101,,,,0,0.0,,,,1344,0.0,,,,,,,,,,,,,
E0,E0_current_first_contact_inside_subaction,first_contact,inside_subaction,17,P01_109_17,P01_109,close freezer,close,freezer,1419,1464,1418,1463,0.0,1422.0,1423.0,left,discard,Cell2_contact_gmm,Cell3_homography_geometry,no_strict_humanless_frame,121,,,,0,0.0,,,,1418,0.0,,,,,,,,,,,,,
E0,E0_current_first_contact_inside_subaction,first_contact,inside_subaction,18,P01_109_18,P01_109,pick up rucksack,pick-up,rucksack,1485,1527,1484,1526,0.0,1484.0,1485.0,right,discard,Cell2_contact_gmm,Cell3_homography_geometry,no_strict_humanless_frame,154,,,,0,0.0,,,,1484,0.0,,,,,,,,,,,,,
