experiment_id,subaction_index,narration_id,narration,start_frame_0_based,stop_frame_0_based,raw_candidate_count,deep_run_candidate_count
E0,0,P01_109_0,grab rucksack,78,125,1,1
E0,1,P01_109_1,open rucksack,152,225,1,1
E0,2,P01_109_2,pick up eggs,251,318,1,1
E0,3,P01_109_3,put down eggs,318,373,1,1
E0,4,P01_109_4,pick up onion and potato,423,474,1,1
E0,5,P01_109_5,put down onion and potato,479,522,1,1
E0,6,P01_109_8,pick up potato,499,621,1,1
E0,7,P01_109_6,pick up potatoes,542,578,1,1
E0,8,P01_109_7,put down potatoes,549,733,1,1
E0,9,P01_109_9,put down potato,624,751,1,1
E0,10,P01_109_10,pick up beers,737,844,1,1
E0,11,P01_109_11,open freezer,875,1021,1,1
E0,12,P01_109_12,open drawer,1044,1122,1,1
E0,13,P01_109_13,put beer into drawer,1138,1352,1,1
E0,14,P01_109_14,put beer into drawer,1229,1282,1,1
E0,15,P01_109_15,put beer into drawer,1297,1334,1,1
E0,16,P01_109_16,close drawer,1344,1400,1,1
E0,17,P01_109_17,close freezer,1418,1463,1,1
E0,18,P01_109_18,pick up rucksack,1484,1526,1,1
E0,19,P01_109_19,put down rucksack,1656,1697,1,1
E0,20,P01_109_20,close door,1811,1945,1,1
E0,21,P01_109_21,pick up cup,2083,2119,1,1
E0,22,P01_109_22,put down cup,2131,2192,1,1
E0,23,P01_109_23,pick up spoon,2205,2235,1,1
E0,24,P01_109_24,open drawer,2268,2331,1,1
E0,25,P01_109_25,put spoon into drawer,2335,2377,1,1
E0,26,P01_109_26,close drawer,2376,2409,0,0
E0,27,P01_109_27,pour hand wash,2465,2504,1,1
E0,28,P01_109_28,wash hands,2477,2539,1,1
E0,29,P01_109_29,turn on tap,2544,2574,1,1
E0,30,P01_109_30,rinse hands,2578,2962,1,1
E0,31,P01_109_31,turn off tap,2966,2988,1,1
E0,32,P01_109_32,shake hands,3000,3071,1,1
E0,33,P01_109_33,pick up cloth,3083,3139,1,1
E0,34,P01_109_34,dry hands,3093,3348,1,1
E0,35,P01_109_35,put down cloth,3348,3371,1,1
E0,36,P01_109_36,pick up potatoes,3373,3495,1,1
E0,37,P01_109_37,put down potatoes,3516,3551,1,1
E0,38,P01_109_38,move potatoes,3639,3705,1,1
E0,39,P01_109_39,open cupboard,3718,3798,1,1
E0,40,P01_109_40,move pans,3825,4047,1,1
E0,41,P01_109_41,pick up pan,4037,4097,1,1
E0,42,P01_109_42,put down pan,4208,4279,1,1
E0,43,P01_109_44,put down pan,4268,4352,1,1
E0,44,P01_109_43,pick up pan,4329,4385,1,1
E0,45,P01_109_45,put down pan,4378,4431,1,1
E0,46,P01_109_46,pick up cutting board,4509,4603,1,1
E0,47,P01_109_47,close cupboard,4620,4663,1,1
E0,48,P01_109_48,put down cutting board,4676,4723,1,1
E0,49,P01_109_49,pick up eggs,4763,4796,1,1
E0,50,P01_109_50,put down eggs,4793,4826,1,1
E0,51,P01_109_51,move kettle,4831,4866,1,1
E0,52,P01_109_52,open drawer,4903,4941,1,1
E0,53,P01_109_53,pick up peeler,4937,4980,1,1
E0,54,P01_109_54,close drawer,4976,5003,1,1
E0,55,P01_109_55,move cutting board,5013,5048,1,1
E0,56,P01_109_56,pick up potato,5052,5121,1,1
E0,57,P01_109_57,move potato,5081,5093,1,1
E0,58,P01_109_58,peel potato,5181,9528,1,1
E0,59,P01_109_59,put down potato,9493,9581,1,1
E0,60,P01_109_60,put down peeler,9585,9606,1,1
E0,61,P01_109_61,pick up knife,9667,9761,1,1
E0,62,P01_109_62,grab potato,9804,9834,1,1
E0,63,P01_109_63,cut potato,9830,10124,1,1
E0,64,P01_109_64,pick up potato bit,10118,10182,1,1
E0,65,P01_109_65,put down potato bit,10147,10190,1,1
E0,66,P01_109_66,move cutting board,10195,10231,1,1
E0,67,P01_109_67,put down knife,10236,10266,1,1
E0,68,P01_109_68,pick up knife,10263,10299,1,1
E0,69,P01_109_69,slice potato,10296,11899,1,1
E0,70,P01_109_70,put down knife,11913,11934,1,1
E0,71,P01_109_71,put down potato slices,11962,11993,1,1
E0,72,P01_109_72,pick up potato slices,12006,12070,1,1
E0,73,P01_109_73,put down potato slices,12069,12185,1,1
E0,74,P01_109_74,pick up potato slices,12180,12262,1,1
E0,75,P01_109_75,put down potato slices,12266,12331,1,1
