experiment_id,experiment_name,subaction_index,narration_id,narration,frames_1_based,candidates,cell2_pass,ref_found,homography_available,geometry_pass,heatmap_pass,final_samples,best_frame_0_based,best_ref_idx,best_score,best_sample_dir,main_failure
E0,E0_current_first_contact_inside_subaction,0,P01_109_0,grab rucksack,79-126,1,1,0,0,0,0,0,,,,,no_strict_humanless_frame
E0,E0_current_first_contact_inside_subaction,1,P01_109_1,open rucksack,153-226,1,1,0,0,0,0,0,,,,,no_strict_humanless_frame
E0,E0_current_first_contact_inside_subaction,2,P01_109_2,pick up eggs,252-319,1,1,0,0,0,0,0,,,,,no_strict_humanless_frame
E0,E0_current_first_contact_inside_subaction,3,P01_109_3,put down eggs,319-374,1,1,0,0,0,0,0,,,,,no_strict_humanless_frame
E0,E0_current_first_contact_inside_subaction,4,P01_109_4,pick up onion and potato,424-475,1,1,0,0,0,0,0,,,,,no_strict_humanless_frame
E0,E0_current_first_contact_inside_subaction,5,P01_109_5,put down onion and potato,480-523,1,1,0,0,0,0,0,,,,,no_strict_humanless_frame
E0,E0_current_first_contact_inside_subaction,6,P01_109_8,pick up potato,500-622,1,1,0,0,0,0,0,,,,,no_strict_humanless_frame
E0,E0_current_first_contact_inside_subaction,7,P01_109_6,pick up potatoes,543-579,1,1,0,0,0,0,0,,,,,no_strict_humanless_frame
E0,E0_current_first_contact_inside_subaction,8,P01_109_7,put down potatoes,550-734,1,0,0,0,0,0,0,,,,,contact_points_lt5_after_object_boundary_filter
E0,E0_current_first_contact_inside_subaction,9,P01_109_9,put down potato,625-752,1,1,0,0,0,0,0,,,,,no_strict_humanless_frame
E0,E0_current_first_contact_inside_subaction,10,P01_109_10,pick up beers,738-845,1,1,0,0,0,0,0,,,,,no_strict_humanless_frame
E0,E0_current_first_contact_inside_subaction,11,P01_109_11,open freezer,876-1022,1,1,0,0,0,0,0,,,,,no_strict_humanless_frame
E0,E0_current_first_contact_inside_subaction,12,P01_109_12,open drawer,1045-1123,1,1,0,0,0,0,0,,,,,no_strict_humanless_frame
E0,E0_current_first_contact_inside_subaction,13,P01_109_13,put beer into drawer,1139-1353,1,1,0,0,0,0,0,,,,,no_strict_humanless_frame
E0,E0_current_first_contact_inside_subaction,14,P01_109_14,put beer into drawer,1230-1283,1,1,0,0,0,0,0,,,,,no_strict_humanless_frame
