experiment_id,subaction_index,narration_id,narration,successful_samples,frames_0_based,frames_1_based,hands,refs_0_based
E0,22,P01_109_22,put down cup,1,2142,2143,right,2140
E1,0,P01_109_0,grab rucksack,1,78,79,left,67
E1,21,P01_109_21,pick up cup,1,2088,2089,left,2076
E1,22,P01_109_22,put down cup,1,2142,2143,right,2140
E1,24,P01_109_24,open drawer,1,2268,2269,right,2257
E1,27,P01_109_27,pour hand wash,1,2468,2469,right,2434
E1,28,P01_109_28,wash hands,1,2477,2478,right,2434
E1,29,P01_109_29,turn on tap,1,2544,2545,left,2434
E1,35,P01_109_35,put down cloth,1,3348,3349,right,3330
E1,48,P01_109_48,put down cutting board,1,4676,4677,right,4636
E1,53,P01_109_53,pick up peeler,1,4947,4948,right,4937
E1,56,P01_109_56,pick up potato,1,5052,5053,left,4937
E1,63,P01_109_63,cut potato,1,9830,9831,left,9764
E2,0,P01_109_0,grab rucksack,1,78,79,left,67
E2,20,P01_109_20,close door,2,"1863, 1908","1864, 1909","right, right","1798, 1895"
E2,21,P01_109_21,pick up cup,1,2088,2089,left,2076
E2,22,P01_109_22,put down cup,3,"2142, 2148, 2154","2143, 2149, 2155","right, right, right","2140, 2140, 2140"
E2,24,P01_109_24,open drawer,1,2268,2269,right,2257
E2,27,P01_109_27,pour hand wash,4,"2468, 2470, 2477, 2484","2469, 2471, 2478, 2485","right, right, right, right","2434, 2434, 2434, 2434"
E2,28,P01_109_28,wash hands,2,"2477, 2479","2478, 2480","right, right","2434, 2434"
E2,29,P01_109_29,turn on tap,3,"2544, 2561, 2573","2545, 2562, 2574","left, left, right","2434, 2434, 2434"
E2,34,P01_109_34,dry hands,2,"3190, 3348","3191, 3349","left, right","3165, 3330"
E2,35,P01_109_35,put down cloth,3,"3348, 3356, 3360","3349, 3357, 3361","right, left, right","3330, 3330, 3330"
E2,47,P01_109_47,close cupboard,1,4651,4652,left,4636
E2,48,P01_109_48,put down cutting board,5,"4676, 4689, 4697, 4703, 4714","4677, 4690, 4698, 4704, 4715","right, right, left, right, right","4636, 4636, 4636, 4636, 4636"
E2,53,P01_109_53,pick up peeler,2,"4947, 4980","4948, 4981","right, right","4937, 4937"
E2,54,P01_109_54,close drawer,2,"4981, 4995","4982, 4996","right, right","4937, 4937"
E2,55,P01_109_55,move cutting board,1,5022,5023,right,4937
E2,56,P01_109_56,pick up potato,2,"5052, 5121","5053, 5122","left, right","4937, 4937"
E2,62,P01_109_62,grab potato,4,"9811, 9819, 9827, 9834","9812, 9820, 9828, 9835","right, left, left, right","9764, 9764, 9764, 9764"
E2,63,P01_109_63,cut potato,5,"9830, 9903, 9977, 10051, 10124","9831, 9904, 9978, 10052, 10125","left, right, left, left, right","9764, 9764, 9764, 9764, 9764"
